,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Demographic,Genre,Themes,Demographics
10,Bokurano: Ours,ぼくらの,Bokurano,,Bokurano,,['TV'],24,Finished Airing,"Apr 9, 2007 to Sep 25, 2007",['Spring 2007'],Mondays at 01:30 (JST),"['Sotsu Music Publishing', 'Future Vision Music']",['Discotek Media'],['Gonzo'],['Manga'],"['Action', 'Drama', 'Sci-Fi', 'Suspense']",,23 min. per ep.,R - 17+ (violence & profanity),7.59,#1622,#1302,"196,543","1,201",54782,"As fifteen children at a summer camp enjoy their carefree vacation together, they stumble upon a small cave near the beach. The group finds a mysterious room deep within its caverns, where they meet a strange man who calls himself Kokopelli. The man invites the children to play a game that involves taking turns controlling a robot to protect the Earth against aliens. Thinking it might be an interesting computer game, all but one of the children sign a contract agreeing to play. Later that day, the giant robot appears in person and the children are teleported into its cockpit, where they find Kokopelli, who pilots a fight against a similar robotic creature that has appeared nearby. After winning the battle, Kokopelli tries to apologize but is interrupted as the children are teleported back to the ground in the midst of the carnage. As the bewilderment following the fight settles, the robot suddenly disappears and the children are left scared and confused. Despite seeming like a harmless game at first, the children never anticipated the stakes of this game and how their pasts would intertwine with their decisions going forward. [Written by MAL Rewrite]","['Adaptation (Manga) Bokurano', '']",Bokura no,['Seinen'],,"['Mecha', 'Psychological', 'Survival']",
11,RomeoxJuliet,ロミオ×ジュリエット,Romeo x Juliet,,,,['TV'],24,Finished Airing,"Apr 5, 2007 to Sep 26, 2007",['Spring 2007'],Thursdays at 01:45 (JST),"['GDH', 'Kadokawa Shoten', 'CBC Television', 'SKY Perfect Well Think', 'Happinet Pictures', 'Sotsu Music Publishing', 'Future Vision Music']",['Funimation'],['Gonzo'],Book,"['Drama', 'Fantasy', 'Romance']",['Historical'],24 min. per ep.,PG-13 - Teens 13 or older,7.57,#1673,#1365,"188,201","1,196",76305,"On the floating continent of Neo Verona, the Montague family slaughters the entire Capulet family and seizes control of the kingdom. The true heir to the throne, Juliet Fiammata Asto Capulet, manages to escape the onslaught and is hidden away by loyalists for 14 years with hope that she may one day overthrow the cruel Montague regime. Despite having forgotten the murder of her entire family, Juliet now secretly protects the oppressed citizens of Neo Verona as a vigilante called the Red Whirlwind. During one of her escapades she meets Romeo Candorebanto Montague, the kind and selfless son of the tyrannical Prince Laertes Montague, and without knowledge of each other's background, they both fall in love at first sight. Unfortunately, however, their destiny is a cursed one: not only does each of the two families wish to obliterate the other, but an ancient secret hidden beneath Neo Verona also threatens their undying love for each other. Will they be able to defy the stars, or is this truly a love that can never be? [Written by MAL Rewrite]","['Adaptation (Manga) Romeo x Juliet Read Manga', '']",Romeo x Juliet,,,,
12,"Cyber Coil, Coil - A Circle of Children, Denno Coil",電脳コイル,Den-noh Coil,,,Dennoh Coil,['TV'],26,Finished Airing,"May 12, 2007 to Dec 1, 2007",['Spring 2007'],Unknown,"['Bandai Visual', 'NHK', 'Tokuma Shoten']",['Maiden Japan'],['Madhouse'],Original,"['Adventure', 'Award Winning', 'Drama', 'Mystery', 'Sci-Fi']",,25 min. per ep.,G - All Ages,8.02,#640,#1631,"152,185","1,666",44951,"In the near future, augmented reality has become a key part of daily life. A gentle middle school girl named Yuuko ""Yasako"" Okonogi and her family have just moved to Daikoku City despite rumors of people disappearing. There, her grandmother, nicknamed ""Mega-baa,"" runs a shop called Megasia that specializes in illegal tools which interact with parts of the virtual world. Mega-baa also hosts an unofficial detective agency called ""Coil,"" a group of children around Yasako's age who find and handle corruption of the virtual world. Yasako gets involved with the group when Fumie Hashimoto, a playful member of Coil, helps rescue her cyberdog Densuke after getting trapped in virtual space while chasing a mysterious virus. Also investigating these corruptions and viruses is an abrasive hacker named Yuuko Amasawa, who the others take to calling Isako. Can Coil discover the truths behind the mysterious viruses and corruption, and if they can, at what cost? [Written by MAL Rewrite]","['Adaptation (Light Novel) Dennou Coil', 'Adaptation (Manga) Dennou Coil']",Dennou Coil,,,,
13,,ヒロイック・エイジ,Heroic Age,,,,['TV'],26,Finished Airing,"Apr 2, 2007 to Oct 1, 2007",['Spring 2007'],Mondays at 01:30 (JST),['Starchild Records'],['Funimation'],['Xebec'],Original,"['Action', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,7.50,#1977,#2017,"115,349",656,48101,"When the Golden Race invited other races to join them in the stars, three sentient races answered their call. The Goldens called them the Bronze, Silver and Heroic Tribes. Just before the Gold Tribe left to travel to another Universe, a fourth race appeared, traveling to the stars on their own accomplishments. The Golds named the human race the Iron Tribe. During the passing of time, humanity suffers at the hands of the more dominant races and is now facing extinction. Following a prophecy left by the Gold Tribe, Princess Deianeira sets out to search for the powerful being who might be able to save humankind. She meets a wild haired boy on an abandoned planet—a fateful encounter that will not only change the fortunes of Humanity, but also the fate of the universe. (Source: AniDB)","['Adaptation (Manga) Heroic Age', '']",Heroic Age,,,"['Mecha', 'Military', 'Space']",
14,,爆丸バトルブローラーズ,,,,,['TV'],52,Finished Airing,"Apr 5, 2007 to Mar 27, 2008",['Spring 2007'],Thursdays at 17:30 (JST),['Nelvana'],['Warner Bros. Pictures'],['TMS Entertainment'],Original,"['Action', 'Fantasy']",['Strategy Game'],24 min. per ep.,PG - Children,6.47,#7236,#2039,"113,871",459,70775,"Mysterious cards came down from the sky one day. Capable of summoning powerful creatures from another dimension, they became the centerpiece of a new game called Bakugan. The game gained instant popularity among children and teenagers, with the best of them competing in a worldwide ranking. Meanwhile, war for domination over Vestroia, the homeland of Bakugan cards, rages on. Invaded by the White Dragon Naga and his servants, the Doom Beings, the realm becomes increasingly destabilized. Dimensions begin to merge and many Bakugan players come to realize that their pastime is not merely a game. Danma Kuusou, one such Bakugan player, intends to become the World Ranking's leader someday. However, during one of his fights he experiences a vision of a clash in Vestroia. The fight suddenly moves to Earth, where Danma comes into possession of a talking, mighty fire Bakugan, Pyrus Dragonoid. He soon gets dragged into the conflict, and together with his Bakugan Brawlers team, must traverse the dimensions and restore balance in a ravaged world. [Written by MAL Rewrite]","['Sequel (TV) Bakugan Battle Brawlers: New Vestroia', '']",Bakugan Battle Brawlers,,,,
15,"Drift off to Blue Orchid Island, Casted Away - Airan Island",ながされて藍蘭島,,,Nagasarete Airanto,,['TV'],26,Finished Airing,"Apr 5, 2007 to Sep 27, 2007",['Spring 2007'],Thursdays at 01:20 (JST),['Square Enix'],['Discotek Media'],['feel.'],['Manga'],"['Comedy', 'Fantasy', 'Romance', 'Ecchi']",['Harem'],24 min. per ep.,PG-13 - Teens 13 or older,7.21,#3295,#2135,"105,738",411,45892,"Ikuto Touhohin just had a fight with his old man, one that led him to make a rash decision to run away from home. He boards a ship, deciding to take a vacation, but the ship is suddenly hit by a huge storm—one that sends Ikuto overboard! When he regains consciousness, he realizes he is still alive on some island. An isolated island. An isolated island with nothing but girls. Beautiful girls. Stranded on an island with only girls, no electricity, gas, radio, television, like he was back in the stone age. (Source: AniDB)","['Adaptation (Manga) Nagasarete Airantou', '']",Nagasarete Airantou,['Shounen'],,,
16,"Oofuri, Ohkiku Furikabutte, Swing Big!",おおきく振りかぶって,Big Windup!,,,,['TV'],25,Finished Airing,"Apr 13, 2007 to Sep 28, 2007",['Spring 2007'],Unknown,"['Aniplex', 'Mainichi Broadcasting System', 'TBS', 'Kodansha', 'Movic', 'Rakuonsha']",['Funimation'],['A-1 Pictures'],['Manga'],,['Team Sports'],24 min. per ep.,PG-13 - Teens 13 or older,7.87,#883,#2177,"103,144","1,745",42134,"Ren Mihashi was the ace of his middle school's baseball team, but due to his poor pitching, they could never win. Constant losses eventually lead to his teammates bullying him and reached the point where his teammates no longer tried to win, causing Mihashi to graduate with little self-esteem. As a result, Mihashi decides to go to a high school in a different prefecture where he has no intention of playing baseball. Unfortunately, upon his arrival at Nishiura High, he is dragged into joining their new team as the starting pitcher. Although unwilling at first, Mihashi realizes that this is a place where he will be accepted for who he is; with help from the catcher Takaya Abe, he starts to have more confidence in his own abilities. Abe, seeing the potential in Mihashi, makes it a goal to help him become a pitcher worthy of being called an ace. [Written by MAL Rewrite]","['Sequel (TV) Ookiku Furikabutte: Natsu no Taikai-hen', 'Adaptation (Manga) Ookiku Furikabutte']",Ookiku Furikabutte,['Seinen'],['Sports'],,
17,Sky,sola,,,,,['TV'],13,Finished Airing,"Apr 7, 2007 to Jun 30, 2007",['Spring 2007'],Unknown,['Lantis'],['Bandai Entertainment'],['Nomad'],['Manga'],"['Drama', 'Romance', 'Supernatural']",,23 min. per ep.,PG-13 - Teens 13 or older,7.16,#3580,#2190,"102,698",415,46428,"Yorito Morimiya is obsessed with the sky. He especially loves taking pictures of its array of different faces—sunrises, sunsets, clouds. On one of his early-morning excursions to photograph the sunrise, Yorito meets a strange girl engaged in an argument with a vending machine. By the time that Yorito forces the girl's tomato juice out of the machine, she's vanished without a trace. Sola follows the story of Yorito, his sister Aono, and their childhood friends Mana and Koyori Ishizuki, as well as that of a mysterious girl who appears and disappears, and who seems to harbor a dark secret. In a world where magic and the supernatural are never far below the surface and no one is who they seem to be, love and loneliness vie for supremacy beneath Yorito's sky.","['Adaptation (Manga) Sola', '']",Sola,,,,
18,"Kaibutsu Ohjo, Monster Princess",怪物王女,Princess Resurrection,,,,['TV'],25,Finished Airing,"Apr 13, 2007 to Sep 28, 2007",['Spring 2007'],Fridays at 01:55 (JST),"['Imagin', 'Lantis', 'Index', 'Universal Pictures Japan']","['ADV Films', 'Sentai Filmworks']",['Madhouse'],['Manga'],"['Action', 'Comedy', 'Horror', 'Supernatural']",['Vampire'],24 min. per ep.,PG-13 - Teens 13 or older,6.96,#4546,#2482,"83,830",216,30323,"When Hiro Hiyorimi tries to save a beautiful young woman from certain death, he ends up a dead hero himself! However, since the drop-dead girl is Hime, daughter of the King of the Monsters, his ""reward"" is to come back as a not-quite-living soldier in her honor guard of horror! That means helping fight off the army of supernatural monstrosities Hime's siblings are unleashing against her in hopes of moving up the ladder of succession. And if facing off with vampires and zombies isn't bad enough, how can anyone be prepared for the REALLY weird ones, like were-sharks, pandas and killer dumplings? This sure as hell isn't the afterlife Hiro was hoping for, but the really sad part is that Hime is the good girl in all of this... or at least as close to good as you can come when you're on the wrong side of the gates of hell! (Source: RightStuf)","['Sequel (Special) Kaibutsu Oujo: Konsui Oujo', 'Adaptation (Manga) Kaibutsu Oujo Read Manga']",Kaibutsu Oujo,['Shounen'],,,
19,"Terra e... (2007), Terra he..., Chikyuu he..., Towards the Terra...",地球へ…,Toward the Terra (TV),,,,['TV'],24,Finished Airing,"Apr 7, 2007 to Sep 22, 2007",['Spring 2007'],Saturdays at 18:00 (JST),"['Aniplex', 'Mainichi Broadcasting System', 'SKY Perfect Well Think']",['Bandai Entertainment'],"['Tokyo Kids', 'Minami Machi Bugyousho']",['Manga'],"['Action', 'Drama', 'Sci-Fi']",,24 min. per ep.,PG-13 - Teens 13 or older,7.85,#926,#2912,"63,947",841,19202,"When humanity realized that the Earth, or Terra, had been polluted beyond fixing, the planet's governments united under a unique authoritarian system named Superior Domination (SD) and started to colonize space. Centuries later, mankind has given up its freedom in favor of the AI Grand Mother; when someone reaches the age of 14, their memories are wiped and they are automatically assigned a new role in society. Jomy Marquis Shin, a sensitive young man raised by loving parents, is saved from this grim fate by Soldier Blue, the current leader of the Mu race—a new species of human beings blessed with psychic abilities. However, in the eyes of SD, the existence of people like Jomy threatens the new paradigm of humanity. Hunted down by the hounds of the government, Jomy finds solace in the welcoming arms of the Mu, who hide aboard the spaceship Shangri-La. Now the leader of the Mu resistance years later, Jomy embarks on a journey toward Terra to escape from SD's manhunt led by Keith Anyan, an ambitious and ruthless rising star of humanity. Will Jomy and his people manage to reach the cradle of humanity before Keith destroys their last hope? [Written by MAL Rewrite]","['Adaptation (Manga) Terra e...', '']",Terra e... (TV),['Shounen'],,"['Military', 'Space', 'Super Power']",
20,"El Cazador, The Witch Hunter",エル・カザド,El Cazador de la Bruja,,,,['TV'],26,Finished Airing,"Apr 3, 2007 to Sep 25, 2007",['Spring 2007'],Tuesdays at 01:30 (JST),['Victor Entertainment'],['Funimation'],['Bee Train'],Original,"['Adventure', 'Drama', 'Mystery']",,24 min. per ep.,PG-13 - Teens 13 or older,7.20,#3380,#3089,"57,266",265,19076,"Nadie is a bounty hunter with an attitude, and she's got a lock on her next target: Ellis, a young amnesiac girl who is a suspect in the murder of a famous scientist. Nadie manages to apprehend Ellis, but on a whim, decides to accompany her to Wiñay Marka, a place which supposedly holds the key to unlocking Ellis's memories and her mysterious past. However, Nadie cautions Ellis that this does not mean she will go free—once Ellis has found what she is looking for, Nadie will turn her over to the authorities. With Ellis's connection to a gemstone called the Inca Rose as their only guide, the two set off on their journey south through Mexico to search for the mysterious ""Eternal City"" of Wiñay Marka. [Written by MAL Rewrite]","['Adaptation (Manga) El Cazador', '']",El Cazador de la Bruja,,,,
21,,ブルー・ドラゴン,,,,,['TV'],51,Finished Airing,"Apr 7, 2007 to Mar 29, 2008",['Spring 2007'],Saturdays at 09:00 (JST),['Pony Canyon'],['VIZ Media'],['Pierrot'],Game,"['Adventure', 'Comedy', 'Fantasy']",,25 min. per ep.,PG - Children,6.40,#7689,#3095,"57,048",116,29236,"As Shu's village was being attacked by an unknown enemy, he and his friends, Jiro and Kluke decide to defend their home. They soon meet warrior Zola and receive the powers of Shadow, an ability that let's them transform their shadow into a powerful monster. Shu receives one of the most powerful monsters, Blue Dragon, and they all set out to defeat their enemy. (Source: ANN)","['Sequel (TV) Blue Dragon: Tenkai no Shichi Ryuu', '']",Blue Dragon,,,,
