,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genre,Theme,Demographics
123,,オトッペ,,,,,['TV'],265,Finished Airing,"Apr 3, 2017 to Mar 31, 2023",['Spring 2017'],Mondays at 08:40 (JST),['NHK'],"None found,","None found,",Original,,,['Kids'],3 min. per ep.,G - All Ages,[],#18426,#17781,433,0,,"The series follows a young girl named Shina who hopes to become the world's best DJ, and is interested in new sounds. Shina explores a mysterious world filled with Otoppe, strange creatures capable of unique sounds.",[],Otoppe,['Fantasy'],['Music'],
124,Pokkories,ぽっこりーず,Poccolies,,,,['TV'],50,Finished Airing,"Apr 6, 2020 to Mar 15, 2021",['Spring 2020'],Mondays at 23:29 (JST),"None found,","None found,",['Kachidoki Studio'],Other,,,['Kids'],1 min. per ep.,G - All Ages,[],#18589,#18075,413,1,,"The 2018 LINE sticker set Poccolies is inspiring a series of anime shorts. The story of the sticker set is that a positive and honest boy named Patsuhiko lives on Pokkori Island, along with the shrewd and mysterious Ham, and a reliable older brother figure named Kangaroo. The sticker set follows their daily lives. (Source: ANN)",[],Poccolies,['Slice of Life'],,
125,,パッコロリン,Pakkororin,,,,['TV'],Unknown,Currently Airing,"Mar 28, 2011 to ?",['Spring 2011'],Not scheduled once per week,['NHK'],"None found,",['Three-d'],Original,,,['Kids'],1 min.,G - All Ages,[],#18454,#18290,397,0,,"A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.",[],Pakkororin,,,
126,,あわじしまの七福神,Seven Lucky Gods,,,,['TV'],25,Finished Airing,"Oct 5, 2020 to Mar 5, 2021",['Fall 2020'],Mondays at 07:30 (JST),"None found,","None found,","None found,",Original,"['Comedy', 'Supernatural']",,['Kids'],5 min. per ep.,G - All Ages,[],#19313,#18541,378,0,,"The story centers on the Seven Gods of Fortune in Japanese mythology as they reside on Awaji Island in Hyogo. In the shorts' story, the Seven Gods of Fortune slack in their duties in heaven, and Susanoo-no-Mikoto banishes them to Awaji Island. In order to return to the heavenly realm, they must help bring happiness to humans and rebuild their virtue. The outcast gods reluctantly grant human wishes and accumulate points in their ""god phones"" to be able to return to heaven. They aim to perform good deeds on particularly auspicious days to maximize point accumulation. Despite their best efforts at accumulating virtue, sometimes the Seven Gods of Fortune end up bringing misfortune to humans. When they fail, they lose points, further prolonging their stay on Awaji Island. (Source: ANN)",[],Awajishima no Shichifukujin,,,
127,"Shin Nippon History: Minna ga Shiranai, Atarashii Nihon no Rekishi.",新ニッポンヒストリー,,,,,['TV'],Unknown,Currently Airing,"Jan 6, 2020 to ?",['Winter 2020'],Mondays at 01:00 (JST),"None found,","None found,","None found,",Original,,,,23 min.,G - All Ages,[],#14232,#18530,377,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Shin Nippon History,['Comedy'],['Historical'],
128,Happy Smile ♡ Dream,おりがみにんじゃ コーヤン＠きんてれ,,,,,['TV'],Unknown,Currently Airing,"Apr 7, 2020 to ?",['Spring 2020'],Tuesdays at 07:30 (JST),['TV Tokyo'],"None found,",['Directions'],Unknown,,,['Kids'],Unknown,PG - Children,[],#18385,#18665,366,0,,"Koyan, the Origami Ninja, came to Earth from his planet Origamio to find the magical stone ""Hapiton"" that has the ability to make people happy. On the way, he was joined by childhood friend Namin anda new friend Lublin. One day, a villain called Evilrun appeared. Evilrun has a black hole in her stomach and tries to inhale anything. Every time an event happens, Evilrun gets in the way of Koyan and friends. But what Evilrun's aim is remains a mystery...",[],Origami Ninja Koyankinte,['Comedy'],,
129,,かいじゅうステップ ワンダバダ,,,,,['TV'],26,Finished Airing,"Sep 25, 2020 to Mar 26, 2021",['Fall 2020'],Fridays at 17:20 (JST),"['Tsuburaya Productions', 'NHK Enterprises']","None found,",['Usagi Ou'],Picture book,,,['Kids'],5 min. per ep.,G - All Ages,[],#16719,#20259,269,0,,Second season of Kaijuu Step Wandabada.,"['Prequel (TV) Kaijuu Step Wandabada', '']",Kaijuu Step Wandabada 2nd Season,['Comedy'],,
130,,시간여행자 루크,Time Traveler Luke,,,,['TV'],52,Finished Airing,"May 9, 2020 to Jul 10, 2021",['Spring 2020'],Unknown,"None found,","None found,",['ANYZAC'],Original,"['Action', 'Adventure', 'Sci-Fi']",,['Kids'],11 min. per ep.,PG - Children,[],#14389,#20386,262,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Sigan Yeohaengja Luke,,,
131,,むかしばなしのおへや　〜伝えたい日本昔話〜,,,,,['TV'],Unknown,Currently Airing,"Jun 14, 2020 to ?",['Summer 2020'],Not scheduled once per week,['BS-TBS'],"None found,",['Oddjob'],Other,,,['Kids'],18 min.,G - All Ages,[],#17987,#21874,179,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Mukashibanashi no Oheya: Tsutaetai Nihon Mukashibanashi,['Fantasy'],,
132,,뽀롱뽀롱 뽀로로 7,Pororo the Little Penguin 7,,,,['TV'],26,Finished Airing,"Nov 23, 2020 to Feb 16, 2021",['Fall 2020'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],11 min. per ep.,G - All Ages,[],#18622,#22294,161,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Porong Porong Pororo 6', 'Sequel (TV) Porong Porong Pororo 8']",Porong Porong Pororo 7,['Fantasy'],,
133,Pinkfong and Hogi,명탐정 핑크퐁과 호기,Pinkfong Wonderstar Part 2,,,,['TV'],26,Finished Airing,"Sep 24, 2020 to Apr 29, 2021",['Fall 2020'],Thursdays at 14:30 (JST),['Pinkfong'],"None found,","None found,",Unknown,,,['Kids'],11 min. per ep.,PG - Children,[],#18021,#23210,128,0,,"Pinkfong and Hogi are back, helping friends in Wonderville and making memories! Watch them zoom around in their magical car and collect 'cube-cubes' every time they solve a friend's problem. Wonderville can count on Pinkfong and Hogi because no problem is too big (or too small) for team Wonderstar! (Source: Official YouTube Channel)","['Prequel (TV) Pinkfong Wonderstar', 'Sequel (TV) Pinkfong-gwa Hogi: Sae Chingu Ninimo']",Myeongtamjeong Pinkfong-gwa Hogi,,['Anthropomorphic'],
134,,인앱,,,,,['TV'],56,Finished Airing,"Nov 21, 2020 to Dec 18, 2021",['Fall 2020'],Unknown,"None found,","None found,",['ANYZAC'],Original,"['Action', 'Comedy']",,,7 min. per ep.,G - All Ages,[],#21490,#23689,117,0,,"Inside our small smart device is a world very much like our own, where countless Appmen work to run their apps as smoothly as possible. Each of our thoughtless taps or pretty selfies can easily drive Smart World into chaos. But the same goes the other way – when our smartphone malfunctions our days can easily be ruined. In this oddly balanced back and forth – where what seems small in one world can become huge in the other – are our protagonists Jackie and Robin. These two don’t quite mesh. They are a team with no teamwork. They just don’t seem reliable enough for us to entrust our smart devices. But they do remind us that their, and our ""Smart Life"" can easily become comedy. (Source: WelCon)",[],In:App,,['Anthropomorphic'],
135,,또봇 V  시즌 2,Tobot: Galaxy Detectives Season 2,,,,['TV'],48,Finished Airing,"Mar 19, 2020 to Mar 4, 2021",['Spring 2020'],Unknown,"None found,","None found,","None found,",Original,"['Action', 'Sci-Fi']",,['Kids'],11 min. per ep.,PG - Children,[],#14910,#25787,82,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"[""Prequel (TV) Tobot V: Swag's Secret"", 'Sequel (TV) Tobot V: Ujusuhodae']",Tobot V Season 2,,['Mecha'],
136,"Sky-High Survival, Sky Violation",天空侵犯,High-Rise Invasion,High-Rise Invasion,Invasión de Altura,High-Rise Invasion,['ONA'],12,Finished Airing,"Feb 25, 2021",,,['Kodansha'],"None found,",['Zero-G'],['Web manga'],"['Action', 'Horror', 'Mystery', 'Suspense']","['Gore', 'Survival']",,24 min. per ep.,R - 17+ (violence & profanity),6.69,#5992,#722,"353,048","2,039",187117,"Upon witnessing a man's head cracked open with an axe, 16-year-old Yuri Honjou trembles in fear and confusion as she flees from the masked assailant, only to find out she's trapped in an abandoned building where every door is mysteriously locked. Desperately searching for a way out, Yuri runs to the rooftop, but a world with no signs of life stands before her, surrounded by high-rise buildings. Though filled with despair, once she learns that her brother is also in this strange place, Yuri is determined to find him and escape. However, she soon finds that there are more masked murderers in the area, anxious to terrorize their newfound victims and satiate their sickest desires, leaving Yuri to question if they will be able to make it out alive. [Written by MAL Rewrite]","['Adaptation (Manga) Tenkuu Shinpan', '']",Tenkuu Shinpan,,,
137,"TGCF, Tian Guan Ci Fu",天官賜福,Heaven Official's Blessing,,La Bendición del Oficial del Cielo,Heaven Official's Blessing,['ONA'],11,Finished Airing,"Oct 31, 2020 to Jan 2, 2021",,,['bilibili'],['Funimation'],['Haoliners Animation League'],Web novel,"['Action', 'Adventure', 'Drama', 'Fantasy']","['Historical', 'Mythology']",,26 min. per ep.,PG-13 - Teens 13 or older,8.42,#187,#1568,"160,246","5,825",69670,"The heavens shake, the thunder rumbles, and Xie Lian appears with an apologetic smile—again! Eight hundred years prior, he was a beloved martial god, known as the Crown Prince of Xianle. Now, he ascends to the heavenly realm for the third time, but simply as a pitiful scrap-collecting god with no followers behind him. On his first mission, Xie Lian finds himself alone in the dark moonlit night. There, a gentle man dressed in red guides him through the forest. However, as abruptly as he appeared, the man suddenly dissipates into a swarm of silver butterflies. Xie Lian later learns that this mysterious stranger was none other than Hua Cheng, the Crimson Rain Sought Flower, a Ghost King feared by both demons and gods alike. But before Xie Lian can figure out why Hua Cheng would help a Heavenly Official like himself, he meets San Lang. A young man possessing great knowledge on not only the Ghost King, but also the now forgotten Crown Prince, San Lang decides to accompany Xie Lian on his journey of unveiling the mysteries of the past. [Written by MAL Rewrite]","['Sequel (ONA) Tian Guan Cifu Special', 'Adaptation (Novel) Tian Guan Cifu']",Tian Guan Cifu,,,
138,B: The Beginning 2nd Season,B: The Beginning Succession,B: The Beginning Succession,,B: The Beginning Temporada 2: Sucesión,,['ONA'],6,Finished Airing,"Mar 18, 2021",,,['Netflix'],['Anime Limited'],['Production I.G'],Original,"['Action', 'Mystery', 'Suspense']","['Detective', 'Psychological', 'Super Power']",,23 min. per ep.,R+ - Mild Nudity,6.20,#8833,#2197,"102,081",175,33412,"In the first season of B: The Beginning, two men confronted their own past with great sacrifice. Maverick detective Keith Flick fought against his demons and finally exposed the dark secrets behind the Kingdom of Cremona. Mutant wunderkind Koku finally reunited with the most precious memory from his stolen childhood. Several months have passed since then, and the entire world seems to have forgotten the turmoil caused by those events. As Keith returns to the Royal Police to conduct his own investigation, Koku and Yuna try to enjoy an ordinary life in peace. But the consequences of the Jaula Blanca experiments are far from being extinct, as Koku soon discovers when his supposedly dead lab mate Kirisame suddenly shows up. (Source: Official Site)","['Prequel (ONA) B: The Beginning', '']",B: The Beginning Succession,,,
139,,スーパードラゴンボールヒーローズ,,,,,['ONA'],56,Finished Airing,"Jul 1, 2018 to Aug 8, 2024",,,['Bandai'],"None found,","['Toei Animation', 'Dimps']",Game,"['Action', 'Comedy', 'Fantasy']",,['Shounen'],8 min. per ep.,PG-13 - Teens 13 or older,5.73,#11259,#2568,"79,061",256,30945,"In May 2018, V-Jump announced the promotional anime for Dragon Ball Heroes, a Japanese arcade and trading card game. The video game has been adapted to a Nintendo Switch port for western audiences, whilst the card game is released under the name ""Dragon Ball Super TCG"" and is combined with the other card game of the same name in japan. The anime is expected to be short and it is not expected to broadcast on TV. It has adapted the game's Prison Planet Arc, as long as the manga original arc ""Big Bang Mission"" and ""Ultra God Misson"", also fully detailed in the Heroes manga published in Saikyou Jump, although under 2 separate canons. They have never been published officially in English. The first episode debuted July 1, 2018 at Aeon Lake Town.","['Adaptation (Manga) Super Dragon Ball Heroes: Ankoku Makai Mission!', 'Adaptation (Manga) Super Dragon Ball Heroes: Universe Mission!!', 'Adaptation (Manga) Super Dragon Ball Heroes: Big Bang Mission!!!', 'Adaptation (Manga) Super Dragon Ball Heroes: Ultra God Mission!!!!']",Super Dragon Ball Heroes,,['Martial Arts'],
140,"Killer Seven 3, Scissor Seven 3, 伍六七第三季",伍六七之玄武国篇,Scissor Seven (2021),Scissor Seven Staffel 3,Scissor Seven Temporada 3,Scissor Seven Saison 3,['ONA'],10,Finished Airing,"Jan 21, 2021 to May 5, 2021",,,['AHA Entertainment'],"None found,",['Sharefun Studio'],Original,"['Action', 'Adventure', 'Comedy', 'Drama', 'Mystery']","['Martial Arts', 'Super Power']",,16 min. per ep.,R - 17+ (violence & profanity),8.42,#188,#2683,"73,579",845,40406,"In order to protect the residents of Xiaoji Island and the peaceful life here, Wu Liuqi and his partners Dabao and Xiaofei embark on a journey to the Xuanwu Kingdom to find out the truth about his identity and a way to save the island. Waiting for them is more unknowns and adventures. (Source: bilibili, edited)","['Prequel (ONA) Wu Liuqi: Zui Qiang Fa Xing Shi', 'Sequel (ONA) Wu Liuqi: Anying Suming']",Wu Liuqi: Xuanwu Guo Pian,,,
141,"Horogura, HoloGra",ホロのぐらふぃてぃ,Holo Graffiti,,,,['ONA'],Unknown,Currently Airing,"May 5, 2019 to ?",,,"None found,","None found,",['Hololive Production'],Other,,,,1 min.,PG-13 - Teens 13 or older,8.16,#449,#3098,"56,853","1,893",17907,"From unraveling the secrets of opening and closing doors to defusing surprise packages more commonly known as bombs, there is never a dull day at the Hololive Production office! Holo no Graffiti follows an eccentric cast of Virtual YouTubers, also known as ""VTubers,"" going about their absurd yet hilarious daily lives, detailing all their cute moments and mishaps. [Written by MAL Rewrite]",[],Holo no Graffiti,['Comedy'],,
142,"TGCF Special, Tian Guan Ci Fu Special",天官赐福特别节目,Heaven Official's Blessing Special,,,,['ONA'],1,Finished Airing,"Feb 16, 2021",,,['bilibili'],"None found,",['Haoliners Animation League'],Web novel,"['Action', 'Adventure', 'Drama', 'Fantasy']","['Historical', 'Mythology']",,21 min.,PG-13 - Teens 13 or older,8.50,#144,#3170,"54,215",514,28128,"Xie Lian and Hua Cheng recount their recent adventures during a quiet night at Puqi Shrine. Amidst the serenity, the Crimson Rain Sought Flower reveals a little more about Xie Lian's true character, and an embarrassing memory reminds him of how much he has changed since his previous ascensions. However, no matter how much time has passed, Xie Lian never fails to believe in the good he sees in the people around him. Though the heavens may ridicule him, his words and actions have earned him the most devout of followers. [Written by MAL Rewrite]","['Prequel (ONA) Tian Guan Cifu', 'Sequel (ONA) Tian Guan Cifu Er', 'Adaptation (Novel) Tian Guan Cifu', '']",Tian Guan Cifu Special,,,
143,Kimetsu Gakuen: Valentine-hen,キメツ学園 バレンタイン編,Junior High and High School!! Kimetsu Academy Story: Valentine Edition,,,,['ONA'],4,Finished Airing,"Feb 14, 2021",,,"None found,","None found,",['ufotable'],['Manga'],,,,2 min. per ep.,PG-13 - Teens 13 or older,6.68,#6028,#3381,"48,051",119,23613,"Zenitsu Agatsuma is determined to be the subject of adoration by receiving chocolates on Valentine’s Day—and this year, he is taking no chances. Enlisting the help of his friend Tanjirou Kamado, the two are prepared to learn from some of Kimetsu Academy's most popular figures. Together, they ask Kyoujurou Rengoku, the history teacher; Giyuu Tomioka, the PE teacher; and Tengen Uzui, the art teacher, about the secrets to their popularity. However, only time will tell if following their advice will bring the same success for Zenitsu. [Written by MAL Rewrite]",[],Chuukou Ikkan!! Kimetsu Gakuen Monogatari: Valentine-hen,['Comedy'],,
144,Jimihen!! Pure Heterosexual Exchange That Changes a Reserved Girl,じみへんっ!!～地味子を変えちゃう純異性交遊～,Simple yet Sexy,,,,['ONA'],8,Finished Airing,"Jan 4, 2021 to Feb 22, 2021",,,"['Studio Mausu', 'Suiseisha']","None found,",['Studio Hokiboshi'],['Manga'],,,,7 min. per ep.,Rx - Hentai,6.38,N/A,#3687,"41,443",368,12096,"Coworkers often gossip during breaks or go drinking after work hours. Ryouhei Hachiya and his Department Head are no different. But this time, in exchange for keeping the fact that Ryouhei skipped a day of work a secret, his Department Head dares him to invite the shy and disheveled office clerk Rena Yukuhashi out for a drink. He has a difficult time completing this menial task, since the Department Head's only goal is to find out if Rena is a virgin, but he does so anyway. On their outing, Ryouhei is unexpectedly mesmerized by Rena's appearance. Not only does she look stunning, but the way she speaks unrestrictedly pleases him. Ryouhei finds himself captivated by the previously reserved girl, and after their first night, their encounters become more frequent. However, complications arise when Ryouhei later tries to act cool around his Department Head. [Written by MAL Rewrite]","['Adaptation (Manga) Jimihen!!: Jimiko wo Kaechau Jun Isei Kouyuu!!', '']",Jimihen!!: Jimiko wo Kaechau Jun Isei Kouyuu!!,['Hentai'],,
145,,魔道祖師Q,The Master of Diabolism Q,,,,['ONA'],30,Finished Airing,"Jul 31, 2020 to Jan 29, 2021",,,['Tencent Penguin Pictures'],"None found,",['B.CMAY PICTURES'],Web novel,"['Comedy', 'Fantasy']","['Historical', 'Mythology', 'Reincarnation']",,5 min. per ep.,PG-13 - Teens 13 or older,8.19,#408,#4611,"25,897",245,9976,"The cultivation classes in the Cloud Recesses have started, and Wei Wuxian is as mischievous as ever. From getting in trouble for cheating to tempting the ever-so-cold and stoic Lan Wangji into breaking one of the three thousand strict rules of the Gusu Lan Clan—he's done it all. Although almost everything Wei Wuxian does is against Lan Wangji's principles, an unbreakable bond forms between the two. This chibi spin-off is a refreshing compilation of the hilarious and adorable moments of Mo Dao Zu Shi that shows not only how impish Wei Wuxian can be, but also the bashful side of the icy Lan Wangji. [Written by MAL Rewrite]","['Adaptation (Manhua) Mo Dao Zu Shi', 'Adaptation (Novel) Mo Dao Zu Shi']",Mo Dao Zu Shi Q,,,
146,"Otona no Bouguya-san 2nd Season, Armor Shop for Ladies & Gentlemen 2nd Season",おとなの防具屋さんII,Armor Shop for Ladies and Gentlemen II,Armor Shop For Ladies & Gentlemen II,Armor Shop for Ladies & Gentlemen II,Armor Shop for Ladies & Gentlemen II,['ONA'],12,Finished Airing,"Jan 2, 2021 to Mar 20, 2021",,,"None found,",['Anime Limited'],['IMAGICA Lab.'],['4-koma manga'],"['Comedy', 'Fantasy', 'Ecchi']",,,6 min. per ep.,PG-13 - Teens 13 or older,5.50,#12103,#5749,"14,934",11,5176,Second season of Otona no Bouguya-san.,"['Prequel (ONA) Otona no Bouguya-san (Rimen)', 'Adaptation (Manga) Otona no Bouguya-san']",Otona no Bouguya-san II,,,
147,,炎炎ノ消防隊 ミニアニメ,Fire Force Mini Anime,,,,['ONA'],30,Finished Airing,"Jan 8, 2021 to Jul 30, 2021",,,"None found,","None found,",['AQUA ARIS'],['Manga'],,,,1 min. per ep.,PG-13 - Teens 13 or older,6.13,#9241,#6161,"12,476",23,2617,"Mini anime featuring chibi characters from Enen no Shouboutai, streamed on the official Twitter account.",[],Enen no Shouboutai Mini Anime,['Comedy'],,
148,Qian Qiu,山河剑心,Thousand Autumns,,Mil Otoños,,['ONA'],16,Finished Airing,"Feb 8, 2021 to Mar 15, 2021",,,"['Tencent Penguin Pictures', 'Bytehoo']","None found,",['Motion Magic'],Novel,"['Action', 'Fantasy']","['Historical', 'Martial Arts']",,25 min. per ep.,PG-13 - Teens 13 or older,7.82,#979,#6446,"11,131",190,4060,"After being defeated by the leader of the Beimu clan, Mount Xuandu's chief disciple Shen Qiao falls off a cliff and nearly dies from his injuries. Unfortunately, the ruthless Cleansing Moon sect leader Yan Wushi, known for his cunning and skills, chances upon him and comes up with a sinister plan: turn the benevolent disciple into a vengeful cultivator who could one day become a worthy rival. Shen Qiao is thrown headfirst into a world of betrayal and deception, contrasting with his once-strong beliefs that good could exist in everyone. As he encounters further hardships that push him to his wits' end, Shen Qiao is faced with the decision of continuing to uphold his kind nature—despite the cruel reality he has been shown—or giving in to the deceitful scheme of the spiteful Yan Wushi. [Written by MAL Rewrite]","['Sequel (ONA) Shanhe Jian Xin 2nd Season', 'Adaptation (Novel) Qian Qiu']",Shanhe Jian Xin,,,
149,Sunflowers Bloom at Night,向日葵ハ夜ニ咲ク,,,,,['ONA'],1,Finished Airing,"Jan 5, 2021",,,['Antechinus'],"None found,",['T-Rex'],['Manga'],,,,16 min.,Rx - Hentai,6.87,N/A,#6482,"11,014",199,5314,"Norihito and Asumi Hisato have a beautiful marriage. But when Norihito makes a mistake at work and the company loses millions because of him, the president asks him to take responsibility by offering Hisato a job as his secretary. That will allow her to make up for her husband's mistakes, and from that point on, she thanks the president for that chance the only way she knows.","['Adaptation (Doujinshi) Himawari wa Yoru ni saku', '']",Himawari wa Yoru ni Saku,['Hentai'],,
150,When The Hydrangeas Fall,紫陽花の散ル頃に,,,,,['ONA'],1,Finished Airing,"Jan 29, 2021",,,"['Lune-Pictures', 'Antechinus']","None found,",['T-Rex'],['Manga'],,,,16 min.,Rx - Hentai,6.51,N/A,#6597,"10,551",125,5145,Yuuta Yamano and Shinomiya Natsuha are dating. But it seems that he has no idea that she is hiding a secret relationship that gives her more satisfaction than dating him. (Source: PageHentai),"['Adaptation (Doujinshi) Ajisai no Chiru Koro ni', '']",Ajisai no Chiru Koro ni,['Hentai'],,
151,,시맨틱 에러 스페셜,,,,,['ONA'],4,Finished Airing,"Mar 12, 2021 to Apr 1, 2021",,,['Laftel'],"None found,","None found,",['Web manga'],"['Boys Love', 'Slice of Life']",,,4 min. per ep.,PG-13 - Teens 13 or older,7.23,#3219,#6825,"9,787",47,3865,"No matter how hard Chu Sangwoo tries to resist it, every part of his body wants to grab onto Jang Jaeyoung and never let go. With the spontaneous Jaeyoung by his side, Sangwoo learns that breaking free from his routine and acting on impulse is not always a bad thing. Perhaps submitting to his true feelings will bring him even closer to Jaeyoung, more than he could ever imagine. [Written by MAL Rewrite]","['Adaptation (Manhwa) Semantic Error', '']",Semantic Error,,['Adult Cast'],
152,Battle Through the Heavens 4th Season,斗破苍穹 第四季,Fights Break Sphere 4th Season,,,,['ONA'],24,Finished Airing,"Mar 28, 2021 to Aug 29, 2021",,,['Tencent Penguin Pictures'],"None found,",['Motion Magic'],Novel,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Supernatural']","['Martial Arts', 'Mythology']",,24 min. per ep.,PG-13 - Teens 13 or older,8.25,#329,#7215,"8,528",108,4229,"To awaken his teacher Yao Cheng, Xiao Yan travels to the capital for a meeting of the pill masters. His power was immediately noticed, people who wanted to use it, but at the decisive moment Xiao Yan still becomes a champion and defends the honor of the empire. But Xiao Yan is waiting for a meeting, for which he has been preparing for three whole years...","['Prequel (ONA) Doupo Cangqiong 3rd Season', 'Sequel (ONA) Doupo Cangqiong: San Nian Zhi Yue', 'Adaptation (Manhua) Doupo Cangqiong', 'Adaptation (Novel) Doupo Cangqiong']",Doupo Cangqiong 4th Season,,,
153,Anime no Tane 2021,HOME!,,,,,['ONA'],1,Finished Airing,"Mar 26, 2021",,,"None found,","None found,",['Orange'],Original,"['Sci-Fi', 'Supernatural']",,,7 min.,PG-13 - Teens 13 or older,6.81,#5283,#7778,"7,021",22,3132,"In the year 2124, Christopher is on a research expedition to Mars where he discovers a missing commercial vessel...",[],Home!,,,
154,How Not to Summon a Demon Lord Ω: Mini Anime,異世界魔王と召喚少女の奴隷魔術Ω ミニアニメ,,,,,['ONA'],18,Finished Airing,"Mar 14, 2021 to Jun 16, 2021",,,['Half H.P Studio'],"None found,","['AQUA ARIS', 'Magma Studio']",['Light novel'],,,,1 min. per ep.,PG-13 - Teens 13 or older,5.94,#10228,#8182,"6,211",14,1680,Mini anime of Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω airing on the official Twitter account.,[],Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω Mini Anime,['Comedy'],['Isekai'],
155,Ore dake Haireru Kakushi Dungeon Mini Anime,ドキドキ！ミニミニ！隠しダンジョン劇場,The Hidden Dungeon Only I Can Enter Mini Anime,,,,['ONA'],14,Finished Airing,"Jan 9, 2021 to Mar 27, 2021",,,"None found,","None found,",['Okuruto Noboru'],['Light novel'],"['Comedy', 'Fantasy']",,,1 min. per ep.,PG-13 - Teens 13 or older,5.88,#10528,#8812,"5,176",5,1831,Mini anime for Ore dake Haireru Kakushi Dungeon released weekly on the official YouTube channel. Contains 12 regular episodes + 2 collab episodes.,[],Dokidoki! Mini Mini! Kakushi Dungeon Gekijou,,,
156,Little Girl President,幼女社長,Cute Executive Officer,,,,['ONA'],13,Finished Airing,"Jan 1, 2021",,,"['Magic Capsule', 'Fabtone']",['Sentai Filmworks'],['Project No.9'],['Manga'],,,,3 min. per ep.,PG-13 - Teens 13 or older,6.59,#6527,#9635,"3,963",11,1917,"Najimu Mujina is just your average five-year-old girl—who also happens to be the CEO of Mujina company. While she leaves most of the important work to her secretary Yuki Karuizawa, she often tries to act like a CEO with her inadequate business jargon. But, although her innocent efforts can be unexpectedly kind and uplifting, it just usually adds to the troubles of those around her, such as diligent employee Mayu Warito and her fellow colleagues at Mujina Company. [Written by MAL Rewrite]","['Sequel (ONA) Youjo Shachou R', 'Adaptation (Manga) Youjo Shachou']",Youjo Shachou,['Comedy'],['Workplace'],
157,,新テニスの王子様 氷帝 vs 立海 Game of Future,The New Prince of Tennis: Hyoutei vs. Rikkai - Game of Future,,,,['ONA'],2,Finished Airing,"Feb 13, 2021 to Apr 17, 2021",,,"['Production I.G', 'TV Tokyo', 'Nihon Ad Systems', 'Marvelous AQL', 'Shueisha', 'Bandai Namco Arts']","None found,","['M.S.C', 'Studio Kai']",['Manga'],,"['School', 'Strategy Game']",['Shounen'],48 min. per ep.,PG-13 - Teens 13 or older,7.11,#3876,#9688,"3,902",17,1106,"The Atobe Group is establishing a new tennis court in Kanagawa and is planning to celebrate its opening with an exhibition match. Hyoutei Academy's tennis team captain, Keigo Atobe, nominates the best team in the region to participate: Rikkai University-Affiliated Middle School. On behalf of the Rikkai tennis team, Seiichi Yukimura accepts the challenge to showcase the prowess of its members. Amidst tense preparations, the third-years of Hyoutei supervise next year's captain, Wakashi Hiyoshi. At the same time, the third-year members of Rikkai begin to worry whether Akaya Kirihara, the team's lone second-year member, can lead the club to glory once again. Determined to overthrow their respective captains' legacies during the match, both Hiyoshi and Kirihara continue rigorous training to prove they have what it takes to succeed them. The future of Hyoutei and Rikkai rests on the shoulders of these second-year aces, who harbor high expectations and ambitious goals. Emboldened by their endeavors, the third-years of each respective team impart their feelings to the second-years that will be carrying the torch for their schools once they graduate. [Written by MAL Rewrite]","['Prequel (OVA) Shin Tennis no Oujisama vs. Genius 10', 'Adaptation (Manga) Shin Tennis no Oujisama']",Shin Tennis no Oujisama: Hyoutei vs. Rikkai - Game of Future,['Sports'],,
158,"Fanren Xiu Xian Chuan Special, A Record of a Mortal's Journey to Immortality Special",凡人修仙传 特别篇 燕家堡大战,,,,,['ONA'],4,Finished Airing,"Jan 31, 2021 to Feb 14, 2021",,,['bilibili'],"None found,","['Original Force', 'Wonder Cat Animation']",Novel,"['Action', 'Adventure', 'Fantasy']","['Historical', 'Martial Arts']",,18 min. per ep.,PG-13 - Teens 13 or older,7.57,#1694,#10252,"3,250",9,1577,Episodes 18-21 of Fanren Xiu Xian Chuan.,"['Prequel (ONA) Fanren Xiu Xian Chuan', 'Sequel (ONA) Fanren Xiu Xian Chuan 2nd Season', 'Adaptation (Manhua) Fanren Xiu Xian Chuan', '']",Fanren Xiu Xian Chuan: Yan Jia Bao Dazhan,,,
159,,女武神的餐桌 新春SP,Cooking with Valkyries Spring Festival Special,,,,['ONA'],1,Finished Airing,"Feb 11, 2021",,,['miHoYoAnime'],"None found,","['Blade', 'Thundray']",Game,"['Comedy', 'Gourmet']",,,10 min.,PG-13 - Teens 13 or older,7.27,#2979,#10359,"3,146",13,1217,The St. Freya squad returns with a bubbling hot pot! Let Valkyries introduce you to a very special Spring Festival~ (Source: YouTube),[],Nu Wushen de Canzhuo Spring Festival Special,,,
