,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Spanish,French,Theme,German,Themes,Genre,Demographics
48,Collector Yui,コレクター・ユイ,Corrector Yui,['TV'],52,Finished Airing,"Apr 9, 1999 to Oct 20, 2000",['Spring 1999'],Fridays at 18:00 (JST),"['NHK', 'Studio Tron']",['VIZ Media'],['Nippon Animation'],Original,"['Adventure', 'Comedy', 'Sci-Fi']",,25 min. per ep.,G - All Ages,6.86,#5030,#5339,"18,178",65,7618,"Yui is an average schoolgirl who lives in a future where all computers are supported by a single global network known as COMNET. Yui is a computer-illiterate girl who after a computer-lab accident is approached by IR, a raccoon looking corrector computer program, which tells her she must save COMNET. She must stop the rogue A.I. (Artificial Intelligence) computer program known as Grosser and his hench-programs from taking over the world. Grosser was originally designed to be that manager of all of COMNET. At first she's very reluctant to play the heroine because of her complete lack of knowledge and ability with computers. To save COMNET she must find and gain the trust of the other seven wayward corrector programs. They must also find the creator or COMNET Professor Inukai, to help stop Grosser for good. (Source: ANN)","['Adaptation (Manga) Corrector Yui', 'Adaptation (Manga) Corrector Yui']",Corrector Yui,,,,,,,
49,Sensual Phrase,快感 フレーズ,,['TV'],44,Finished Airing,"Apr 20, 1999 to Mar 26, 2000",['Spring 1999'],Sundays at 00:20 (JST),"['TV Tokyo', 'Shogakukan Productions']","None found,",['Studio Hibari'],['Manga'],"['Drama', 'Romance']",['Shoujo'],24 min. per ep.,PG-13 - Teens 13 or older,7.32,#2727,#5816,"14,549",109,4419,"After the break up of their old band, guitarist Yuki & drummer Santa decide to form a new one. They recruit bass player Towa, young guitarist Atsuro, and after much persuasion, vocalist Sakuya. Together they form Lucifer and they struggle to make it in the music business, and also to stay together. As well, they have to deal with personal issues, such as parental objections, and watching their old bands succeed ahead of them. Sakuya is the most troubled band member, as he has to deal with his tragic past, and his relationship with teenaged lyricist Aine.","['Adaptation (Manga) Kaikan♥Phrase', '']",Kaikan Phrase,,,,,"['Music', 'Showbiz']",,
50,,サザエさん,Mrs. Sazae,['TV'],Unknown,Currently Airing,"Oct 5, 1969 to ?",['Fall 1969'],Sundays at 18:30 (JST),['Fuji TV'],"None found,",['Eiken'],['4-koma manga'],"['Comedy', 'Slice of Life']",,24 min.,G - All Ages,6.14,#9128,#7129,"8,811",39,1938,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. (Source: AniDB)","['Adaptation (Manga) Sazae-san', '']",Sazae-san,,,,,,,
51,"Ninja Boy Rantaro, Rakudaii Nintama Rantarou",忍たま乱太郎,,['TV'],Unknown,Currently Airing,"Apr 10, 1993 to ?",['Spring 1993'],Not scheduled once per week,"['NHK', 'Sogo Vision', 'NHK Enterprises']","None found,","['Ajia-do', 'Gakken']",['Manga'],,['Kids'],10 min.,G - All Ages,7.08,#4020,#7395,"8,016",77,2550,"Taking place in the Sengoku Period, Rantarou, Kirimaru and Shinbei are young students at Ninjutsu Academy, a school that teaches all kinds of youth how to become ninjas. Known as ""Nintamas"" (a contraction of ninja + tama [egg]), the main trio, and many other students at the school, must learn all sorts of unique skills to achieve their goal. Unfortunately, things aren't that simple, since our protagonists constantly find themselves failing their classes. With strict ninja teachers such as Doi-sensei and Yamada-sensei, the mischievous girls from the Kunoichi class, an entire crew of pirates and dozens more interesting characters, anything can happen in the crazy world of Nintama. The episodes are 7 minutes and thirty seconds long each, and each season (which there's currently 29 of) usually has a range of 60-90 episodes.","['Adaptation (Manga) Rakudai Ninja Rantarou', '']",Nintama Rantarou,El Ninja Boy Rantaró,,,,,['Comedy'],
52,Maruko-chan,ちびまる子ちゃん,Little Miss Maruko,['TV'],Unknown,Currently Airing,"Jan 8, 1995 to ?",['Winter 1995'],Sundays at 18:00 (JST),"['Ajia-do', 'Fuji TV', 'Sakura Production']","None found,",['Nippon Animation'],['Manga'],,['Shoujo'],23 min.,G - All Ages,7.34,#2627,#7911,"6,781",62,2189,"Momoko Sakura is an elementary school student who likes popular idol Momoe Yamaguchi and mangas. She is often called ""Chibi Maruko-chan"" due to her young age and small size. She lives together with her parents, her grandparents and her elder sister in a little town. In school, she has many friends with whom she studies and plays together everyday, including her close pal, Tama-chan; the student committee members, Maruo-kun and Migiwa-san; and the B-class trio: 'little master' Hanawa-kun, Hamaji-Bu Taro and Sekiguchi-kun. This is a fun-loving and enjoyable anime that portrays the simple things in life. (Source: ANN)","['Prequel (TV) Chibi Maruko-chan', 'Adaptation (Manga) Chibi Maruko-chan']",Chibi Maruko-chan (1995),Chibi Maruko-chan,,['School'],,,['Comedy'],
53,"Soreike! Anpanman, Go! Anpanman, Anpanman TV",それいけ！アンパンマン,,['TV'],Unknown,Currently Airing,"Oct 3, 1988 to ?",['Fall 1988'],Fridays at 16:20 (JST),"['Sotsu', 'Nippon Television Network']","None found,",['TMS Entertainment'],Picture book,"['Comedy', 'Fantasy']",['Kids'],24 min.,PG - Children,6.58,#6587,#9191,"4,613",31,1739,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. (Source: ANN)",[],Sore Ike! Anpanman,,,,,,,
54,,キョロちゃん,,['TV'],91,Finished Airing,"Jul 1, 1999 to Mar 29, 2001",['Summer 1999'],Thursdays at 18:00 (JST),"['TV Tokyo', 'Aniplex', 'Nihon Ad Systems']","None found,",['Group TAC'],Other,"['Adventure', 'Comedy', 'Fantasy']",,25 min. per ep.,PG - Children,7.28,#2944,#10082,"3,465",26,1740,"While exploring ruins on Angel Island, a doctor finds a myserious newborn bird called Kyoro-chan. Together they form a bond and decide to travel the world together. Three years later when the Doctor and Kyoro-chan try to return to Angel Island they become shipwrecked from a storm. Kyoro-chan was able to make it safely to the island but the Doctor was nowhere to be found. Kyoro-chan prays for his safety and hope he returns as he now starts his new life on Angel Island.",[],Kyoro-chan,,,,,,,
55,,どーもくん,,['TV'],37,Finished Airing,"Dec 22, 1998 to Jan 1, 2008",['Winter 1999'],Not scheduled once per week,['NHK'],"None found,",['dwarf'],Other,"['Comedy', 'Slice of Life']",['Kids'],39 sec. per ep.,G - All Ages,6.43,#7543,#10462,"3,086",14,948,"A strange monster hatches from a mysterious egg. He befriends various animals, and takes residence in Osajii's burrow. He discovers new and exciting things about everyday life. As of 2008, there are at least 37 regular TV spot episodes of Domo-kun. These 37 episodes were released on DVD in Japan in July of 2009.",[],Domo-kun,,,,,,,
56,"Bomberman Bedaman Bakuretsu Gaiden V, Bomber Man & Bidaman Bakugaiden V, B Bidaman Bakugaiden V, B-Daman Bakugaiden Victory",B[ボンバーマン]ビーダマン爆外伝V[ビクトリー],,['TV'],50,Finished Airing,"Feb 7, 1999 to Jan 30, 2000",['Winter 1999'],Sundays at 07:00 (JST),['Nagoya Broadcasting Network'],"None found,",['Madhouse'],Game,,,24 min. per ep.,PG-13 - Teens 13 or older,6.47,#7250,#11072,"2,573",0,1148,"The sequel to B.B-DAMAN BAKUGAIDEN starts when SHIRO BOM and AO BOM are members of the B-da cops who protect the peace of B-da Union. One day, they see a space ship being chased by space pirate and they crash into the wilderness. Princess (AKA BOM) whose kingdom has been attached was lying beside a shining gem with mysterious power called ""Crysmond"". The enemy is after this gem! Joined by KIIRO BOM and KURO BOM, B-daman’s adventure to protect the Crysmond from the Devil Veders starts… (Source: d-rights)","['Prequel (TV) Bomberman B-Daman Bakugaiden', '']",Bomberman B-Daman Bakugaiden Victory,,,,,,['Sci-Fi'],
57,,おじゃる丸,Prince Mackaroo,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",['Kids'],10 min.,G - All Ages,6.39,#7744,#11559,"2,229",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,,,,,,,
58,"Chisana Kyoujin Mikuroman, The Small Giant Microman, Microman MagnePowers",小さな巨人ミクロマン,,['TV'],52,Finished Airing,"Jan 4, 1999 to Dec 27, 1999",['Winter 1999'],Mondays at 18:00 (JST),"['TV Tokyo', 'Yomiko Advertising']","None found,",['Pierrot'],Other,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",,25 min. per ep.,G - All Ages,6.33,#8065,#12388,"1,712",3,595,3 kids meet 5 micro-sized superheroes from another world who enlist in their aid in fighting off alien invaders.,[],Chiisana Kyojin Microman,,,,,"['Mecha', 'Super Power']",,
59,,しましまとらのしまじろう,,['TV'],726,Finished Airing,"Dec 13, 1993 to Mar 31, 2008",['Winter 1994'],Mondays at 18:00 (JST),"['TV Tokyo', 'Azeta Pictures']","None found,",['Studio Kikan'],Original,"['Adventure', 'Comedy', 'Fantasy']",['Kids'],23 min. per ep.,G - All Ages,5.92,#10325,#13250,"1,323",4,558,"Shimajiro, a preschool-aged tiger boy, has adventures with his friends Mimirin, Ramurin, Nyakki, and Toriipi on Challenge Island.","['Sequel (TV) Hakken Taiken Daisuki! Shimajirou', '']",Shima Shima Tora no Shimajirou,,,['Anthropomorphic'],,,,
60,,親子クラブ,,['TV'],1818,Finished Airing,"Oct 3, 1994 to Mar 30, 2013",['Fall 1994'],Unknown,['Fuji TV'],"None found,",['Eiken'],Original,"['Comedy', 'Slice of Life']",,5 min. per ep.,G - All Ages,5.47,#12200,#13611,"1,199",0,442,This anime was running almost 20 years and has over 1800 episodes.,[],Oyako Club,,,,,,,
61,BuBu ChaCha,ぶぶチャチャ,,['TV'],26,Finished Airing,"Apr 29, 1999 to Nov 25, 1999",['Spring 1999'],Thursdays at 18:00 (JST),"None found,","None found,",['Daume'],Original,"['Comedy', 'Slice of Life']",,20 min. per ep.,G - All Ages,6.63,#6323,#13634,"1,189",2,456,"Bubu Chacha is about a dog who died due to a fateful accident and was resurrected as a toy car. Together, he and Randy learn many new things about the world and about friendship that never dies.","['Sequel (TV) Daisuki! BuBu ChaCha', '']",Norimono Oukoku BuBu ChaCha,,,['Pets'],,,,
62,Saiyuuki,西游记,Journey to the West: Legends of the Monkey King,['TV'],52,Finished Airing,"Jul 23, 1999 to Jan 15, 2000",['Summer 1999'],Unknown,['CCTV Animation'],"None found,","None found,",Novel,"['Adventure', 'Fantasy']",,24 min. per ep.,PG - Children,6.93,#4707,#13705,"1,168",8,433,"Sun Wukong, who was born from a magic stone, has been imprisoned underneath a mountain for five centuries for his mischief in the heavens. One day, the Diety Guanyin told Wukong that the Monk Tangsen will set him free, and Wukong will join him on a pilgrimage from China to India. The next day, Xuanzang came and set him free, and the two started their Journey to the west. Along the way, they meet two new friends, Zhu Bajie and the Hermit Sha Wujing who joins them on the journey; together, they face many dangers and evil creatures and sorcerers and learn to get along. (Source: Wikipedia)",[],Xi You Ji,,,,,,,
63,Hikarian: Great Railroad Protector,超特急ヒカリアン,Super Express Hikarian,['TV'],156,Finished Airing,"Apr 2, 1997 to Mar 29, 2000",['Spring 1997'],Unknown,['TV Tokyo'],"None found,","None found,",Unknown,"['Action', 'Adventure']",['Kids'],7 min. per ep.,G - All Ages,6.15,#9076,#14329,987,1,366,"Chou Tokkyuu Hikarian is about a series of bullet trains that are turned into robots. The robots, along with two humans named Tetsuyuki Shinbashi and Minayo Kanda, have to stop an alien invasion. (Source: Wikipedia)","['Sequel (TV) Denkou Chou Tokkyuu Hikarian', '']",Chou Tokkyuu Hikarian,,,,,,,
64,,イソップ・ワールド,,['TV'],26,Finished Airing,"Apr 5, 1999 to Dec 31, 1999",['Spring 1999'],Mondays at 18:30 (JST),"None found,","None found,",['Sunrise'],Original,,['Kids'],11 min. per ep.,G - All Ages,5.76,#11093,#15334,735,1,199,"Three kids living in the Watermill Village were planning a picnic in the mountains. Of course Pico, a young hamster kid wanted to go to the mountain peak with her friends Tocho and Fufu. The three of them fall in a hidden lake beneath the mountains and discovered a giant fish named Aesop floating. The knew that the fish wanted to fly again, in order to do that, they must collect mystical scales all across the world. Because of this, they start their search for the mystical scales in order for Aesop's dream to come true. (Source:ANN)",[],Aesop's World,,,,,,['Adventure'],
65,,날아라 슈퍼보드,The Flying Superboard,['TV'],54,Finished Airing,"Aug 21, 1990 to Jan 11, 2002",['Summer 1990'],Tuesdays at Unknown,['KBS'],"None found,","None found,",['Manga'],"['Action', 'Adventure', 'Comedy']",,22 min. per ep.,PG - Children,[],#20602,#16832,525,0,,"As a punishment for causing havoc in Heaven, Sonogong is locked in a huge iron mass for 500 years until Samjang Bupsa, an old priest embarking on a mission to rid the world of evil and spread peace throughout the land, rescues him. Sonogong becomes Samjang's disciple. He meets Saojung who enviously eyes Sonogong's amazing Superboard, and a brute swine oil seller Jopalgye. After several twists and turns, they join on Samjang's journey. Wherever they go, they meet overwhelming enemies and get into trouble. But they don't get frustrated and find ingenious way to defeat monsters. (Source: AniDB)",[],Narara Superboard,,,,,,,
66,Susie-chan & Marvy,スージーちゃんとマービー,Little Susie and Marvy,['TV'],104,Finished Airing,"Apr 5, 1999 to Feb 3, 2000",['Spring 1999'],Unknown,['Shogakukan Productions'],"None found,",['Xebec'],Unknown,,['Kids'],15 min. per ep.,None,[],#14650,#17685,445,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Susie-chan to Marvy,,,,,,['Comedy'],
67,,ヨシモトムチッ子物語,Yoshimoto Insect Stories,['TV'],47,Finished Airing,"Oct 26, 1998 to Nov 5, 1999",['Fall 1998'],Unknown,"['TV Tokyo', 'Shogakukan Productions']","None found,",['Shin-Ei Animation'],Unknown,,,40 min. per ep.,PG-13 - Teens 13 or older,[],#16113,#17876,431,1,,A children's series about the daily lives of funny insects. (Source: AniDB),[],Yoshimoto Muchikko Monogatari,,,,,,['Comedy'],
68,"Yancharumon Cha, Yancharumoncha, Yancharumon Tea",やんちゃるモンちゃ,,['TV'],80,Finished Airing,"Apr 5, 1999 to Mar 30, 2002",['Spring 1999'],Unknown,['NHK'],"None found,",['Asahi Production'],Unknown,,['Kids'],1 min. per ep.,PG - Children,[],#15991,#18999,347,0,,An NHK toddler's anime following a green tea monkey and his mischief.,[],Yancharu Moncha,,,,,,,
69,,ストレイシープの大冒険,The Adventure of Stray Sheep,['TV'],12,Finished Airing,"Dec 24, 1994 to Dec 23, 2000",['Winter 1995'],Not scheduled once per week,['Fuji TV'],"None found,",['Robot Communications'],Original,,['Kids'],5 min. per ep.,G - All Ages,[],#14612,#22487,156,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Stray Sheep: Poe no Chicchana Daibouken', '']",Stray Sheep no Daibouken,,,,,,['Adventure'],
70,Moopon,ムーぽん,,['TV'],52,Finished Airing,"Apr 3, 1999 to Mar 25, 2000",['Spring 1999'],Sundays at Unknown,"None found,","None found,","None found,",Unknown,,['Kids'],55 sec. per ep.,PG - Children,[],#20502,#24739,99,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Muupon 2nd Season', '']",Muupon,,,,,,['Comedy'],
71,"Legend of the Galactic Heroes Gaiden: Spiral Labyrinth, LoGH Gaiden: Spiral Labyrinth",銀河英雄伝説外伝 螺旋迷宮,Legend of the Galactic Heroes Gaiden (1999),['OVA'],28,Finished Airing,"Dec 24, 1999 to Jul 21, 2000",,,"['Tokuma Shoten', 'Tokuma Japan', 'Wright Staff']",['Sentai Filmworks'],['K-Factory'],Novel,"['Action', 'Drama', 'Sci-Fi']",,26 min. per ep.,R - 17+ (violence & profanity),8.06,#581,#5015,"21,291",27,7864,"Ginga Eiyuu Densetsu Gaiden (1999) is the second of two OVA adaptations of side stories from the Ginga Eiyuu Densetsu novel series. This second adaptation follows the achievements of Yang Wen-li of the Free Planets Alliance before the fateful Battle of Astarte, and continues the tales of Reinhard von Müsel and Siegfried Kircheis of the Galactic Empire. Spiral Labyrinth Yang is propelled to the spotlight after his famous evacuation of civilians from El Facil. Following an unofficial double promotion and a flurry of media attention, he chronicles his research of the Year 730 Mafia—a close-knit group of Alliance military officers centered around the famed tactician Bruce Ashbey. He investigates a startling claim by Ashbey's deceased widow that may have enormous political ramifications: that the great war hero was not killed in action but murdered. The Mutineer Reinhard and Kircheis are posted on the destroyer Hameln II, docked at Iserlohn Fortress. After gaining the respect of the crew, Reinhard's leadership is tested when the captain is severely wounded and passes command authority to Reinhard, the next-highest ranking officer on deck. The Duelist While Reinhard and Kircheis are working in the Imperial capital Odin, Reinhard learns of a mining rights dispute involving Dorothea von Schaffhausen, a friend of his sister Annerose von Grünewald. Upon hearing that Count Herxheimer intends to settle the matter with a duel, Reinhard volunteers to represent the Schaffhausen family. The Retriever After falling out of favor with the nobility, Count Herxheimer is trying to escape to the Free Planets Alliance with a stolen Seffle particle generator prototype. Reinhard is tasked with retrieving both the prototype and the defector, but is only assigned the cruiser Hässliche Entlein due to the confidential nature of the mission. The Third Battle of Tiamat To commemorate the 30th year of the reign of Kaiser Friedrich IV, the Empire announces a large-scale military campaign against the Free Planets Alliance. In the ensuing clash between the Imperial expeditionary force and three Alliance fleets, Reinhard's timely intervention shapes the tides of war. [Written by MAL Rewrite]","['Sequel (Movie) Ginga Eiyuu Densetsu: Waga Yuku wa Hoshi no Taikai', 'Adaptation (Novel) Ginga Eiyuu Densetsu Gaiden']",Ginga Eiyuu Densetsu Gaiden (1999),,,,,"['Adult Cast', 'Military', 'Space']",,
72,,マスターキートン,,['OVA'],15,Finished Airing,"Dec 22, 1999 to Jun 21, 2000",,,['VAP'],['Geneon Entertainment USA'],['Madhouse'],['Manga'],"['Adventure', 'Drama', 'Mystery']",['Seinen'],24 min. per ep.,R - 17+ (violence & profanity),7.73,#1221,#6423,"11,292",19,3527,"Taichi Keaton is a man of many talents: father, historian, frequent traveler, negotiator, archaeologist, former survival instructor, and all while working as an insurance investigator for Lloyd's of London. While his methods may seem a bit unorthodox, he gets the job done when needed, but not without a little something to learn or teach in the process. Through all of his adventures, some people call him a quack. Those who know him well call him a master of life... (Source: ANN)","['Prequel (TV) Master Keaton', 'Adaptation (Manga) Master Keaton']",Master Keaton OVA,,,,,"['Adult Cast', 'Historical']",,
73,"Pocket Monsters: Pikachu no Fuyuyasumi (2000), Let's Play on the Ice!, Winter Games, Stantler's Little Helpers",ピカチュウのふゆやすみ2000,Pokémon: Pikachu's Winter Vacation (2000),['OVA'],2,Finished Airing,"Dec 22, 1999",,,"None found,",['4Kids Entertainment'],['OLM'],Game,"['Adventure', 'Comedy', 'Fantasy']",['Kids'],11 min. per ep.,PG - Children,6.43,#7510,#6605,"10,573",1,4818,"Pikachu's Winter Vacations are three series of videos, each composed of several Pikachu shorts. All shorts deal with winter and Christmas. This is the second series and contains Winter Games & Stantler's Little Helpers.","['Prequel (OVA) Pokemon: Pikachu no Fuyuyasumi', 'Sequel (OVA) Pokemon: Pikachu no Fuyuyasumi (2001)']",Pokemon: Pikachu no Fuyuyasumi (2000),,,,,,,
74,,クィーン・エメラルダス,,['OVA'],4,Finished Airing,"Jun 5, 1998 to Dec 18, 1999",,,"['Bandai Visual', 'Four Some', 'Dynamic Planning', 'Multi Access Company']",['ADV Films'],['OLM'],['Manga'],"['Action', 'Adventure', 'Sci-Fi']",['Shounen'],36 min. per ep.,PG-13 - Teens 13 or older,6.82,#5226,#7221,"8,555",15,3124,"In a far distant future, a would-be master race seeks to dominate the galaxy. Against these merciless Afressians, mankind has just one hope: the mysterious female warrior known as Emeraldas. Driven by the tortured memory of her lost love, Emeraldas sails the Sea of Stars like a privateer of old, blasting the forces of tyranny into atoms with an amazing array of futuristic weapons. But when the devious Commander Eldomain kidnaps a group of innocent civilians, Emeraldas is drawn into a deadly trap from which even she may not escape! (Source: ADV Films)","['Adaptation (Manga) Queen Emeraldas Read Manga', '']",Queen Emeraldas,,,['Space'],,,,
75,,G-taste (ジィ・テイスト),,['OVA'],7,Finished Airing,"Dec 18, 1999 to Apr 24, 2003",,,['Green Bunny'],"['Critical Mass Video', 'SoftCel Pictures']",['AIC'],['Manga'],"['Girls Love', 'Hentai']",['Seinen'],24 min. per ep.,Rx - Hentai,5.83,N/A,#7271,"8,401",30,2780,"Volume #1: A Taste of Honey (Eps #1-3) Although she tries hard, lovely office worker Moe bungles her assignments more often than not. She'd fare better if she spent more time working and less time playing with the office equipment, but it wouldn't be near as much fun. Nana's so cute in her maid's outfit that it's easy to see why everyone wants a piece of her. And while domineering Mai is used to being the boss, she's going to discover the joys of humiliation. A taste will only leave you wanting more, so obey your sweet tooth. Volume #2: Heat Wave (Eps #4-6) Sayaka is trying to be a prim and proper teacher, but every time she steps in front of a classroom she gets hot... And turning up the air conditioner isn't going bring her temperature down one bit. Misuzu may be a world-class swimmer, but the cold water in the practice pool only heats things up. She's one bathing beauty who doesn't need a sauna to make things steamy. The heat index will soar as these two lovely ladies do their best to set the screen on fire. (Source: AniDB)",[],G-Taste,,,,,,,
76,Harlock Saga: The Ring of the Nibelung - The Rhein Gold,ハーロック・サーガ ニーベルングの指環,Harlock Saga,['OVA'],6,Finished Airing,"Jan 25, 1999 to Nov 25, 1999",,,"['Bandai Visual', 'Avex Entertainment', '81 Produce']",['Central Park Media'],"['Studio Z5', 'Studio March']",['Manga'],"['Action', 'Adventure', 'Drama', 'Sci-Fi']",['Seinen'],25 min. per ep.,R - 17+ (violence & profanity),6.63,#6306,#7742,"7,163",6,2789,Captain Herlock is drawn into a saga of intergalactic proportions when the son of a deceased comrade unwittingly forges the Ring of the Niebelung. Evil forces gather to wage war against the last remaining superpowers of the galaxy led by a demented outcast. Herlock must counter the amassed armadas that threaten the last gods and recover the ring before Paradise is lost. (Source: ANN),"['Prequel (TV) Uchuu Kaizoku Captain Herlock', 'Sequel (OVA) Maetel Legend', 'Adaptation (Manga) Nibelung no Yubiwa', '']",Herlock Saga: Nibelung no Yubiwa,Harlock Saga: El Anillo de los Nibelungos,Harlock saga 'L'anneau des nibelunghen',['Space'],Harlock Saga: Der Ring des Nibelungen,,,
77,"Weiss Kreuz OVA, Weiss Kreuz: Verbrechen und Strafe, White Cross",Weiß Kreuz ヴァイスクロイツ,Knight Hunters OVA,['OVA'],2,Finished Airing,"Nov 25, 1999 to Feb 23, 2000",,,['Marine Entertainment'],"None found,","['Triangle Staff', 'animate Film']",Unknown,"['Action', 'Drama']",,30 min. per ep.,R - 17+ (violence & profanity),6.81,#5311,#8214,"6,161",19,2889,"Someone out there is determined to see the fall of Weiss Kreuz, and it looks like they have found the perfect plan for it. The four assassins find themselves trapped in a deadly game of deceit, where the question of honor versus duty comes to surface. Now they must fight for their own reasons to survive--and there can be only be one victor in this field of death. (Source: AniDB)","['Prequel (TV) Weiß Kreuz', 'Sequel (TV) Weiß Kreuz Glühen']",Weiß Kreuz OVA,,,,,,,
78,"Sakura Wars: The Radiant Gorgeous Blooming Cherry Blossoms, Sakura Wars OVA 2",サクラ大戦 轟華絢爛,Sakura Wars 2: Return of the Spirit Warriors,['OVA'],6,Finished Airing,"Dec 18, 1999 to Dec 21, 2000",,,"['Bandai Visual', 'animate Film', 'd-rights', 'Sega', 'animate', 'Imagine', 'Omnibus Promotion']",['ADV Films'],['Radix'],Game,"['Adventure', 'Sci-Fi', 'Slice of Life']",,31 min. per ep.,PG-13 - Teens 13 or older,6.82,#5229,#8561,"5,641",9,2230,The end of the demon wars has ended and now the Flower Division has been able to rest up after their fighting. The second Sakura Wars developes studies on every Flower Division Combatee in every episode while they go on their miscellanious adventures around Japan. (Source: ANN),"['Prequel (OVA) Sakura Taisen: Ouka Kenran', 'Sequel (Movie) Sakura Taisen: Katsudou Shashin', 'Sequel (OVA) Sakura Taisen: Ecole de Paris', '']",Sakura Taisen: Gouka Kenran,,,,,"['Mecha', 'Performing Arts']",,
79,Pia Carrot 2 DX,Pia キャロット へ ようこそ!! 2 DX,,['OVA'],6,Finished Airing,"Dec 18, 1999 to Oct 25, 2000",,,"None found,",['Sentai Filmworks'],['Garyuu Studio'],Visual novel,"['Comedy', 'Romance']",,28 min. per ep.,PG-13 - Teens 13 or older,6.20,#8854,#10297,"3,228",2,1382,"Kouji wants to work part-time, so, when he saw a cute girl with the Pia Carrot uniform, he tried to get a job there. When he's on the way, he accidentally bumped Azusa, and with some misunderstanding, they literally hate each other. What is the surprise of Kouji when he finds that she also got a job in the Pia Carrot, facing her daily. But as time passes, he will discover that 'hate' is not the appropriate word to describe his feelings... (Source: ANN)","['Sequel (Movie) Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari', '']",Pia Carrot e Youkoso!! 2 DX,,,,,,,
80,,黒の断章,Mystery of the Necronomicon,['OVA'],4,Finished Airing,"Oct 29, 1999 to Sep 25, 2000",,,['Discovery'],"['Central Park Media', 'Critical Mass Video']",['JOF'],Visual novel,"['Horror', 'Hentai']",,31 min. per ep.,Rx - Hentai,5.67,N/A,#10340,"3,188",11,1031,"While vacationing with his adopted daughter, Private Detective Susuki becomes trapped in a secluded ski resort with a few other vacationers after a storm closes the place down. All is well until one of the guests is found brutally murdered. Being the good investigator he is, Susuki gets to work to find the killer. While digging for the killer, Susuki uncovers a lot of dirt on the other guests and even finds out a thing or two about his own past. But, as Susuki struggles to find the killer, the other guests start to point the finger at him. (Source: AniDB)","['Adaptation (Light Novel) Kuro no Danshou', '']",Kuro no Danshou,,Mystery of the Necronomicon,,,,,
81,,超神姫ダンガイザー3,,['OVA'],4,Finished Airing,"Oct 8, 1999 to Mar 23, 2001",,,['KSS'],"None found,",['Chaos Project'],Original,"['Adventure', 'Sci-Fi', 'Ecchi']",,30 min. per ep.,R+ - Mild Nudity,5.46,#12227,#10199,"3,332",3,1129,"10,000 years ago, acting as judge, jury and executioner, Dangaizer sealed the fate of mankind by reducing it to ashes. Slowly, mankind rebuilt their civilization and once again stands at its peak. Hiding amongst the survivors of mankind, the evil organization of Goma lies in wait for the return of Dangaizer. This time, it’s a race to stop the awakening of the 3 that can pilot Dangaizer and subjugate the world to their rule. Will the 3rd pilot learn her true destiny and awaken in time, or will the world find a new destiny in the hands of Goma? (Source: AniDB)",[],Choushin Hime Dangaizer 3,,,['Mecha'],,,,
