,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,German,Spanish,French,Demographic,Genre,Theme,Demographics
10,Arcana Famiglia: La Storia Della Arcana Famiglia,アルカナ・ファミリア －La storia della Arcana Famiglia－,La storia della Arcana Famiglia,['TV'],12,Finished Airing,"Jul 1, 2012 to Sep 16, 2012",['Summer 2012'],Sundays at 23:30 (JST),"['Frontier Works', 'Movic', 'Warner Bros. Japan', 'Showgate']",['Sentai Filmworks'],['J.C.Staff'],Visual novel,"['Action', 'Fantasy', 'Romance']",,24 min. per ep.,PG-13 - Teens 13 or older,6.26,#8494,#1210,"214,077",386,100768,"​On the island of Regalo, a group of supernaturally powered mafia-like protectors called the Arcana Famiglia safeguard the people from any who would harm them. The members of their organization, having made contracts with tarot cards, each possess different abilities, such as overwhelming strength, invisibility, or the power to see into someone's heart. Mondo, their leader and the ""Papa"" of their family, announces at his birthday party that he will be retiring soon. He plans to hold the Arcana Duello, a competition that, if won, will grant the winner the title of Papa and any wish they desire. But there is more at stake than just a title: Mondo also decides that the winner will marry his daughter, Felicità. Enraged by this, the strong-willed Felicità decides to enter the competition herself, in order to make her own way in the world. As Felicità battles for her freedom, her competitors battle for her heart. [Written by MAL Rewrite]","['Adaptation (Manga) Arcana Famiglia: Amore Mangiare Cantare!', '']",Arcana Famiglia,,La storia della Arcana Famiglia,,,,['Reverse Harem'],
11,Jintai,人類は衰退しました,Humanity Has Declined,['TV'],12,Finished Airing,"Jul 2, 2012 to Sep 17, 2012",['Summer 2012'],Unknown,"['AIC', 'Sotsu', 'Lantis', 'Pony Canyon', 'Movic', 'Marvelous AQL']",['Sentai Filmworks'],['AIC ASTA'],['Light novel'],"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,7.71,#1266,#1310,"195,614","1,961",62912,"Because of the constantly declining birth rates over many decades, human civilization is all but extinct. With only a few humans remaining, they survive in this post-apocalyptic world with what was left behind by the previous generations. Earth is now dominated by fairies, tiny creatures with extremely advanced technology, an obsession with candy, and a complete disregard for human safety. A young girl who has just finished her studies returns to her hometown and is designated as an official United Nations arbitrator. Her duty is to serve as a link between mankind and fairies, reassuring each side that both races can live together peacefully. She imagines this task will be easy enough, but controlling the disasters created by the oblivious fairies in their pursuit of candy will require a lot more effort than she initially believes. [Written by MAL Rewrite]","['Adaptation (Manga) Jinrui wa Suitai Shimashita: Yousei, Shimasu ka?', 'Adaptation (Light Novel) Jinrui wa Suitai Shimashita']",Jinrui wa Suitai Shimashita,Humanity Has Declined,Humanity Has Declined: (Jinrui wa Suitai Shimashita),Humanity Has Declined,,,,
12,Yuru Yuri S2,ゆるゆり♪♪,YuruYuri: Happy Go Lily ♪♪,['TV'],12,Finished Airing,"Jul 3, 2012 to Sep 18, 2012",['Summer 2012'],Unknown,"['Sotsu', 'Pony Canyon', 'DAX Production']","['NIS America, Inc.']",['Doga Kobo'],['Manga'],"['Comedy', 'Girls Love']","['CGDCT', 'Gag Humor', 'School']",23 min. per ep.,PG-13 - Teens 13 or older,7.81,#1012,#1334,"191,686",972,104696,"The girls of the Amusement Club return in Yuru Yuri♪♪, finding new ways to make passing time even more enjoyable. Their members consist of the always energetic Kyouko Toshinou; calm and sensible Yui Funami; polite but often overlooked Akari Akaza; and Chinatsu Yoshikawa, who stumbled upon the others while looking for the Tea Ceremony Club. Together they are the Amusement Club, which has the deceptively simple task of keeping its members entertained. Along with the Student Council and the odd family member, they strive to enjoy their youth to the fullest. Whether it's a trip to a hot spring or finishing overdue homework, their lives are never dull, and they will always find an excuse to spend time together. [Written by MAL Rewrite]","['Prequel (TV) Yuru Yuri', 'Sequel (OVA) Yuru Yuri Nachuyachumi!', 'Adaptation (Manga) Yuru Yuri', '']",Yuru Yuri♪♪,YuruYuri STaffel 2,Yuru Yuri Temporada 2,YuruYuri Saison 2,,,,
13,Rakugo Girls,じょしらく,Joshiraku,['TV'],13,Finished Airing,"Jul 6, 2012 to Sep 28, 2012",['Summer 2012'],Unknown,"['Starchild Records', 'Mainichi Broadcasting System', 'Kodansha', 'KlockWorx']",['Maiden Japan'],['J.C.Staff'],['Manga'],,"['Adult Cast', 'Gag Humor', 'Parody', 'Performing Arts']",24 min. per ep.,PG-13 - Teens 13 or older,7.44,#2191,#1375,"186,245",779,50392,"Joshiraku follows the conversations of five rakugo storyteller girls relating the odd things that happen to them each day. Their comedic and satirical chatting covers all kinds of topics, from pointless observations of everyday life, to politics, manga, and more. Each girl has something new to add to the discussion, and the discourse never ends in the same place it began. Each of the rakugo girls has their own unique personality, with the energetic but immature Marii Buratei; the seemingly cute Kigurumi Haroukitei; the inherently lucky and carefree Tetora Bouhatei; the calm and violent Gankyou Kuurubiyuutei; and the pessimistic and unstable Kukuru Anrakutei. These girls—and their mysterious friend in a wrestling mask—give their observations to the audience, either backstage at the rakugo theater or in various famous locations around Tokyo. [Written by MAL Rewrite]","['Sequel (OVA) Joshiraku OVA', 'Adaptation (Manga) Joshiraku']",Joshiraku,,,,['Shounen'],['Comedy'],,
14,,TARI TARI,Tari Tari,['TV'],13,Finished Airing,"Jul 1, 2012 to Sep 23, 2012",['Summer 2012'],Sundays at 22:30 (JST),"['Bandai Visual', 'Dentsu', 'Sotsu', 'Lantis', 'Pony Canyon', 'Showgate', 'Good Smile Company', 'Infinite']",['Sentai Filmworks'],['P.A. Works'],Original,,"['Music', 'School']",24 min. per ep.,PG-13 - Teens 13 or older,7.28,#2905,#1534,"164,340",543,59058,"At Shirahamazaka High School, a special recital is held every year in which music students are able to showcase their talents in front of professionals and other prestigious guests. Third-year Konatsu Miyamoto desperately wants to sing in her last high school recital, but because she screwed up the year before, the vice principal has barred her from participating. That's when Konatsu comes up with a new plan to get involved; instead of joining the official choir, she'll form her own singing club with her friends! Unfortunately this proves to be harder than she imagined. Her friend Wakana Sakai has given up on singing, for one, and Konatsu needs more than just two members. With only a month left until the recital, will Konatsu be able to find enough members for her club and actually be ready to sing at one of the most important events of the school year and graduate without regrets?","['Adaptation (Manga) Tari Tari', '']",Tari Tari,,,,,['Slice of Life'],,
15,Dog Days 2,ドッグデイズ',,['TV'],13,Finished Airing,"Jul 7, 2012 to Sep 29, 2012",['Summer 2012'],Saturdays at 23:30 (JST),"['Aniplex', 'Good Smile Company']","None found,",['Seven Arcs'],Original,"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,6.98,#4466,#2117,"107,377",148,55596,"Cinque returns to the land of Flonyard in Dog Days' to resume his duties as the hero of the Biscotti Republic and it's as though he never left! The difference this time is that he's brought two friends with him who become heroes in their own right: childhood best friend Rebecca Anderson, who becomes the hero for the Principality of Pastillage at the urging of their leader Princess Couvert Eschenbach Pastillage, and his cousin Nanami Takatsuki, who becomes the hero for the Galette Lion Dominion. As with the first season though, with so many secrets to be uncovered and mysteries to be solved, will there even be time for the athletic events that these three hyper and athletic teenagers love to participate in so much?","['Prequel (TV) Dog Days', ""Sequel (TV) Dog Days''""]",Dog Days',,Dog Days´,Dog Days´,,,['Isekai'],
16,"MuvLuv Alternative Total Eclipse, MLA TE",マブラヴ オルタネイティヴ トータル・イクリプス,Muv-Luv Alternative: Total Eclipse,['TV'],24,Finished Airing,"Jul 2, 2012 to Dec 24, 2012",['Summer 2012'],Mondays at 01:35 (JST),"['TV Tokyo', 'Avex Entertainment', 'AT-X', 'Magic Capsule', 'Nippon Cultural Broadcasting']",['Sentai Filmworks'],"['Satelight', 'lxtl']",['Light novel'],"['Action', 'Drama', 'Sci-Fi']","['Gore', 'Mecha', 'Military']",24 min. per ep.,R+ - Mild Nudity,7.08,#4010,#2250,"98,222",340,42101,"In 1973, following the ruthless six-year-long Lunar War, the hostile alien species known as the BETA—Beings of Extra Terrestrial origin which are Adversary of the human race—invaded Earth, killing billions and decimating Eurasia. While BETA can be destroyed with conventional weapons, their laser-class is able to wipe out entire aircraft fleets, forcing mankind to develop giant combat suits called Tactical Surface Fighters (TSF) to combat them. When the BETA reach Japan in 1998, military school student and TSF pilot—or eishi—Yui Takamura is ordered to defend Kyoto's last line of defense with her fellow classmates. At the cost of countless human lives and the sacrifice of Yui's friends, the Japanese Imperial Army manages to repel the invaders, leaving destruction in its wake. However, this encounter leaves Yui determined to never again allow something like this to occur. Three years later, now a lieutenant, Yui joins the XFJ project, an Alaska-based Japan-American TSF development program. In an international team composed of the uncooperative Japanese-American test pilot Yuuya Bridges and various eishi from countries lost to the BETA, Yui's task is to help develop the new Japanese TSF Shiranui. Amidst political tensions inherited from the Cold War, Muv-Luv Alternative: Total Eclipse follows Yui's delicate mission and Yuuya's journey to overcome the demons of the past that still haunt him. [Written by MAL Rewrite]","['Adaptation (Manga) Muv-Luv Alternative: Total Eclipse', 'Adaptation (Light Novel) Muv-Luv Alternative: Total Eclipse']",Muv-Luv Alternative: Total Eclipse,,Total Eclipse,,,,,
17,A Summer Snow Rendezvous,夏雪ランデブー,Natsuyuki Rendezvous,['TV'],11,Finished Airing,"Jul 6, 2012 to Sep 14, 2012",['Summer 2012'],Fridays at 01:15 (JST),"['Dentsu', 'Fuji TV', 'TOHO', 'Sony Music Entertainment', 'Shodensha']",['Sentai Filmworks'],['Doga Kobo'],['Manga'],"['Drama', 'Romance', 'Supernatural']",,23 min. per ep.,PG-13 - Teens 13 or older,7.25,#3118,#2443,"86,005",268,33954,"Ryousuke Hazuki is a young man whose heart has been stolen away, stopping by the local floral shop daily in order to catch a glimpse of the beautiful Rokka Shimao, the shop's owner. In hopes of getting close to her, he decides to get a part-time job at the shop, but before he is able to make his move, he runs into a major roadblock: in her apartment dwells a ghost who claims to be Rokka's deceased husband. Atsushi Shimao has quietly watched over his widowed wife ever since he passed three years ago. However, Hazuki is the first person to ever notice him, and the two quickly find themselves at odds: the jealous Shimao attempts to thwart the suitor's advances and possess his body, while Hazuki simply wants the ghost to pass on for good, allowing Rokka to move on from the past and him to be with the one he loves. As both men refuse to let go of their desires, an unusual relationship forms between a troubled woman, an unrelenting ghost, and a stubborn man in love. [Written by MAL Rewrite]","['Adaptation (Manga) Natsuyuki Rendezvous', '']",Natsuyuki Rendezvous,,,,['Josei'],,['Adult Cast'],
18,"Horizon on the Middle of Nowhere II, Kyoukai Senjou no Horizon 2",境界線上のホライゾンII,Horizon in the Middle of Nowhere II,['TV'],13,Finished Airing,"Jul 8, 2012 to Sep 30, 2012",['Summer 2012'],Unknown,"['Bandai Visual', 'Lantis', 'ASCII Media Works', 'Sony PCL']",['Sentai Filmworks'],['Sunrise'],['Light novel'],"['Action', 'Fantasy', 'Sci-Fi']",,24 min. per ep.,R+ - Mild Nudity,7.46,#2123,#2453,"85,403",338,37922,"Taking advantage of the opportunity that the Mikawa Conflict provides, Tori and his comrades attempt to rescue Horizon from the Testament Union. But even as the Floating City Musashi speeds towards its next destination, the Floating Island England, Tres España is preparing its own armada for war against the British Islanders. Now, as the quest of Horizon's emotions builds to its climax, Tori's new battle is about to begin in the land ruled by the Fairy Queen! The reenactment of the history described in the mysterious Testament continues as the secret of the Armor of Deadly Sins is unleashed in the spectacular second season of Horizon in the Middle of Nowhere! (Source: Sentai Filmworks)","['Prequel (TV) Kyoukaisenjou no Horizon', 'Adaptation (Manga) Kyoukaisenjou no Horizon', 'Adaptation (Light Novel) Kyoukaisenjou no Horizon', '']",Kyoukaisenjou no Horizon II,Horizon in the Middle of Nowhere Staffel 2,Horizon in the Middle of Nowhere Temporada 2,Horizon in the Middle of Nowhere Saison 2,,,,
19,"Pocket Monsters: Best Wishes! 2, Black & White 2",ポケットモンスター ベストウイッシュ シーズン2,Pokémon: Black & White: Rival Destinies,['TV'],24,Finished Airing,"Jun 21, 2012 to Jan 10, 2013",['Summer 2012'],Thursdays at 19:00 (JST),"['TV Tokyo', 'MediaNet', 'Half H.P Studio']",['The Pokemon Company International'],['OLM'],Game,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,22 min. per ep.,PG - Children,6.46,#7321,#2666,"74,321",35,42614,"Satoshi, Iris and Dent continue their travels through the Isshu region. After successfully winning his eighth Gym Badge against Homika in Tachiwaki City, Shirona invites everyone to stay at her villa in east Isshu, where old friend Hikari is also staying, and participate in the Pokémon World Tournament Junior Cup before Satoshi participates in the Isshu League. Team Rocket, meanwhile, initiate their final plan for the Isshu region. What is the purpose of their desire for the legendary Pokémon Meloetta?","['Prequel (TV) Pokemon Best Wishes!', 'Sequel (TV) Pokemon Best Wishes! Season 2: Episode N']",Pokemon Best Wishes! Season 2,Pokémon die Serie: Schwarz und Weiß Staffel 2,Pokémon Temporada 15: Negro y Blanco. Destinos Rivales.,Pokémon la Série: Noir et Blanc saision 2,['Kids'],,,
