,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Synonyms,Themes,Genre,Theme,German,Spanish,Demographics,French
33,メカウデ,Mecha-Ude: Mechanical Arms,['TV'],12,Finished Airing,"Oct 4, 2024 to Dec 20, 2024",['Fall 2024'],Fridays at 00:30 (JST),"['Pony Canyon', 'Kansai Telecasting', 'BS Asahi']","None found,",['TriF Studio'],Original,"['Action', 'Sci-Fi']",,23 min. per ep.,PG-13 - Teens 13 or older,6.83,#5195,#3348,"48,545",127,14222,"Hikaru Amatsuga's days of tranquility come to a sudden end when he rescues Alma, a mechanical arm crying for help. Alma fuses with his jacket, introducing Hikaru to the world of mechanical arms: mysterious, sentient weapons that normally become a part of their users' bodies. Forced to flee for his life, Hikaru is eventually captured by Aki Murasame, a twin mechanical arms user working for ARMS, an organization that protects the machines against unethical treatment. The Kagami Group, a nefarious organization that treats mechanical arms as mere tools, seeks to recover Alma. Hikaru is deemed a failure by ARMS for his lack of natural predisposition to be an mechanical arm wielder, so Aki is assigned to be his bodyguard. But Aki is defeated by Jun Kagami, who cruelly tears out her two mechanical limbs, condemning the girl to a slow death. Unwilling to abandon Aki to her grim fate, Hikaru miraculously awakens his power and neutralizes Kagami. Now a full member of ARMS, Hikaru is determined to unravel the truth about mechanical arms and protect his newfound friends and allies. [Written by MAL Rewrite]",[],Mecha-ude (TV),,,,,,,,
34,星降る王国のニナ,Nina the Starry Bride,['TV'],12,Finished Airing,"Oct 10, 2024 to Dec 26, 2024",['Fall 2024'],Thursdays at 22:00 (JST),"['Kodansha', 'flying DOG', 'Nikkatsu', 'Crunchyroll', 'DMM.com', 'Kadokawa Media House', 'arma bianca', 'Bit grooove promotion', 'BS Asahi']","None found,",['Signal.MD'],['Manga'],,['Josei'],23 min. per ep.,PG-13 - Teens 13 or older,7.33,#2686,#3499,"45,140",251,14908,"On the dusty streets of the castle town Dayah in the Fortna Kingdom, a young orphan named Nina steals for survival. Experiencing one tragedy after another, she has little to hope for in her life. Believing it best for Nina, her closest friend, Saji, hands her over to Second Prince Azure Seth Fortna, who has been searching for someone with unique and intense deep-blue eyes—just like Nina's. The kingdom's princess, the revered Astral Priestess Alisha, has recently died on her way to the Galgada Kingdom, where she was to marry the tyrant First Prince Sett. However, her death is concealed for political reasons, and that is where Nina needs to step in. With nowhere else to go and no one to turn to, Nina assumes Alisha's identity and future duties. But with each moment spent with Azure, Nina feels herself drawn to his warmth, fearing that once she is wed to another, nobody will remain to remember her true self. [Written by MAL Rewrite]","['Adaptation (Manga) Hoshifuru Oukoku no Nina', '']",Hoshifuru Oukoku no Nina,Nina of the Starry Kingdom,,['Romance'],,,,,
35,るろうに剣心 -明治剣客浪漫譚- 京都動乱,Rurouni Kenshin: Kyoto Disturbance,['TV'],23,Currently Airing,"Oct 4, 2024 to ?",['Fall 2024'],Fridays at 00:55 (JST),"['Aniplex', 'Dentsu', 'Fuji TV', 'Shueisha']",['Aniplex of America'],['LIDENFILMS'],['Manga'],,['Shounen'],22 min. per ep.,R - 17+ (violence & profanity),8.00,#672,#3568,"43,412",188,6515,"After living peaceful days at the Kamiya dojo, Kenshin Himura finds himself at a crucial crossroads, as his vow to never end a life is put to the ultimate test. Following the murder of his former commander, he now has to retread the road of violence and blood to take down Makoto Shishio—the assassin prodigy who calls himself the notorious Battousai's successor. With ambitions to overthrow the Meiji government and establish his dominion in Kyoto, Shishio has meticulously schemed for a decade, building a formidable anti-government military force. Now, Shishio has turned his sights toward recruiting Aoshi Shinomori, a cold-blooded killer and the former leader of the legendary Oniwaban Group warriors. As Kenshin travels through a village abandoned by the government and currently under the iron fist of Shishio's henchmen, he is determined to prevent the country from spiraling back into civil war. He allies with his former rival, Hajime Saitou, forging a fragile partnership in a battle against Shishio's empire that will determine the fate of Japan. [Written by MAL Rewrite]","['Prequel (TV) Rurouni Kenshin: Meiji Kenkaku Romantan (2023)', 'Adaptation (Manga) Rurouni Kenshin: Meiji Kenkaku Romantan']",Rurouni Kenshin: Meiji Kenkaku Romantan - Kyoto Douran,Rurouni Kenshin Season 2,"['Historical', 'Samurai']",['Action'],,,,,
36,夏目友人帳 漆,Natsume's Book of Friends Season 7,['TV'],12,Finished Airing,"Oct 8, 2024 to Dec 24, 2024",['Fall 2024'],Tuesdays at 00:00 (JST),"['TV Tokyo', 'Aniplex', 'Nihon Ad Systems', 'Hakusensha', 'Ai Addiction']","None found,",['Shuka'],['Manga'],"['Slice of Life', 'Supernatural']",['Shoujo'],23 min. per ep.,PG-13 - Teens 13 or older,8.59,#106,#3597,"42,843",425,10000,"As a young child, Takashi Natsume believed his ability to see youkai to be nothing but a curse. Now a high school student, Natsume has managed to heal from his old wounds and form unbreakable bonds with humans and youkai alike. Natsume's newfound friendships—including the one with his spirit bodyguard Madara, nicknamed ""Nyanko-sensei""—are often interlaced with his duty to return the names of the spirits written inside the Book of Friends, his late grandmother Reiko's keepsake. While more remarkable youkai reach out to him, Natsume discovers that he still has much to learn about the world that surrounds him. [Written by MAL Rewrite]","['Prequel (Movie) Natsume Yuujinchou Movie: Utsusemi ni Musubu', 'Sequel (Special) Natsume Yuujinchou Shichi Special', 'Adaptation (Manga) Natsume Yuujinchou', '']",Natsume Yuujinchou Shichi,"Natsume Yuujinchou Season 7, Natsume's Book of Friends Seven","['Iyashikei', 'Mythology']",,,,,,
37,魔王様、リトライ! R,"Demon Lord, Retry! R",['TV'],12,Finished Airing,"Oct 5, 2024 to Dec 21, 2024",['Fall 2024'],Saturdays at 22:30 (JST),"['Toei Video', 'KlockWorx', 'BS Fuji', 'Tokyo MX', 'Futabasha', 'BS NTV', 'SUPA LOVE', 'BloomZ', 'Bushiroad Move', 'Starry Cube', 'tamakoshi', 'CTW', 'FUTURE LEAP', 'RKB Mainichi Broadcasting Corporation', 'Yoyogi Animation Gakuin']","None found,",['Gekkou'],['Web manga'],"['Action', 'Adventure', 'Fantasy']",,23 min. per ep.,PG-13 - Teens 13 or older,5.90,#10441,#3716,"40,560",102,14104,"With Rabbi Village greatly expanding under the management of his subordinates Isami Tahara and Yuu Kirino, Hakuto Kunai can now resume his adventures while looking for items to counteract magic. He begins his search at the Prison Labyrinth in Rookie Town, where a secret laboratory deep within the dungeon gives him insight into technology that is far more advanced and dangerous than anything in the rest of the world. Meanwhile, Rabbi Village has gained unwanted international attention from the newly formed Queendom of Xenobia, which wishes to drive a wedge between the Holy Kingdom of Light and the State of Right. But with Kunai's newly summoned aide, Akane Fujisaki, at his disposal, things may not go as the Queendom plans. [Written by MAL Rewrite]","['Prequel (TV) Maou-sama, Retry!', 'Adaptation (Manga) Maou-sama, Retry! R']","Maou-sama, Retry! R",,,,['Isekai'],,,,
38,MFゴースト 2nd Season,MF Ghost Season 2,['TV'],12,Finished Airing,"Oct 7, 2024 to Dec 23, 2024",['Fall 2024'],Mondays at 00:00 (JST),"['Animax', 'Kodansha', 'Avex Pictures', 'Sammy', 'Crunchyroll', 'Techno Sound']","None found,",['Felix Film'],['Manga'],,['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,7.80,#1038,#4013,"34,541",169,14065,"The second race in the MFG tournament at the notoriously difficult Lake Ashinoko track is underway. Though his car is severely disadvantaged in terms of horsepower, tune-ups to Kanata Katagiri's Toyota 86 GT allow him to quickly soar into a qualifying position. However, torrential downpour on the final day of racing brings tire traction woes and causes all drivers to struggle. Thanks to the environment he grew up in and his extensive training, Kanata surprises everyone when he is able to pull ahead of the pack—albeit with some very risky maneuvers. However, there are still two formidable competitors ahead of Kanata: last race's winner Michael Beckenbauer and Lake Ashinoko record holder Kouki Sawatari. But even if Kanata can close the gap, he still needs to watch out for the drivers in his rearview preying on even a single mistake that they can take advantage of. [Written by MAL Rewrite]","['Prequel (TV) MF Ghost', 'Sequel (TV) MF Ghost 3rd Season', 'Adaptation (Manga) MF Ghost', '']",MF Ghost 2nd Season,,,,['Racing'],,,,
39,放課後少年花子くん 続編,After-School Hanako-kun Part 2,['TV'],4,Finished Airing,"Oct 8, 2024 to Oct 29, 2024",['Fall 2024'],Tuesdays at 01:35 (JST),"['Square Enix', 'Pony Canyon', 'Half H.P Studio', 'Studio Tronc']","None found,",['Lerche'],['Web manga'],"['Comedy', 'Supernatural']",,10 min. per ep.,PG-13 - Teens 13 or older,7.02,#4320,#4059,"33,874",122,8083,Second part of Houkago Shounen Hanako-kun.,"['Prequel (TV) Houkago Shounen Hanako-kun', 'Adaptation (Manga) Houkago Shounen Hanako-kun']",Houkago Shounen Hanako-kun Part 2,,,,['School'],,,,
40,SPECIAL EDITED VERSION『ONE PIECE』魚人島編,One Piece Log: Fish-Man Island Saga,['TV'],21,Currently Airing,"Nov 3, 2024 to ?",['Fall 2024'],Sundays at 09:30 (JST),"None found,","None found,",['Toei Animation'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,8.27,#317,#4263,"30,245",127,5155,"Two years after the Summit War, Monkey D. Luffy plans to reunite with the Straw Hat Pirates in the Sabaody Archipelago. However, the Marines obstruct Luffy's path with overwhelming force. Meanwhile, the Straw Hats must also foil the schemes of a group of impersonators acting in their likenesses. With two years of intensive training with allies old and new, Luffy regroups with his friends aboard the Thousand Sunny to set sail for the New World. As the Straw Hat Crew departs for Fish-Man Island, new threats creep up from the abyss. But more determined than ever to become the King of the Pirates, Luffy is prepared to defeat any enemy that may stand between him and his dream. [Written by MAL Rewrite]","['Adaptation (Manga) One Piece', '']",One Piece: Gyojin Tou-hen,OP,,,,,,,
41,妖怪学校の先生はじめました！,A Terrified Teacher at Ghoul School!,['TV'],24,Currently Airing,"Oct 8, 2024 to ?",['Fall 2024'],Tuesdays at 23:00 (JST),"['Square Enix', 'Frontier Works', 'Movic', 'Tokyo MX', 'ABC Animation', 'arma bianca', 'Mixer', 'NetEase', 'BS Asahi', 'Kappa Entertainment']","None found,",['Satelight'],['Manga'],"['Comedy', 'Fantasy']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.60,#6469,#4283,"29,943",121,5183,"Following a bad experience teaching at a public high school that resulted in a break from working, Haruaki Abe eagerly takes up a new job at Hyakki Academy. Despite his cowardice, the novice teacher is motivated to do better this time around. However, his mind quickly changes when he finds out that everyone at the school is actually a supernatural being known as a youkai, leaving him glaringly out of place as the only human around. Facing his class as its new homeroom teacher, Abe immediately becomes a target for the students' antics due to his quick-to-scare nature. Though as the man starts to learn more about the creatures, as well as himself, getting along with the unruly group might not be as hard as he originally thought as their school lives begin to get more vibrant. [Written by MAL Rewrite]","['Adaptation (Manga) Youkai Gakkou no Sensei Hajimemashita!', '']",Youkai Gakkou no Sensei Hajimemashita!,"I Started Being a Teacher for a Youkai School!, Yohaji","['Gag Humor', 'Mythology', 'School', 'Workplace']",,,,,,
42,七つの大罪 黙示録の四騎士 第2期,The Seven Deadly Sins: Four Knights of the Apocalypse Season 2,['TV'],12,Finished Airing,"Oct 6, 2024 to Dec 29, 2024",['Fall 2024'],Sundays at 16:30 (JST),"['VAP', 'Dentsu', 'TMS Entertainment', 'TBS', 'Kodansha', 'Movic', 'Sammy', 'Marui Group', 'Unlimited Produce by TMS']","None found,",['Telecom Animation Film'],['Manga'],"['Action', 'Adventure', 'Fantasy']",['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,7.42,#2256,#4404,"28,341",103,3920,Second season of Nanatsu no Taizai: Mokushiroku no Yonkishi.,"['Prequel (TV) Nanatsu no Taizai: Mokushiroku no Yonkishi', 'Adaptation (Manga) Mokushiroku no Yonkishi']",Nanatsu no Taizai: Mokushiroku no Yonkishi 2nd Season,,,,,,,,
43,株式会社マジルミエ,Magilumiere Magical Girls Inc.,['TV'],12,Finished Airing,"Oct 4, 2024 to Dec 20, 2024",['Fall 2024'],Fridays at 23:00 (JST),"['Dentsu', 'Nippon Television Network']","None found,","['J.C.Staff', 'Studio Moe']",['Manga'],,['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,6.97,#4489,#4474,"27,492",53,8166,"In recent years, creatures known as Kaii have frequently attacked cities and wrought destruction. Exterminating these monsters quickly became a popular and well-respected profession, carried out by magical girls. More than five hundred magical girl companies, ranging from small ventures to large corporations, offer their aid to those who need it. Kana Sakuragi is a studious college graduate struggling to land a job despite attending numerous interviews. But when a Kaii attacks during her latest interview, she finds herself assisting the magical girl responding to the crisis. Although she lacks battle experience, Kana relies on her exceptional memory and knowledge to help subdue the monster. Hitomi Koshigaya, the headstrong magical girl who faced the Kaii, recognizes Kana's potential and invites her to join Magilumiere Magical Girls Inc.—the startup where Hitomi works. Wishing to make a difference, Kana accepts the offer to become a magical girl herself. While Kana may not be suited for the corporate world, it soon becomes clear that her true calling is to rise as one of the most talented magical girls in existence. [Written by MAL Rewrite]","['Sequel (TV) Kabushikigaisha Magi-Lumière 2nd Season', 'Adaptation (Manga) Kabushikigaisha Magi-Lumière']",Kabushikigaisha Magi-Lumière,"Magilumiere Co. Ltd., Kabushikigaisha Magilumiere","['Adult Cast', 'Mahou Shoujo', 'Workplace']",['Action'],,,,,
44,青のミブロ,Blue Miburo,['TV'],24,Currently Airing,"Oct 19, 2024 to ?",['Fall 2024'],Saturdays at 17:30 (JST),"['Dentsu', 'Yomiuri Telecasting']","None found,",['Maho Film'],['Manga'],,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.38,#7765,#4492,"27,264",112,2888,"Though he grew up as an orphan, Nio Chirinu finds a place to belong: being a waiter at his adoptive grandmother's restaurant. But this peace does not last long; Nio and his sister Iroha are used as bait to arrest child abductors by Toshizou Hijikata and Souji Okita—two members of an infamous ronin group called Miburo. After the ordeal, Toshizou proposes that Nio join the ranks of Miburo and protect the people of Kyoto. Frustrated by his own weakness, Nio trains to match the swordsmanship of his new comrades. Even so, he struggles to be accepted by Tarou Tanaka and Hajime Saitou, the other Miburo members of his age. Determined to befriend them, Nio must discover his own sense of justice and become strong enough to prevail against all his enemies. [Written by MAL Rewrite]","['Adaptation (Manga) Ao no Miburo', '']",Ao no Miburo,The Blue Wolves of Mibu,"['Historical', 'Samurai']",['Action'],,,,,
45,トリリオンゲーム,TRILLION GAME,['TV'],26,Currently Airing,"Oct 4, 2024 to ?",['Fall 2024'],Fridays at 01:58 (JST),"['TBS', 'AT-X', 'Magic Capsule', 'Sammy', 'Sun TV', 'Kadokawa']","None found,",['Madhouse'],['Manga'],,['Seinen'],24 min. per ep.,PG-13 - Teens 13 or older,7.09,#3975,#5012,"21,044",50,3753,"After socially awkward technology specialist Manabu ""Gaku"" Taira is saved from thugs by the outgoing Haru Tennouji, the two men find that they get along with each other well. Years later, Gaku, who is having a tough time getting a job due to his timidness, is convinced by Haru to apply for a position alongside him at Dragon Bank, one of Japan's largest IT companies. During their interviews, the company's board director, Kirika Kokuryuu, takes an interest in Haru and Gaku's contrasting personalities. However, Gaku does not get hired by the company, leading Haru to quit the job on his first day in protest. Nevertheless, they decide to embark on an ambitious plan of making a trillion dollars. In order for their scheme to come to fruition, Haru and Gaku start looking for potential investors, but everyone rejects their extravagant idea. In spite of that, the two soon find themselves getting an offer from Kirika—and with her investment, they might just be able to reach their goal. [Written by MAL Rewrite]","['Adaptation (Manga) Trillion Game', '']",Trillion Game,"$1,000,000,000,000 Game",,['Drama'],['Adult Cast'],,,,
46,アクロトリップ,Acro Trip,['TV'],12,Finished Airing,"Oct 2, 2024 to Dec 18, 2024",['Fall 2024'],Wednesdays at 22:00 (JST),"['Fuji TV', 'KlockWorx', 'Tokyopop', 'Ai Addiction', 'Tokyo MX', 'King Records', 'Shueisha', 'Yomiuri TV Enterprise', 'BS NTV', 'Happinet Phantom Studios']","None found,",['Voil'],['Manga'],,['Shoujo'],23 min. per ep.,PG-13 - Teens 13 or older,6.74,#5630,#5121,"19,925",57,6430,"Due to her mother's work, Chizuko Date has never remained in one place for long or grown attached to anything in particular. However, while temporarily staying with her grandfather Suikyou, she witnesses something extraordinary: a magical girl named Berry Blossom fighting against Chroma, member of the evil organization Fossa Magna. Seeing Berry Blossom save the day ignites a passion in Chizuko, and she swears to be a fan of the new magical girl in town thereafter. As time passes, Berry Blossom's popularity dwindles due to the incompetence of her opponent. When Chizuko randomly encounters Chroma himself, she does not hold back her complaints against him. For his part, Chroma does not enjoy being defeated again and again; moreover, Fossa Magna will force him to resign if he continues losing. In desperation, Chroma begs Chizuko to become his second-in-command and help him with his evildoings. For the sake of Berry Blossom regaining the spotlight, Chizuko must question whether it is right to join forces with the magical girl's sworn enemy. [Written by MAL Rewrite]","['Adaptation (Manga) Acro Trip', '']",Acro Trip,,"['Mahou Shoujo', 'Parody']",['Comedy'],,,,,
47,ラブライブ！スーパースター!!,Love Live! Superstar!! Season 3,['TV'],12,Finished Airing,"Oct 6, 2024 to Dec 22, 2024",['Fall 2024'],Sundays at 17:00 (JST),"['Lantis', 'Bandai Namco Filmworks', 'Bandai Namco Music Live', 'Bushiroad Creative']","None found,",['Sunrise'],Other,,,23 min. per ep.,PG-13 - Teens 13 or older,7.89,#849,#5341,"17,889",125,5324,"As the Love Live! Competition draws to a close, Kanon Shibuya takes an offer to study abroad and bids farewell to her friends and fellow members of the school idol group Liella!. Although they will live on opposite sides of the world, both Kanon and the group remain motivated to continue their idol activities. Unbeknownst to Kanon, however, her plans are cut short by Wien Margarete's parents, who request that Kanon remain in Japan for another year so that their daughter can learn from her. While Kanon finds herself in awkward limbo, Wien cannot bring herself to join her once fierce rival Liella! and decides to start a group of her own. Not wanting Wien's determination to go to waste, Kanon joins the new group, recruiting her former group member's sister Tomari Onitsuka in the process. As the newfound unit strives to wash off Wien's controversial past, the new Liella! is also wrestling with the struggles of losing their irreplaceable center. [Written by MAL Rewrite]","['Prequel (TV) Love Live! Superstar!! 2nd Season', '']",Love Live! Superstar!! 3rd Season,,"['Idols (Female)', 'Music', 'School']",['Slice of Life'],,,,,
48,凍牌〜裏レート麻雀闘牌録〜,,['TV'],25,Currently Airing,"Oct 5, 2024 to ?",['Fall 2024'],Saturdays at 02:23 (JST),"['Pony Canyon', 'Studio Mausu']","None found,",['East Fish Studio'],['Manga'],"['Drama', 'Suspense']",['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,6.25,#8578,#5465,"16,863",57,1586,"Ever since moving into his own apartment, quiet high school student Kei has been looking for a new thrill. He soon finds himself playing mahjong, but his whole life takes a dramatic turn when he is forced to play the game with a criminal group. Even though the odds seem against him, Kei is able to outmatch the others. Instead of claiming his reward in cash, however, he decides to take an abducted girl named Amina under his wing. Due to Kei's skills and cold playstyle, the mysterious Hideharu Seki takes an interest in him, introducing him to mahjong parlors and new potential opponents. But when matched up against an experienced player named Doujima, Kei is severely outskilled and only narrowly escapes going into serious debt. If he wants to protect his new life with Amina, Kei must find a way to outwit these shady characters and come out on top in every game he plays. [Written by MAL Rewrite]","['Adaptation (Manga) Touhai', '']",Touhai: Ura Rate Mahjong Touhairoku,Frozen Mahjong Tiles: Underground Mahjong Battle Record,"['Organized Crime', 'Psychological', 'Strategy Game']",,,,,,
49,魔法使いになれなかった女の子の話,The Stories of Girls Who Couldn't Be Magicians,['TV'],12,Finished Airing,"Oct 5, 2024 to Dec 21, 2024",['Fall 2024'],Saturdays at 01:53 (JST),"['Sotsu', 'Magic Capsule', 'Asmik Ace', 'Nippon Cultural Broadcasting', 'Kadokawa', 'Imagine', 'NetEase', 'Fosun Entertainment Japan']","None found,",['J.C.Staff'],Novel,,,23 min. per ep.,PG-13 - Teens 13 or older,6.20,#8841,#5722,"14,964",19,4605,"From a young age, Kurumi Mirai has aspired to become a magician. Driven by her ambition, she has spent her childhood preparing to join the prestigious Rettoran Academy of Magic. Although Kurumi excels in the selection exam, her dream is crushed when she is not chosen for the elite magic class. Admitted to the standard class at the academy instead, Kurumi soon befriends Maki Kumiiru, her new roommate; and Yuzu Edel, another girl unhappy with her placement. However, to everyone's surprise, their homeroom teacher, Minami Suzuki, promises to teach the class magic anyway. Although skeptical at first, the girls start to believe that this may be their second chance at realizing their dreams and becoming wonderful magicians. [Written by MAL Rewrite]",[],Mahoutsukai ni Narenakatta Onnanoko no Hanashi,"A Story of a Girl that was Unable to Become a Mage, Mahonare",,['Fantasy'],['School'],,,,
50,ハイガクラ,,['TV'],13,Currently Airing,"Oct 7, 2024 to ?",['Fall 2024'],Mondays at 22:00 (JST),"['Frontier Works', 'Nippon Columbia', 'Glovision', 'Yomiuri TV Enterprise', 'Ichijinsha', 'arma bianca', 'GREE Entertainment']","None found,",['Typhoon Graphics'],['Manga'],"['Adventure', 'Fantasy']",['Josei'],23 min. per ep.,PG-13 - Teens 13 or older,5.61,#11743,#6007,"13,199",37,1300,"The balance of the world is deeply shaken when malevolent gods known as the Four Perils break their seals and disappear together with eight million minor deities. In the absence of gods, lands become barren and famine looms in the country of the Eight Immortals. In order to restore the fragile harmony, kashi—gifted dancers and singers—must hunt the missing gods in other realms, use their performance skills to charm the deities, and seal them using the power of their rosaries. Although a master dancer, Ichiyou is ridiculed by his peers for his lack of singing talent. Nonetheless, the young kashi is tasked by the Eight Immortals to bring back the Four Perils before the world plunges into complete chaos. Helped by his familiars Tenkou and Kaka, Ichiyou embarks on the perilous mission given to him, with his search leading him to modern-day Japan. If he hopes to save the world, Ichiyou must also uncover the truth behind the Four Perils' disappearance—but this event seems to be disturbingly intertwined with his own past. [Written by MAL Rewrite]","['Adaptation (Manga) Haigakura', '']",Haigakura,,,,,,,,
51,ぷにるはかわいいスライム,Puniru is a Kawaii Slime,['TV'],12,Finished Airing,"Oct 6, 2024 to Dec 22, 2024",['Fall 2024'],Sundays at 23:45 (JST),"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'TOHO animation', 'Shogakukan']","None found,",['TOHO animation STUDIO'],['Manga'],,,23 min. per ep.,PG-13 - Teens 13 or older,6.97,#4508,#6762,"9,916",39,3235,"This is the story of Puniru the slime and Kotarou, a middle school student, until they cease being friends... Kotarou Kawaii is a second-year middle school boy. When he was in elementary school, a slime he created came to life, and for the past seven years, he has been spending time with the slime named Puniru as his ""friend."" However, there is one problem for Kotarou... Over the seven years, both have grown significantly, and Puniru has transformed into an incredibly beautiful girl! Besides her beautiful appearance, Puniru freely transforms into various cute forms as a slime, causing Kotarou to be both excited and bewildered by her carefree behavior every time. Will Puniru and Kotarou be able to continue spending time together as ""friends"" despite these challenging days ahead? (Source: Official website)","['Sequel (TV) Puniru wa Kawaii Slime 2nd Season', 'Adaptation (Manga) Puniru wa Kawaii Slime']",Puniru wa Kawaii Slime,,"['Anthropomorphic', 'Gag Humor', 'School']",['Comedy'],,,,,
52,きのこいぬ,Kinokoinu Mushroom Pup,['TV'],12,Finished Airing,"Oct 3, 2024 to Dec 19, 2024",['Fall 2024'],Thursdays at 21:00 (JST),"['AT-X', 'Tokuma Shoten', 'KlockWorx', '81 Produce', 'Universal Music Japan', 'BS11', 'ABC Animation', 'FuRyu']","None found,",['C-Station'],['Manga'],"['Slice of Life', 'Supernatural']",['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,6.89,#4882,#7531,"7,520",21,2506,"Grief-stricken over the death of his last family member, his dog Hanako, picture book writer Hotaru Yuuyami suffers from writer's block for nearly two months. Despite his childhood friend and editor Tsubaki Uehara's best efforts, nothing seems to alleviate his pain. But all of this changes one day with the sudden apparition of Kinoko Inu, a mysterious mushroom from his garden that turns into a dog-shaped animal. Much to the great dismay of Tsubaki, Hotaru hastily invites the creature into his abode. Days after Hotaru and Kinoko Inu start living together, the strange mushroom-dog decides to burn the last of Hanako's personal belongings in order to alleviate Hotaru's depression. However, the cohabitation between the overworked writer and his mischievous guest proves more difficult than expected, and Hotaru must let go of his grief if he wants to properly take care of Kinoko Inu. [Written by MAL Rewrite]","['Adaptation (Manga) Kinoko Inu', '']",Kinoko Inu,,"['Adult Cast', 'Pets']",,,,,,
53,カミエラビ GOD.app,KamiErabi GOD.app Season 2,['TV'],12,Finished Airing,"Oct 3, 2024 to Dec 19, 2024",['Fall 2024'],Thursdays at 00:55 (JST),"['Dentsu', 'Fuji TV', 'KlockWorx', 'Tokyopop', 'Slow Curve', 'BS Fuji', 'Crunchyroll']","None found,",['Unend'],Original,"['Action', 'Suspense']",,22 min. per ep.,PG-13 - Teens 13 or older,6.21,#8762,#7645,"7,260",19,1894,"After the mysterious disappearance of one of its participants, the battle meant to name a successor to God is brutally interrupted, leaving behind a trail of destruction and shaking the world. Twelve years later, while the former contestants in the divine competition struggle to fit in society after they were turned into semi-permanents—beings unable to age—Lall refuses to let go of her brother, who has been forgotten by everyone. Determined to resurrect her brother—the only one she sees fit to sit on the heavenly throne—Lall steals her his cellphone from a cult run by a past competitor, which accidentally restarts the competition. Helped by her classmate Eko Sasaki, Lall will show no mercy to prevail against her enemies in her efforts to finally see her brother again. [Written by MAL Rewrite]","['Prequel (TV) Kamierabi', '']",Kamierabi 2nd Season,,,,['High Stakes Game'],,,,
54,ハミダシクリエイティブ,,['TV'],12,Finished Airing,"Oct 4, 2024 to Dec 20, 2024",['Fall 2024'],Fridays at 01:00 (JST),['Frontier Engine'],"None found,",['Hayabusa Film'],Visual novel,,,4 min. per ep.,PG-13 - Teens 13 or older,5.72,#11244,#7875,"6,760",22,931,"It's the end of June, and the summer seems to be locked in place. Tomohiro Izumi, recognized by himself and those around him as an introvert, is spending another quiet day in his little corner of his classroom... or so he thought. ""Congratulations! You've been selected as our next student council president!"" The student council president lottery, held on the spur of the moment by the academy. Tomohiro manages to be the one randomly selected thanks to his ridiculous luck! Now the spotlight is suddenly upon him, and as a result, rumors about him begin to circulate. With no way out, Tomohiro relies on his advisor to start gathering allies he can rely on. But none of the candidates his advisor suggests, from his classmate Kano to his underclassman Asumi, and even his little sister Hiyori, are even coming to the campus!? Amidst all of this chaos, even the former president that no one could ever get ahold of, Shio, shows up...! Is it fate, or is it a foregone conclusion? The unheard of and unprecedented battles of the ""Random Lottery Student Council President"" are about to begin! (Source: Sekai Project, edited)",[],Hamidashi Creative,,,['Romance'],['School'],,,,
55,新テニスの王子様 U-17 WORLD CUP SEMIFINAL,The Prince of Tennis II U-17 World Cup Semifinal,['TV'],13,Finished Airing,"Oct 3, 2024 to Dec 26, 2024",['Fall 2024'],Thursdays at 00:00 (JST),"['Production I.G', 'TV Tokyo', 'Nihon Ad Systems', 'Marvelous AQL', 'Shueisha', 'Jinnan Studio', 'Bandai Namco Filmworks']","None found,",['M.S.C'],['Manga'],,['Shounen'],23 min. per ep.,PG-13 - Teens 13 or older,6.65,#6181,#7940,"6,657",23,1455,"After the intense quarterfinals, the U-17 World Cup competition has been whittled down to four formidable teams. Standing between Team Japan's quest for international glory is the nine-time tournament champion, Germany, and their star-studded team, pro player Jurgen Borisovich Volk at its helm. With both the momentum and the crowd's favor on the side of their opponents, Japan faces an uphill battle. Determined to avenge an earlier loss, Japan sends seven of their best—including team captain Houou Byoudouin—to challenge the German national team. But trying to reach the finals for the first time in Japan's tennis history may cause even these fearless players to crumble under mounting waves of pressure as they venture into uncharted territories. [Written by MAL Rewrite]","['Prequel (TV) Shin Tennis no Oujisama: U-17 World Cup', 'Adaptation (Manga) Shin Tennis no Oujisama']",Shin Tennis no Oujisama: U-17 World Cup Semifinal,,,['Sports'],['School'],,,,
