,Synonyms,Japanese,English,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Theme,Genres,German,Demographics
10,Hands off the Motion Pictures Club!,映像研には手を出すな!,Keep Your Hands Off Eizouken!,Keep Your Hands Off Eizouken!,Keep Your Hands Off Eizouken!,['TV'],12,Finished Airing,"Jan 6, 2020 to Mar 23, 2020",['Winter 2020'],Mondays at 00:10 (JST),"['Warner Bros. Japan', 'Warner Music Japan', 'Shogakukan', 'NHK Enterprises']",['Sentai Filmworks'],['Science SARU'],['Manga'],,"['Otaku Culture', 'School']",['Seinen'],25 min. per ep.,PG-13 - Teens 13 or older,8.13,#478,#722,"350,133","4,350",142982,"Midori Asakusa sees the world a bit differently. Always having her nose in a sketchbook, Asakusa draws detailed landscapes and backgrounds of both the world around her and the one within her boundless imagination. Even the simple act of doodling on a wall evolves into an emergency repair on the outer hull of her spaceship. She is only brought back to reality by her best friend Sayaka Kanamori. The pair are stark opposites, with Asakusa's childlike wonder contrasted by Kanamori's calculated approach to life. After a chance encounter where the two ""save"" the young model Tsubame Misuzaki from her overprotective bodyguard, a connection instantly sparks between Asakusa and Misuzaki, as both share an intense passion for art and animation. Whereas Asakusa is interested in backgrounds and settings, Misuzaki loves drawing the human form. Sensing a money-making opportunity, Kanamori suggests that they start an animation club, which they disguise as a motion picture club since the school already has an anime club. Thus begins the trio's journey of producing animation that will awe the world. From the brilliant mind of Masaaki Yuasa, Eizouken ni wa Te wo Dasu na! is a love letter to animation, wildly creative in its approach, and a testament to the potential of the medium. [Written by MAL Rewrite]","['Adaptation (Manga) Eizouken ni wa Te wo Dasuna!', '']",Eizouken ni wa Te wo Dasu na!,,"['Adventure', 'Award Winning', 'Comedy']",Keep Your Hands Off Eizouken!,
11,,ソマリと森の神様,Somali and the Forest Spirit,Somali and the Forest Spirit,Somali et L'esprit de la Forêt,['TV'],12,Finished Airing,"Jan 10, 2020 to Mar 27, 2020",['Winter 2020'],Fridays at 00:30 (JST),"['Movic', 'Magic Capsule', 'Crunchyroll', 'North Stars Pictures', 'JY Animation', 'CA-Cygames Anime Fund', 'Mixer']","None found,","['Satelight', 'HORNETS']",['Web manga'],,"['Anthropomorphic', 'Childcare']",,23 min. per ep.,PG-13 - Teens 13 or older,7.82,#980,#864,"302,629","1,754",122254,"In a world inhabited by demons, cyclopes, and other fantastic creatures, humans stand apart as the outcasts. Quick to anger, the human race engaged in a war that all but wiped them out. The few humans that remain are seen as a delicacy, serving no purpose but to be hunted down and eaten. One day, a golem—a wandering protector of nature—encounters a lone human child while patrolling. Inspired by her enthusiasm, he takes the girl, named Somali, under his wing. Together, the duo embarks on a journey to find Somali's parents and bring her home. [Written by MAL Rewrite]","['Adaptation (Manga) Somali to Mori no Kamisama', '']",Somali to Mori no Kamisama,,"['Adventure', 'Drama', 'Fantasy']",Somali and the Forest Spirit,
12,,異世界かるてっと2,Isekai Quartet 2,,,['TV'],12,Finished Airing,"Jan 15, 2020 to Apr 1, 2020",['Winter 2020'],Wednesdays at 00:30 (JST),['Kadokawa'],['Funimation'],['Studio PuYUKAI'],Original,,"['Isekai', 'Parody']",,11 min. per ep.,PG-13 - Teens 13 or older,7.36,#2558,#1058,"242,964",261,145048,"Despite completing all the tasks given to them, Ainz Ooal Gown, Tanya Degurechaff, Kazuma Satou, Subaru Natsuki, and the other members of Class 2 are surprised to find out that their role as students is far from over. With no means of returning home, the class of eccentric personalities is still mysteriously stuck in the unfamiliar world. Although, as they are becoming quite fond of each other, spending more time together does not sound that bad. With the unexpected arrival of new transfer students, the comedic antics of our beloved characters continue to grow. Thus, their bizarre yet nonchalant school life continues. [Written by MAL Rewrite]","['Prequel (TV) Isekai Quartet', 'Sequel (Movie) Isekai Quartet Movie: Another World']",Isekai Quartet 2,,"['Comedy', 'Fantasy']",,
13,"Toaru Kagaku no Railgun 3, Toaru Kagaku no Choudenjihou 3, A Certain Scientific Railgun 3",とある科学の超電磁砲[レールガン]T,A Certain Scientific Railgun T,A Certain Scientific Railgun T,A Certain Scientific Railgun T,['TV'],25,Finished Airing,"Jan 10, 2020 to Sep 25, 2020",['Winter 2020'],Fridays at 22:00 (JST),"['Square Enix', 'Movic', 'AT-X', 'Warner Bros. Japan', 'NBCUniversal Entertainment Japan', 'Kadokawa']",['Funimation'],['J.C.Staff'],['Manga'],,,,24 min. per ep.,R - 17+ (violence & profanity),8.15,#459,#1064,"241,779","3,304",97721,"The Daihasei Festival has begun, and that of course means that Tokiwadai Middle School—a prestigious all-girls' middle school—is competing too. Despite the participation of the ""Ace of Tokiwadai,"" Mikoto Misaka, the other students who are participating are still putting their utmost effort into winning, no matter how impossible the feat may seem against her overwhelming might. However, not all is fun and games. Due to the festival, Academy City opens to the outside world, and various factions have begun plotting ways to infiltrate the city. Misaka appears to be on their radar, and as the festival proceeds, people lurking from the shadows begin to emerge... Toaru Kagaku no Railgun T brings back the Tokiwadai Ace and her friends as they dive deeper into the dark side of Academy City. From terrorist attacks to ruthless underground projects, anything is possible in this city. [Written by MAL Rewrite]","['Prequel (TV) Toaru Kagaku no Railgun S', 'Adaptation (Manga) Toaru Majutsu no Index Gaiden: Toaru Kagaku no Railgun']",Toaru Kagaku no Railgun T,['Super Power'],"['Action', 'Fantasy', 'Sci-Fi']",A Certain Scientific Railgun T,
14,Come Together! to the Seton Academy,群れなせ！シートン学園,Seton Academy: Join the Pack!,Seton Academy: Join the Pack!,Seton Academy: Join the Pack!,['TV'],12,Finished Airing,"Jan 7, 2020 to Mar 24, 2020",['Winter 2020'],Tuesdays at 00:30 (JST),"['Animax', 'Tokyo MX', 'Cygames', 'Legs', 'Happinet']","None found,",['Studio Gokumi'],['Web manga'],,"['Anthropomorphic', 'School']",,23 min. per ep.,PG-13 - Teens 13 or older,6.92,#4743,#1230,"208,392",539,104481,"Seton Academy is a place attended by a plethora of interesting and diverse animal species. Jin Mazama is one of the few humans there, who also happens to vehemently hate animals from the bottom of his heart! One day, he stumbles upon the rowdy and assertive girl Ranka Ookami, a small ""lone wolf"" without a pack, who has not a single friend. The desperate Ranka tries to invite Jin into joining her pack; Jin, who hates animals, naturally refuses. Amid this situation, Jin meets Hitomi Hino, a fellow human, and promptly becomes infatuated with her. After getting to know each other, the two decide to create a cooking club, and after a few bad-blooded misunderstandings, Ranka soon joins the club as well. Thus begins the howl-some and howl-arious story of two normal humans; an adorable wolf; a cheerful koala; a sluggish, blonde sloth; and a feline with cattitude in their newfound club—in a story that teaches that friendship can be forged by creatures of different kinds. [Written by MAL Rewrite]","['Adaptation (Manga) Murenase! Seton Gakuen', 'Adaptation (Manga) Murenase! Seton Gakuen: Animal Academy']",Murenase! Seton Gakuen,,"['Comedy', 'Ecchi']",Seton Academy: Join the Pack!,
15,,<Infinite Dendrogram>-インフィニット・デンドログラム-,Infinite Dendrogram,,,['TV'],13,Finished Airing,"Jan 9, 2020 to Apr 16, 2020",['Winter 2020'],Thursdays at 23:00 (JST),"['AT-X', 'Nippon Columbia', 'KlockWorx', 'Hobby Japan', 'Studio Mausu', 'Hakuhodo DY Music & Pictures', 'BS11', 'HOTZIPANG', 'Anima&Co.']",['Funimation'],['NAZ'],['Light novel'],,,,23 min. per ep.,PG-13 - Teens 13 or older,6.20,#8835,#1349,"188,647",295,83797,"In the year 2043, <Infinite Dendrogram>, the world's first successful full-dive VRMMO was released. In addition to its ability to perfectly simulate the five senses, along with its many other amazing features, the game promised to offer players a world full of infinite possibilities. Nearly two years later, soon-to-be college freshman, Reiji Mukudori, is finally able to buy a copy of the game and start playing. With some help from his experienced older brother, Shuu, and his partner Embryo, Reiji embarks on an adventure into the world of <Infinite Dendrogram>. Just what will he discover and encounter in this game world known for its incredible realism and infinite possibilities? (Source: J-Novel Club)","['Adaptation (Manga) Infinite Dendrogram', 'Adaptation (Light Novel) Infinite Dendrogram']",Infinite Dendrogram,['Video Game'],"['Action', 'Adventure', 'Fantasy']",,
16,Neko Para,ネコぱら,Nekopara,,,['TV'],12,Finished Airing,"Jan 9, 2020 to Mar 26, 2020",['Winter 2020'],Thursdays at 21:00 (JST),['Avex Pictures'],['Funimation'],['Felix Film'],Visual novel,,,,23 min. per ep.,PG-13 - Teens 13 or older,6.72,#5780,#1400,"180,415",827,68391,"The siblings Kashou and Shigure Minazuki enjoy the company of six catgirls. Chocola and Vanilla assist Kashou in his job as a baker at the patisserie La Soleil, while the others—Coconut, Azuki, Cinnamon, and Maple—accompany Shigure in her daily life back at their home. One afternoon, when Chocola goes out for an errand, she notices a green-haired kitten alone by herself at a park and decides to bring her back to the patisserie. Soon after, the Minazuki household adopts her and gives her a name: Cacao. With a new member in their family, the members of the Minazuki household continue their everyday lives—bound to become livelier than ever. [Written by MAL Rewrite]","['Adaptation (Manga) Nekopara: Chocola & Vanilla', '']",Nekopara,['Anthropomorphic'],"['Comedy', 'Slice of Life']",,
17,Puella Magi Madoka Magica Side Story: Magia Record,マギアレコード 魔法少女まどか☆マギカ外伝 (TV),Magia Record: Puella Magi Madoka Magica Side Story,Magia Record: Puella Magi Madoka✩Magica Side Story,Magia Record: Puella Magi Madoka✩Magica Side Story,['TV'],13,Finished Airing,"Jan 5, 2020 to Mar 29, 2020",['Winter 2020'],Sundays at 00:00 (JST),"['Aniplex', 'Houbunsha', 'f4samurai']",['Aniplex of America'],['Shaft'],Game,,"['Mahou Shoujo', 'Psychological']",,23 min. per ep.,PG-13 - Teens 13 or older,6.82,#5213,#1497,"168,034",899,59362,"Rumor has it that if a young girl strikes a bargain with a white fairy, it will grant any wish her heart desires. However, in exchange, she will become a magical girl and must put her life on the line to slay fearsome and ferocious witches. Iroha Tamaki, a kind-hearted middle schooler from Takarazaki City, is living proof that these rumors are true. Armed with a magical crossbow and the ability to heal injuries, Iroha seeks out the labyrinths where witches hide and defeats them before they can prey on humans. Yet Iroha has no memory of her wish, and even Kyuubey, the white fairy himself, seems to have no idea what Iroha requested of him. One day, Iroha hears rumors of a city where ""magical girls can be saved,"" and finds herself on a sunset train to Kamihama City. Unfortunately, she discovers that the witches in Kamihama are far more powerful than usual. After veteran magical girl Yachiyo Nanami is forced to save her, Iroha vows to never return. But when a chance encounter with a tiny Kyuubey seems to trigger distant memories, Iroha is compelled to investigate the mysterious city despite the danger. [Written by MAL Rewrite]","['Sequel (TV) Magia Record: Mahou Shoujo Madoka☆Magica Gaiden 2nd Season - Kakusei Zenya', 'Adaptation (Manga) Magia Record: Mahou Shoujo Madoka☆Magica Gaiden']",Magia Record: Mahou Shoujo Madoka☆Magica Gaiden,,"['Drama', 'Suspense']",Magia Record: Puella Magi Madoka✩Magica Side Story,
18,Smile at the Runway,ランウェイで笑って,Smile Down the Runway,,,['TV'],12,Finished Airing,"Jan 11, 2020 to Mar 28, 2020",['Winter 2020'],Saturdays at 02:25 (JST),"['Mainichi Broadcasting System', 'Kodansha', 'DMM pictures']",['Funimation'],['Ezόla'],['Manga'],['Drama'],"['School', 'Showbiz', 'Visual Arts']",['Shounen'],24 min. per ep.,PG-13 - Teens 13 or older,7.55,#1777,#1793,"133,443",429,54795,"Being the daughter of a modeling agency owner, Chiyuki Fujito aspires to represent her father's agency in the prestigious Paris Fashion Week, shining under the spotlight as a runway model. However, although she is equipped with great looks and talent, she unfortunately lacks a key element in becoming a successful model—height. Stuck at 158 cm even after entering high school, her childhood dream seems out of reach. Meanwhile, Ikuto Tsumura is a high school student with a knack in designing clothes; however, without the resources to pursue the necessary education, his ambition of becoming a fashion designer remains a mere dream. But as fate brings Chiyuki and Ikuto together, the dim hopes within their hearts are ignited once again. Together, the two promise to rebel against convention and carve out their own paths in the fashion world. [Written by MAL Rewrite]","['Adaptation (Manga) Runway de Waratte', '']",Runway de Waratte,,,,
19,,へやキャン△,Room Camp,Room Camp,Room Camp,['TV'],12,Finished Airing,"Jan 6, 2020 to Mar 23, 2020",['Winter 2020'],Mondays at 20:55 (JST),"['Sotsu', 'AT-X', 'KlockWorx', 'Houbunsha', 'MAGES.', 'BS11', 'DeNA', 'FuRyu']","None found,",['C-Station'],['Manga'],['Slice of Life'],"['CGDCT', 'Iyashikei']",,3 min. per ep.,PG-13 - Teens 13 or older,7.36,#2554,#2183,"101,955",148,46676,"During an Outdoor Activities Club meeting, Nadeshiko Kagamihara, Aoi Inuyama, and Chiaki Oogaki debate what it means to be a real Yamanashi native. Somewhere along the line, Chiaki brings up the Yamanashi Kids' Stamp Rally, which Nadeshiko has never heard of. The rally encourages one to visit famous places in the prefecture and collect stamps; those who complete the rally will win a year's worth of Minobu steamed buns. Enticed by the humongous food prize, Nadeshiko is set on participating. Follow the Outdoor Activities Club as they travel around the Yamanashi prefecture to collect stamps and explore what the region has to offer! [Written by MAL Rewrite]",[],Heya Camp△,,,Room Camp,
