,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Themes,Genre,Demographics
10,Priconne,プリンセスコネクト！Re:Dive,,Princess Connect! Re: Dive,Princess Connect! Re: Dive,,['TV'],13,Finished Airing,"Apr 7, 2020 to Jun 30, 2020",['Spring 2020'],Tuesdays at 00:30 (JST),"['WOWOW', 'Nippon Columbia', 'Tokyo MX', 'BS11', 'Cygames']","None found,",['CygamesPictures'],Game,"['Adventure', 'Comedy', 'Fantasy', 'Gourmet']",,,23 min. per ep.,PG-13 - Teens 13 or older,7.04,#4212,#870,"301,323","1,058",127586,"In the continent of Astraea, a man falls from the sky, possessing no memories other than his name, Yuuki. An elf named Kokkoro finds him, introducing herself as his guide in the world they are about to traverse. With Kokkoro's guidance, Yuuki is able to learn how this world works, from battling monsters to handling currency. To earn money for their journey, Yuuki and Kokkoro decide to go to a nearby guild association to accept a simple quest. In their expedition, they meet Pecorine, a somewhat gluttonous but charming girl skilled in battle. The next day, they also meet Karyl, a cat girl specializing in magic. After some time, a bond of friendship and camaraderie forms between them, and the four decide to create a guild of their own. As they continue their adventures, they explore the world, meet new people, and will perhaps uncover the mysteries behind Yuuki's missing memories. [Written by MAL Rewrite]","['Sequel (TV) Princess Connect! Re:Dive Season 2', 'Adaptation (Manga) Princess Connect! Re:Dive']",Princess Connect! Re:Dive,,,
11,"Hachinan tte, Sore wa Nai deshou!",八男って、それはないでしょう！,The 8th Son? Are You Kidding Me?,The 8th Son? Are You Kidding Me?,The 8th Son? Are You Kidding Me?,The 8th Son? Are You Kidding Me?,['TV'],12,Finished Airing,"Apr 2, 2020 to Jun 18, 2020",['Spring 2020'],Thursdays at 21:00 (JST),"['Satelight', 'Frontier Works', 'flying DOG', 'Kadokawa Media House', 'Exa International', 'Kadokawa', 'GREE', 'arma bianca']",['Crunchyroll'],"['SynergySP', 'Shin-Ei Animation']",['Light novel'],"['Action', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,6.27,#8444,#1010,"256,248",510,137373,"Waking up in a new world, 25-year-old Shingo Ichinomiya realizes that he is in the body of a six-year-old. Retaining memories of his stressful life working at a firm company, Shingo learns that the person he is occupying is Wendelin Von Benno Baumeister, the eighth son of a poor noble family living in the countryside. Awoken to his bizarre situation, Wendelin strives to change his financial and social status for the better. His newly discovered great magical aptitude may prove to be just what he needs to achieve that goal. [Written by MAL Rewrite]","['Adaptation (Manga) Hachi-nan tte, Sore wa Nai deshou!', 'Adaptation (Light Novel) Hachi-nan tte, Sore wa Nai deshou!']","Hachi-nan tte, Sore wa Nai deshou!","['Isekai', 'Reincarnation']",,
12,Ascendance of a Bookworm 2nd Season,本好きの下剋上 ～司書になるためには手段を選んでいられません～ 第2期,Ascendance of a Bookworm Season 2,Ascendance of a Bookworm Staffel 2,Ascendance of a Bookworm Temporada 2,Ascendance of a Bookworm Saison 2,['TV'],12,Finished Airing,"Apr 5, 2020 to Jun 21, 2020",['Spring 2020'],Sundays at 02:10 (JST),"['WOWOW', 'Genco', 'MediaNet', 'KlockWorx', 'flying DOG', 'BS Fuji', 'Yomiuri TV Enterprise', 'ABC Animation', 'Happinet', 'Tokyo Animator Gakuin', 'TO Books', 'JTB Next Creation']","['Sentai Filmworks', 'Crunchyroll']",['Ajia-do'],['Light novel'],,,,23 min. per ep.,PG-13 - Teens 13 or older,8.08,#555,#1130,"229,671",841,135225,"When Myne learns that the Holy Church is in need of mana for their relics, she sees it as her chance to be cured of her life-threatening mana disorder. After seeing their bountiful library, she throws herself headfirst into the Church's grasp and begs to join their order. In exchange for her service and her unusually bountiful supply of mana, Myne is given the blue robes of a noble-born apprentice priestess, despite being a commoner. To Myne, all this talk of mana and nobility is trivial, as she now has access to an unlimited supply of books! As Myne transitions into the next phase of her life in this new world, she soon learns that achieving her dream has come at a heavy cost. Noble society is severe, unforgiving, and fueled by politics and neglect. She must now deal with the class conflict between the noble-born blue robes and the common-born grey robes, the High Priest's attempts to oust her, and constant behavioral issues from her new retainers. With the help of her family, friends, and the enigmatic Head Priest whose loyalties and motives remain unknown, Myne seeks to overcome these obstacles and continue on the path to becoming her ideal self—the ultimate librarian! [Written by MAL Rewrite]","['Prequel (TV) Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen', 'Sequel (TV) Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season', 'Adaptation (Manga) Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 2-bu - Hon no Tame nara Miko ni Naru!', 'Adaptation (Light Novel) Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen']",Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,"['Isekai', 'Reincarnation']",['Fantasy'],
13,,アルテ,Arte,,,,['TV'],12,Finished Airing,"Apr 4, 2020 to Jun 20, 2020",['Spring 2020'],Saturdays at 22:00 (JST),"['MediaNet', 'Toei Video', 'KlockWorx', 'flying DOG', 'Nikkatsu', 'Asmik Ace', 'BS Fuji', 'NBCUniversal Entertainment Japan', 'Tokyo MX', 'Glovision', 'North Stars Pictures', 'RAY', 'Muse Communication']",['Funimation'],['Seven Arcs'],['Manga'],,,['Seinen'],24 min. per ep.,PG-13 - Teens 13 or older,7.20,#3345,#1752,"136,620",375,59677,"In the 16th century, the city of Florence booms with cultural and creative revival in celebration of the Renaissance. Arte, a delightful young lady from an aristocratic family, dreams of being an artist and contributing to the renewal of civilization. However, with her father's death, she ends up losing the only person who believed in her passion for art. Now she is expected to marry a nobleman and live as a refined housewife without disgracing her family name. Reluctant to accept her fate, the headstrong Arte steps into the streets in search of a master artisan to take her on as an apprentice. In her quest for a mentor, Arte has to face harsh reality when she is completely shunned for being a female artist. No one believes that women are capable of fine craftsmanship, and therefore none are willing to accept her. Luckily, a renowned artisan by the name of Leo is persuaded to take her as his disciple since he has none anyway. And thus, Arte's new life begins, far from the comfort of her noble upbringing. As an apprentice, she must earn her keep while tackling various challenges along the difficult path to becoming a full-fledged, master artisan. [Written by MAL Rewrite]","['Adaptation (Manga) Arte', '']",Arte,"['Historical', 'Visual Arts']",['Drama'],
14,Appare Ranman!,天晴爛漫！,Appare-Ranman!,,,,['TV'],13,Finished Airing,"Apr 10, 2020 to Sep 25, 2020",['Spring 2020'],Fridays at 21:30 (JST),"['Lantis', 'AT-X', 'Docomo Anime Store', 'Sammy', 'Kadokawa Media House', 'Kadokawa', 'Bandai Namco Arts', 'Bit Promotion']",['Funimation'],['P.A. Works'],Original,,,,23 min. per ep.,PG-13 - Teens 13 or older,7.24,#3162,#1768,"135,507",513,51684,"No dream is too big for Appare Sorrano, a socially-awkward inventor living in a small rural town in Japan in the late 19th century. Fascinated since childhood by the creation of steamships that can connect people across great distances, he's learned to make machines of all kinds from various scientific texts. His goal is to sail across the sea, beyond the sky, and ultimately, to the other side of the moon. Unfortunately, through a string of events, Appare finds himself stranded in the middle of the sea on his mini steamship. Floating alongside him is a skilled but cowardly samurai, Kosame Ishikki, who was tasked to keep his eccentric behavior in check. Just when all hope seems lost, a large steamship saves them and takes them to Los Angeles. With no money or plans, they decide to participate in the ""Trans-America Wild Race,"" which gives Appare the chance to build his own automobile, and Kosame the opportunity to use the cash prize to return home. However, against rival racers and unknown challenges residing in the wilderness, just how far will this adventure take Appare and Kosame? [Written by MAL Rewrite]","['Adaptation (Manga) Appare-Ranman!', '']",Appare-Ranman!,"['Adult Cast', 'Historical', 'Racing']",['Comedy'],
15,,継つぐもも,,Tsugumomo 2,Tsugumomo 2,Tsugumomo 2,['TV'],12,Finished Airing,"Apr 5, 2020 to Jun 21, 2020",['Spring 2020'],Sundays at 21:30 (JST),['Saber Links'],['Crunchyroll'],['Zero-G'],['Manga'],"['Action', 'Comedy', 'Supernatural', 'Ecchi']",,,24 min. per ep.,R+ - Mild Nudity,7.41,#2338,#1966,"118,064",368,43010,"When ""ordinary boy"" Kagami Kazuya meets the beautiful tsukumogami Kiriha, his life gets turned upside-down. As a ""Taboo Child"" who draws the supernatural towards him, he receives orders from the God of the Land, Kukuri, to become an exorcist and defeat these evil forces. And so, he and Kiriha do battle. To find out information on these supernatural beings, Kazuya and his friends set up a counselor's club at school. But behind the typical-seeming troubles he hears about, he uncovers a major plot to target Kukuri... In addition to the sadistic-yet-beautiful tsukumogami Kiriha, the situation draws other girls to Kazuya to join the fray! (Source: Crunchyroll)","['Prequel (TV) Tsugumomo', 'Adaptation (Manga) Tsugumomo']",Tsugu Tsugumomo,"['Harem', 'Mythology', 'School']",,
16,,キングダム 第3シリーズ,Kingdom: Season 3,,,,['TV'],26,Finished Airing,"Apr 6, 2020 to Oct 17, 2021",['Spring 2020'],Mondays at 00:10 (JST),['Shueisha'],['Funimation'],"['Pierrot', 'Studio Signpost']",['Manga'],,,['Seinen'],25 min. per ep.,R - 17+ (violence & profanity),8.83,#29,#2036,"113,132","2,327",45309,"Following the successful Sanyou campaign, the Qin army, including 1,000-Man Commander Xin, inches ever closer to fulfilling King Ying Zheng's dream of unifying China. With a major geographical foothold in the state of Wei now under its control, Qin sets its sights eastward toward the remaining warring states. Meanwhile Li Mu—an unparalleled strategist and the newly appointed prime minister of the state of Zhao—has taken advantage of Zhao's temporary truce with Qin to negotiate with the other states without interruption. Seemingly without warning, Ying Zheng receives news that armies from the states of Chu, Zhao, Wei, Han, Yan, and Qi have crossed into Qin territory. Realizing too late the purpose behind Li Mu's truce with Qin, Zheng quickly gathers his advisors to devise a plan to address the six-state coalition army on their doorstep. For the first time in history, the state of Qin faces complete destruction and must use every resource and strategy at their disposal to prevent themselves from being wiped off the map. [Written by MAL Rewrite]","['Prequel (TV) Kingdom 2nd Season', 'Sequel (TV) Kingdom 4th Season', 'Adaptation (Manga) Kingdom', '']",Kingdom 3rd Season,"['Historical', 'Military']",['Action'],
17,"White Cat Project, Rune Story",白猫プロジェクトZERO CHRONICLE,Shironeko Project ZERO CHRONICLE,,,,['TV'],12,Finished Airing,"Apr 6, 2020 to Jun 22, 2020",['Spring 2020'],Mondays at 22:00 (JST),"['NBCUniversal Entertainment Japan', 'COLOPL', 'Kadokawa', 'GREE']",['Funimation'],['Project No.9'],Game,"['Action', 'Adventure', 'Fantasy']",,,23 min. per ep.,PG-13 - Teens 13 or older,5.39,#12407,#2142,"104,662",210,43890,"The world is divided into two kingdoms: the Kingdom of White, which floats in the heavens and is ruled by their queen Iris, and the Kingdom of Black, which stands upon desolate land below and houses the King of Darkness as its ruler. As of late, forces of evil have amassed great power, posing a threat to the entire world. Being the main representative of the Light, it is Iris' duty to maintain the balance of the world and fight off the darkness in her kingdom. Meanwhile in the Kingdom of Black, rampaging monsters annihilate a certain boy's village, leaving him the sole survivor. As he grieves in hopelessness, an armored man named Skeer notices the child and comforts him. Soon after, Skeer recognizes the boy's potential to change the kingdom's status quo and makes him his heir before passing away. The boy then vows to become the Prince of Darkness—the one who will replace the King—to bring the world back to its rightful path. As Iris and Prince of Darkness each challenge the impending doom the world faces in their own respective ways, their destinies will converge with each other, and perhaps, their bond will decide the fate of the world. [Written by MAL Rewrite]",[],Shironeko Project: Zero Chronicle,,,
18,Nami yo Kiite Kure,波よ聞いてくれ,"Wave, Listen to Me!",,,,['TV'],12,Finished Airing,"Apr 4, 2020 to Jun 20, 2020",['Spring 2020'],Saturdays at 02:25 (JST),"['Mainichi Broadcasting System', 'Kodansha', 'DMM pictures', 'DMM Music']",['Funimation'],['Sunrise'],['Manga'],"['Comedy', 'Drama']",,['Seinen'],24 min. per ep.,R - 17+ (violence & profanity),7.34,#2641,#2391,"87,903",196,31869,"Restaurant worker Minare Koda has recently been through a bad breakup. Heartbroken and drunk after a night out, she rants about her misery to a complete stranger—Kanetsugu Matou, a radio station director local to Sapporo, Hokkaido. The next day at work, Minare is shocked to hear a recording of herself from the previous night playing over the radio. Flustered, she rushes to the radio station in a frenzy to stop the broadcast. As she confronts Matou, a chain of events leads to her giving an impromptu talk live on air, explaining her savage drunken speech. With her energetic voice, she delivers a smooth dialogue with no hesitation, which Matou recognizes as raw talent. Minare soon becomes a late-night talk show host under Matou's direction, covering amusing narratives set in Sapporo, all while balancing her day job and personal life to make ends meet. [Written by MAL Rewrite]","['Adaptation (Manga) Nami yo Kiitekure', '']",Nami yo Kiitekure,"['Adult Cast', 'Showbiz']",,
19,"Hokago Teibo Nisshi, Afterschool Embankment Journal",放課後ていぼう日誌,Diary of Our Days at the Breakwater,,,,['TV'],12,Finished Airing,"Apr 7, 2020 to Sep 22, 2020",['Spring 2020'],Tuesdays at 22:00 (JST),"['AT-X', 'flying DOG', 'Akita Shoten', 'BS11', 'RAY', 'Kadokawa', 'Legs']",['Funimation'],['Doga Kobo'],['Manga'],"['Gourmet', 'Slice of Life']",,['Seinen'],23 min. per ep.,PG-13 - Teens 13 or older,7.43,#2228,#2807,"68,009",328,28423,"Hina Tsurugi and her family have just moved to a quaint seaside town. Hoping to savor the sight of the peaceful ocean, Hina stumbles upon a girl named Yuuki Kuroiwa—an upperclassman at her new school—who invites Hina to join her in fishing. Hina reels in an octopus, which falls onto her; being afraid of bugs and big creatures, she panics and begs Yuuki to remove it from her. Yuuki sees this as an opportunity to force Hina to join the school's Breakwater Club—a club where members gather, catch, and eat various types of marine life as their main activity. Although her attempts to refuse to join fail, Hina slowly begins to discover the hidden joy in fishing. Her view on the sport changes, now looking forward to all the delightful experiences she can take part in alongside her fellow club members. [Written by MAL Rewrite]","['Adaptation (Manga) Houkago Teibou Nisshi', '']",Houkago Teibou Nisshi,"['CGDCT', 'Iyashikei', 'School']",,
