,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genres,Synonyms,Theme,Demographics
86,ぼのぼの,Bono Bono,Bono Bono,Bono Bono,Bono Bono,['TV'],Unknown,Currently Airing,"Apr 2, 2016 to ?",['Spring 2016'],Saturdays at 04:52 (JST),"['Fuji TV', 'Glovision']","None found,",['Eiken'],['4-koma manga'],,,,5 min.,G - All Ages,6.37,#7886,#10237,"3,280",19,759,"Based on the original comic BONO BONO by Mikio Igarashi that has seen over 9,000,000 total copies printed, this is the definitive animated version of the emotionally soothing character-driven series that will make you ask yourself the philosophical question, ""What are living things?"" while laughing at heartwarming gags and being entertained by the interactions of amusing forest friends Bonobono the young sea otter, Chipmunk, Fishing Cat, and more. Enjoy the easygoing days and minor misadventures of Bonobono and his friends! (Source: Fuji Creative)","['Adaptation (Manga) Bonobono', 'Adaptation (Manga) Bono-chan']",Bonobono (TV 2016),"['Comedy', 'Slice of Life']",,['Anthropomorphic'],
87,おじゃる丸,Prince Mackaroo,,,,['TV'],Unknown,Currently Airing,"Oct 5, 1998 to ?",['Fall 1998'],Not scheduled once per week,['NHK'],['Enoki Films'],['Gallop'],Original,,,['Kids'],10 min.,G - All Ages,6.39,#7752,#11554,"2,223",5,553,"In the Heian era, around 1000 years ago, a young boy of noble family named Ojarumaru is bored with his life of privilege. Meanwhile, three demons steal the power-stick of Enma, king of demons, and then lose it. Ojarumaru finds it, and uses it to transport himself to the present time. Here, he is befriended by a young boy named Kazuma, and becomes a member of his family. As time goes on, Ojarumaru makes many new friends, while dodging the comedic efforts of the three demons, Akane, Kisuke, and Aobee, as they try to recover the stick. (from ANN)","['Adaptation (Manga) Ojarumaru', '']",Ojarumaru,"['Adventure', 'Award Winning', 'Comedy', 'Fantasy']",,,
88,ジモトがジャパン,I'm from Japan,,,,['TV'],50,Finished Airing,"Apr 8, 2019 to Mar 23, 2020",['Spring 2019'],Mondays at 07:05 (JST),['Shueisha'],"None found,",['Oddjob'],['Manga'],,,['Shounen'],2 min. per ep.,G - All Ages,[],#19007,#12050,"1,915",4,,"There's a new tough guy transfer student in Tokyo. His name is Tokio and he's raring to see how scrappy the locals are. But when he comes face-to-face with a Japan-obsessed red-haired kid that won't leave him alone until he tells him exactly what prefecture he's from, his life takes a turn for the crazy! This kid isn't just Japan obsessed, he's developed a martial art based on all the different prefectures in the country! (Source: VIZ Media)","['Adaptation (Manga) Jimoto ga Japan', '']",Jimoto ga Japan,"['Comedy', 'Slice of Life']",,['Gag Humor'],
89,パズドラ,Puzzle & Dragon,,,,['TV'],Unknown,Currently Airing,"Apr 2, 2018 to ?",['Spring 2018'],Mondays at 18:25 (JST),['Akatsuki'],"None found,",['Pierrot'],Game,,,['Kids'],24 min.,PG - Children,5.84,#10759,#12388,"1,702",6,147,"The story is set in modern day Japan following the growth of the protagonist Taiga Akashi, an elementary school kid who wants to be a professional gamer someday. (Source: Crunchyroll)",[],Puzzle & Dragon,,PazuDora,['Strategy Game'],
90,デュエル・マスターズ! !,,,,,['TV'],51,Finished Airing,"Apr 7, 2019 to Mar 29, 2020",['Spring 2019'],Sundays at 08:30 (JST),"['TV Tokyo', 'Shueisha', 'Shogakukan']","None found,","[""Brain's Base"", 'Shogakukan Music & Digital Entertainment']",Original,,,['Kids'],24 min. per ep.,G - All Ages,5.69,#11428,#13311,"1,293",3,207,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Duel Masters!', 'Sequel (TV) Duel Masters King', 'Adaptation (Manga) Duel Masters', '']",Duel Masters!!,"['Action', 'Adventure', 'Comedy', 'Fantasy']",,,
91,紙兎ロペ 〜笑う朝には福来たるってマジっすか!?,,,,,['TV'],Unknown,Currently Airing,"Nov 16, 2012 to ?",['Fall 2012'],Not scheduled once per week,"None found,","None found,","None found,",Original,,,,2 min.,G - All Ages,[],#19285,#13297,"1,296",0,,"Fourth season of Kamiusagi Rope, events occur after the feature film. Airs on Mezamashi TV instead of the theaters.","['Prequel (Movie) Kamiusagi Rope tsuka, Natsuyasumi Rasuichi tte Maji ssuka!?', '']",Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,"['Comedy', 'Slice of Life']",Kamiusagi Rope 4,,
92,はなかっぱ,,,,,['TV'],Unknown,Currently Airing,"Mar 29, 2010 to ?",['Spring 2010'],Not scheduled once per week,"['Group TAC', 'TOHO animation']","None found,","['Xebec', 'OLM']",Picture book,['Comedy'],,['Kids'],10 min.,PG - Children,6.00,#9920,#14258,"1,003",0,171,Story about Kappa with flowers on their heads.,[],Hanakappa,,Hana Kappa,,
93,しあわせ配達おみくじタネコ,,,,,['TV'],Unknown,Currently Airing,"Mar 26, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['Kachidoki Studio'],Original,['Comedy'],,,Unknown,None,[],#14195,#14340,980,4,,"The story centers around a cat who answers people's wishes and delivers happiness. (""Tane"" and ""neko"" are the Japanese words for ""seed"" and ""cat,"" respectively.) (Source: ANN)",[],Shiawase Haitatsu Taneko,,,,
94,あはれ! 名作くん,Aware! Meisaku-kun,,,,['TV'],230,Finished Airing,"Apr 8, 2016 to Mar 4, 2022",['Spring 2016'],Fridays at 18:20 (JST),"None found,","None found,",['Pie in the sky'],Original,['Comedy'],"['Parody', 'School']",['Kids'],5 min. per ep.,G - All Ages,6.12,#9258,#14432,951,1,213,"A long, long time ago, there was a prestigious school called ""Ryuuguu Elementary School"" that produced many masterpiece characters. One day, an ordinary boy named Meisaku Matsuda enrolled at the school. Little did he know that the place for learning was filled with crazy characters like Sweets, the energetic idiot; Musubi, a rice ball who gets angry when called ""onigiri""; Nokio, a narcissistic self-proclaimed robot; and Bolt, who's clearly faster than a rabbit. Surrounded by such unique characters, will Meisaku be able to graduate as a splendid masterpiece character? (Source: Anime News Network)",[],Aware! Meisaku-kun,,Ahare! Meisaku-kun,,
95,おどるモワイくん,,,,,['TV'],26,Finished Airing,"Jul 2, 2019 to Dec 24, 2019",['Summer 2019'],Tuesdays at 07:05 (JST),"None found,","None found,","[""Monster's Egg""]",Original,['Comedy'],,['Kids'],2 min. per ep.,G - All Ages,5.15,#13011,#14543,927,3,275,"The anime centers on a Moai statue named Mowai-kun who is gloomy every day because it lives a dull life where it just watches the beach and the sun from atop a hill on an island. But one day Mowai-kun grows arms, and starts to dance. The anime will air within the Oha-Suta program's ""Kyara-Suta"" corner. (Source: ANN)",[],Odoru Mowai-kun,,,,
96,少年アシベ GO! GO! ゴマちゃん 4,,Shonen Ashibe GO! GO! Goma-chan Staffel 4,Shonen Ashibe GO! GO! Goma-chan Temporada 4,Shônen Ashibe Go! Go! Goma-chan Saison 4,['TV'],24,Finished Airing,"Apr 2, 2019 to Dec 17, 2019",['Spring 2019'],Tuesdays at 18:45 (JST),"None found,","None found,","['Bridge', 'Studio Palette']",['4-koma manga'],,,['Seinen'],9 min. per ep.,G - All Ages,5.84,#10714,#15040,804,0,219,Fourth season of Shounen Ashibe: Go! Go! Goma-chan.,"['Prequel (TV) Shounen Ashibe: Go! Go! Goma-chan 3', '']",Shounen Ashibe: Go! Go! Goma-chan 4,"['Comedy', 'Slice of Life']",Young Ashibe: Go! Go! Goma-chan 4,['Pets'],
97,Bラッパーズ ストリート,,,,,['TV'],50,Finished Airing,"Apr 11, 2019 to Mar 26, 2020",['Spring 2019'],Thursdays at 07:05 (JST),"['Sony Music Communications', 'Sony Music Entertainment', 'Shogakukan', 'Sony Interactive Entertainment']","None found,",['Pie in the sky'],Original,['Comedy'],,,2 min. per ep.,G - All Ages,[],#16694,#15200,762,2,,"A multimedia project collaboration between Shogakukan, Sony Interactive Entertainment, Sony Music Entertainment, and Sony Music Communications, and features a theme of rap and hip-hop. The story follows Yo!Hey, a boy who raps to the beat of his farts. The anime will air withing the Ota-Suta (""Good Morning Star"") children's television program and the manga counterpart will be published in March. (Source: ANN)","['Adaptation (Manga) B Rappers Street', '']",B Rappers Street,,,['Music'],
98,ね子とま太,,,,,['TV'],88,Finished Airing,"Apr 21, 2017 to Sep 17, 2020",['Spring 2017'],Fridays at 01:25 (JST),"['Fuji TV', 'Creek & River']","None found,","None found,",Original,['Supernatural'],,,42 sec. per ep.,G - All Ages,[],#20617,#15541,697,0,,"The series centers around two cats: a younger sister named Neko, and an older brother named Mata. Neko is a nekomata (a mythical two-tailed cat), innocently selfish, and spoiled by her brother. Mata is a neighborhood cat with an eartipped mark as a sign of being neutered. They meet under a streetlight in the city at night to talk. (Source: ANN)",[],Neko to Mata,,,,
99,しまじろうのわお!,,,,,['TV'],Unknown,Currently Airing,"Apr 2, 2012 to ?",['Spring 2012'],Mondays at 07:30 (JST),"None found,","None found,",['The Answer Studio'],Other,,,['Kids'],8 min.,G - All Ages,[],#14227,#15589,688,1,,Fourth season of the Shimajirou children's television series.,"['Prequel (TV) Shimajirou Hesoka', '']",Shimajirou no Wow!,"['Adventure', 'Comedy', 'Fantasy']",,,
100,けだまのゴンじろー,,,,,['TV'],51,Finished Airing,"Apr 6, 2019 to Mar 28, 2020",['Spring 2019'],Saturdays at 10:00 (JST),"None found,","None found,","['OLM', 'Wit Studio', 'Signal.MD']",Other,,,,24 min. per ep.,G - All Ages,[],#19350,#15704,669,0,,"One day, a timid fifth elementary student named Makoto Maegami discovers a mysterious jumping hairball stuck to its head! It then eats one of Makoto's buttons and suddenly transforms into an alien-like form named Gonjiro. Gonjiro has the intangible ability to shapeshift itself into anything to ""fit"" and assist any of whatever trouble Makoto finds himself into. Thus the misadventures of Makoto entangles with Gonjiro protecting him in any ""hairy"" situations. (Source: Animanga Wiki)","['Adaptation (Manga) Kedama no Gonjirou', '']",Kedama no Gonjirou,"['Action', 'Adventure', 'Comedy', 'Fantasy']",Gonjiro The Furball,,
101,マヌ～ルのゆうべ,,,,,['TV'],Unknown,Currently Airing,"Nov 11, 2018 to ?",['Fall 2018'],Sundays at Unknown,['NHK'],"None found,","None found,",['Web manga'],['Slice of Life'],,,1 min.,PG-13 - Teens 13 or older,[],#20012,#15801,654,1,,"Within the nature ""Darwin Kita! Kikimono Shin Densetsu"" program on NHK1.5 airs the short Manul no Yuube, based on a web manga/comic of the same name. It following animal characters who visit the bar Manul no Yuube. The bar is run by the Mama who is a Pallas's cat (Otocolobus manul) and serviced by the hostess Tsunomin who is a Brazilian treehopper (Bocydium globulare).",[],Manul no Yuube,,,,
102,今日もツノがある,,,,,['TV'],50,Finished Airing,"Feb 21, 2019 to Feb 19, 2020",['Winter 2019'],Thursdays at 21:54 (JST),"None found,","None found,",['MMDGP'],['Web manga'],['Comedy'],,,1 min. per ep.,G - All Ages,[],#19698,#16182,601,0,,An everyday life of yellow frog with horn. Based on the web manga of the same title.,[],Kyou mo Tsuno ga Aru,,,,
103,ポチっと発明 ピカちんキット,,,,,['TV'],115,Finished Airing,"Jan 6, 2018 to Mar 28, 2020",['Winter 2018'],Saturdays at 09:30 (JST),['Bandai'],"None found,","['OLM', 'Shin-Ei Animation']",Original,,,['Kids'],24 min. per ep.,PG - Children,[],#21028,#16272,588,1,,"A fifth-year elementary student named Eiji Toomatsu, and his ""inspiration"" buddy, a dog named Pochirou. One day Eiji finds a mysterious book called the ""Pikachin Research Book,"" and learns about the seven tools that make up the Pikachin Kit. Eiji presses a button inside the research book, and immediately a ""Future Amazon"" delivery arrives at his door with the kit. Eiji uses the blueprints included in the box to assemble the kit, but it seems as though 1% part of the kit is still missing. In the franchise, the word ""Pikachin"" means the flash of inspiration or insight one gets about a new project, similar to the visual of a lightbulb turning on above one's head when someone has an idea. The concept of the franchise is ""invention is 99% plastic models, 1% inspiration."" (Source: ANN)","['Prequel (ONA) Pochitto Hatsumei: Pikachin-Kit', '']",Pikachin-Kit,"['Comedy', 'Sci-Fi']",Pochitto Hatsumei: Pikachin-Kit,,
104,ごはんかいじゅうパップ,,,,,['TV'],Unknown,Currently Airing,"Apr 25, 2011 to ?",['Spring 2011'],Not scheduled once per week,"None found,","None found,",['DLE'],Original,,,['Kids'],30 sec.,G - All Ages,[],#18204,#16431,567,0,,"A series of short, 30-second segments featuring Gohan Kaijuu Pap and various ""side dish"" monsters to produce delicious meals.",[],Gohan Kaijuu Pap,"['Action', 'Comedy']",Rice Monster Pap,,
105,ぴったんこ!! ねこざかな,,,,,['TV'],93,Finished Airing,"Oct 9, 2017 to Dec 23, 2019",['Fall 2017'],Unknown,"None found,","None found,","None found,",Unknown,,,,5 min. per ep.,G - All Ages,[],#21057,#16533,556,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Pittanko! Nekozakana', 'Sequel (TV) Pittanko!! Nekozakana (2020)']",Pittanko!! Nekozakana,,,,
106,ねこねこ日本史 第4期,Meow Meow Japanese History,,,,['TV'],32,Finished Airing,"Apr 3, 2019 to Feb 26, 2020",['Spring 2019'],Wednesdays at 18:45 (JST),"None found,","None found,","None found,",['Web manga'],,"['Anthropomorphic', 'Historical', 'Parody', 'Samurai']",['Kids'],9 min. per ep.,G - All Ages,[],#20606,#16673,541,0,,Fourth season of Neko Neko Nihonshi.,"['Prequel (TV) Neko Neko Nihonshi 3rd Season', 'Sequel (TV) Neko Neko Nihonshi 5th Season', 'Adaptation (Manga) Neko Neko Nihonshi', '']",Neko Neko Nihonshi 4th Season,,,,
107,よわむしモンスターズ,,,,,['TV'],Unknown,Currently Airing,"Dec 25, 2012 to ?",['Winter 2013'],Not scheduled once per week,['NHK'],"None found,","None found,",Original,,,['Kids'],1 min.,PG - Children,[],#16128,#16778,527,0,,An NHK toddler's anime following cowardly creatures representing typical Halloween monsters like Dracula and a witch.,[],Yowamushi Monsters,,Yowamon,,
108,えほん寄席,,,,,['TV'],73,Finished Airing,"Apr 2006 to Nov 11, 2023",['Spring 2006'],Unknown,"['NHK', 'Pony Canyon']","None found,","None found,",Other,['Horror'],"['Historical', 'Performing Arts']",['Kids'],5 min. per ep.,PG - Children,[],#17862,#17183,487,0,,Anime rakugo of classic Japanese horror tales shown in a wide variety of art styles.,[],Ehon Yose,,,,
109,オトッペ,,,,,['TV'],265,Finished Airing,"Apr 3, 2017 to Mar 31, 2023",['Spring 2017'],Mondays at 08:40 (JST),['NHK'],"None found,","None found,",Original,['Fantasy'],,['Kids'],3 min. per ep.,G - All Ages,[],#20907,#17770,435,0,,"The series follows a young girl named Shina who hopes to become the world's best DJ, and is interested in new sounds. Shina explores a mysterious world filled with Otoppe, strange creatures capable of unique sounds.",[],Otoppe,,,['Music'],
110,パッコロリン,Pakkororin,,,,['TV'],Unknown,Currently Airing,"Mar 28, 2011 to ?",['Spring 2011'],Not scheduled once per week,['NHK'],"None found,",['Three-d'],Original,,,['Kids'],1 min.,G - All Ages,[],#20935,#18313,397,0,,"A minute long children's anime that follows 3 siblings. Two brothers who are rectangular and circular shaped, and a sister who is triangluar shaped. They have unique personalities and foster growth and discovery through their play time.",[],Pakkororin,,,,
111,れいぞうこのつけのすけ！,,,,,['TV'],65,Finished Airing,"Oct 1, 2018 to Mar 17, 2020",['Fall 2018'],Mondays at 07:05 (JST),['Shogakukan-Shueisha Productions'],"None found,","None found,",Original,['Comedy'],,['Kids'],1 min. per ep.,G - All Ages,[],#21334,#18785,358,0,,A gag anime about foods in a refrigerator. The anime airs within the Oha Suta children's morning TV program and will receive a simultaneous manga serialization by Kazumata Oguri.,[],Reizouko no Tsukenosuke!,,Reizouko no Tsuke no Suke!,['Parody'],
112,わしも-wasimo-(第7シリーズ),,,,,['TV'],40,Finished Airing,"Apr 1, 2019 to Nov 12, 2019",['Spring 2019'],Unknown,"None found,","None found,","None found,",Picture book,,,['Kids'],10 min. per ep.,G - All Ages,[],#15262,#20402,263,0,,Seventh season of the Washimo series.,"['Prequel (TV) Washimo 6th Season', 'Sequel (TV) Washimo 8th Season']",Washimo 7th Season,"['Comedy', 'Sci-Fi', 'Slice of Life']",Wasimo 7,['School'],
113,메탈리온 (核晶少年),Metallions,,,,['TV'],104,Finished Airing,"Feb 8, 2019 to Feb 28, 2020",['Winter 2019'],Unknown,"None found,","None found,","None found,",Unknown,,,['Kids'],10 min. per ep.,PG - Children,[],#20195,#21135,220,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Metallion,"['Action', 'Sci-Fi']",He Jing Shaonian,['Mecha'],
114,출동! 애니멀 레스큐,Animal Rescue,,,,['TV'],52,Finished Airing,"Feb 16, 2019 to Apr 23, 2020",['Winter 2019'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],11 min. per ep.,PG - Children,[],#17359,#21719,190,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Chuldong! Animal Rescue,"['Fantasy', 'Sci-Fi']","Chuldong! Aenimeol Leseukyu, Go! Animal Rescue",,
115,띠띠뽀 띠띠뽀 2,Titipo Titipo Season 2,,,,['TV'],26,Finished Airing,"Aug 26, 2019 to Jun 26, 2020",['Summer 2019'],Unknown,['EBS'],"None found,","['Iconix Entertainment', 'Studio Gale']",Unknown,,,['Kids'],11 min. per ep.,PG - Children,[],#14909,#21783,186,1,,The second season of Titipo Titipo.,"['Prequel (TV) Titipo Titipo', 'Sequel (TV) Titipo Titipo 3']",Titipo Titipo 2,,,['Racing'],
116,미니특공대 슈퍼공룡파워,,,,,['TV'],26,Finished Airing,"Aug 29, 2019 to Nov 22, 2019",['Summer 2019'],Unknown,"None found,","None found,",['SAMG Entertainment'],Original,['Action'],,['Kids'],13 min. per ep.,PG - Children,[],#20284,#22759,142,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Miniforce: Super Dino Power Part 2', '']",Miniforce: Super Dino Power,,"迷你特工队之超级恐龙力量, Mini Tegong Dui: Chaoji Konglong Liliang",,
117,벅스봇 이그니션,Bugsbot Ignition,,,,['TV'],26,Finished Airing,"Jul 9, 2019 to Jan 6, 2020",['Summer 2019'],Unknown,"None found,","None found,",['Cocktail Media'],Original,,,['Kids'],22 min. per ep.,PG - Children,[],#17072,#22905,139,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,[],Bugsbot Ignition,"['Action', 'Adventure', 'Sci-Fi']",Beogseubos Igeunisyeon,,
118,핑크퐁 원더스타,Pinkfong Wonderstar,,,,['TV'],26,Finished Airing,"Jun 27, 2019 to Jan 9, 2020",['Summer 2019'],Thursdays at 17:15 (JST),['Pinkfong'],"None found,","None found,",Unknown,,,['Kids'],11 min. per ep.,PG - Children,[],#21040,#23124,133,0,,"Pinkfong and Hogi's epic journey begins now! After accidentally crashing into the roof of Hogi's house, Pinkfong meets a new best friend and problem-solving partner. (Source: Official YouTube Channel)","['Sequel (TV) Myeongtamjeong Pinkfong-gwa Hogi', '']",Pinkfong Wonderstar,,,['Anthropomorphic'],
119,헬로 카봇 시즌7,,,,,['TV'],38,Finished Airing,"Apr 10, 2019 to Dec 29, 2019",['Spring 2019'],Unknown,"None found,","None found,","None found,",Original,['Action'],"['Mecha', 'Racing']",['Kids'],11 min. per ep.,PG - Children,[],#18509,#23733,117,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Hello Carbot Season 6', 'Sequel (TV) Hello Carbot Season 8']",Hello Carbot Season 7,,,,
120,미스테리야,Mythteria,,,,['TV'],26,Finished Airing,"Aug 30, 2019 to Feb 22, 2020",['Summer 2019'],Unknown,"None found,","None found,","None found,",Original,['Adventure'],,['Kids'],12 min. per ep.,PG - Children,[],#20502,#25139,93,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Sequel (TV) Mythteria 2nd Season', '']",Mythteria,,Miseuteliya,,
121,또봇 V  시즌 1.5: 갤럭시웨폰 4호의 비밀!,Tobot: Galaxy Detectives - Swag's Secret,,,,['TV'],20,Finished Airing,"Aug 22, 2019 to Jan 16, 2020",['Summer 2019'],Unknown,"None found,","None found,","None found,",Original,,,['Kids'],11 min. per ep.,PG - Children,[],#14925,#26383,76,1,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Tobot V', 'Sequel (TV) Tobot V Season 2']",Tobot V: Swag's Secret,"['Action', 'Sci-Fi']",Tobot V Season 1.5: Galaxy Weapon 4Houi Bimil!,['Mecha'],
122,쥬라기 캅스 쥬라킹,,,,,['TV'],22,Finished Airing,"Jul 13, 2019 to Jan 2, 2020",['Summer 2019'],Unknown,"None found,","None found,","None found,",Original,['Action'],,['Kids'],11 min. per ep.,PG - Children,[],#19153,#27427,66,0,,No synopsis information has been added to this title. Help improve our database by adding a synopsis here.,"['Prequel (TV) Jyulagi Cops', 'Sequel (TV) Jyulagi Cops 3rd Season']",Jyulagi Cops: Jura King,,,['Mecha'],
123,斉木楠雄のΨ難 Ψ始動編,The Disastrous Life of Saiki K.: Reawakened,The Disastrous Life of Saiki K.: Reawakened,The Disastrous Life of Saiki K.: Reawakened,Saiki Kusuo no Ψ Nan: Le Retour,['ONA'],6,Finished Airing,"Dec 30, 2019",,,"None found,","None found,","['J.C.Staff', 'Egg Firm']",['Manga'],['Comedy'],"['Gag Humor', 'School', 'Super Power']",['Shounen'],22 min. per ep.,PG-13 - Teens 13 or older,8.11,#512,#1110,"234,745",468,144074,"Kusuo Saiki is a high school student who possesses a wide range of psychic abilities. While many may believe these abilities to be a gift, to Kusuo, they are a curse as he must fight strange odds in order to try to live a normal life. Forced to use his psychic powers to protect his secret or to make up for his father's incompetence at work, will Saiki eventually come to realize how his powers can actually help his friends and family? [Written by MAL Rewrite]","['Prequel (TV Special) Saiki Kusuo no Ψ-nan: Kanketsu-hen', 'Adaptation (Manga) Saiki Kusuo no Ψ-nan']",Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,,"The Disastrous Life of Saiki K. Restart Arc, Saiki Kusuo no Ψ-nan: Saishidou-hen, Saiki Kusuo no Sainan: Saishidou-hen",,
124,ケンガンアシュラ Part 2,,Kengan Ashura Staffel 2,Kengan Ashura Temporada 2,Kengan Ashura Saison 2,['ONA'],12,Finished Airing,"Oct 31, 2019",,,"['Nihon Ad Systems', 'Mainichi Broadcasting System', 'Pony Canyon', 'Shogakukan', 'KLab', 'MAGNET']","None found,",['Larx Entertainment'],['Web manga'],['Action'],,,24 min. per ep.,R - 17+ (violence & profanity),7.67,#1373,#2044,"113,246",398,69966,Second half of Kengan Ashura.,"['Prequel (ONA) Kengan Ashura', 'Sequel (ONA) Kengan Ashura Season 2', 'Adaptation (Manga) Kengan Ashura', '']",Kengan Ashura Part 2,,,['Martial Arts'],
125,無限の住人-IMMORTAL-,Blade of the Immortal,Blade of the Immortal,La Espada del Inmortal,L'Habitant de L'infini,['ONA'],24,Finished Airing,"Oct 10, 2019 to Mar 26, 2020",,,"['Nihon Ad Systems', 'Mainichi Broadcasting System', 'Pony Canyon', 'Kodansha']",['Sentai Filmworks'],['LIDENFILMS'],['Manga'],,"['Gore', 'Historical', 'Martial Arts', 'Samurai']",['Seinen'],23 min. per ep.,R - 17+ (violence & profanity),7.43,#2242,#2382,"89,113",496,29544,"Manji is an infamous swordsman in feudal Japan who is known as the ""Hundred Man Killer,"" as he has killed one hundred innocent men. However, there is something far more frightening than his ominous reputation: the fact that he is immortal. This is the handiwork of eight-hundred-year-old nun Yaobikuni, who placed bloodworms capable of healing almost any wound in Manji's body. To atone for his crimes, Manji resolves to kill one thousand evil men. Yaobikuni agrees to this proposal, saying that if he succeeds, she will undo his curse of immortality. Soon after this promise, Manji meets Rin Asano, a 16-year-old girl who requests Manji's assistance in killing those who slaughtered her parents. Initially reluctant, Manji refuses Rin's desperate plea. However, owing to her evident lack of strength, Manji changes his mind and agrees to protect Rin for four years. With this partnership set in stone, the two embark on a perilous journey of bloodshed, vengeance, and redemption, each to fulfill their own life's cause. [Written by MAL Rewrite]","['Adaptation (Manga) Mugen no Juunin', '']",Mugen no Juunin: Immortal,"['Action', 'Adventure', 'Drama', 'Supernatural']",,,
126,伍六七之最强发型师,Scissor Seven (2019),Scissor Seven Staffel 2,Scissor Seven Temporada 2,Scissor Seven Saison 2,['ONA'],10,Finished Airing,"Oct 23, 2019 to Jan 1, 2020",,,['AHA Entertainment'],"None found,",['Sharefun Studio'],Original,,"['Martial Arts', 'Super Power']",,16 min. per ep.,PG-13 - Teens 13 or older,8.22,#375,#2432,"86,587",583,50361,"Seeking to recover his memories, a scissor-wielding hairdresser, bungling quasi-assassin stumbles into a struggle for power among two feuding factions. (Source: IMDb)","['Prequel (ONA) Cike Wu Liuqi', 'Sequel (ONA) Wu Liuqi: Xuanwu Guo Pian']",Wu Liuqi: Zui Qiang Fa Xing Shi,"['Action', 'Comedy', 'Drama', 'Mystery']","Killer Seven 2, Scissor Seven, Wu Liuqi`s Strongest Hair Stylist",,
127,スーパードラゴンボールヒーローズ,,,,,['ONA'],56,Finished Airing,"Jul 1, 2018 to Aug 8, 2024",,,['Bandai'],"None found,","['Toei Animation', 'Dimps']",Game,,,['Shounen'],8 min. per ep.,PG-13 - Teens 13 or older,5.73,#11261,#2567,"79,108",255,30974,"In May 2018, V-Jump announced the promotional anime for Dragon Ball Heroes, a Japanese arcade and trading card game. The video game has been adapted to a Nintendo Switch port for western audiences, whilst the card game is released under the name ""Dragon Ball Super TCG"" and is combined with the other card game of the same name in japan. The anime is expected to be short and it is not expected to broadcast on TV. It has adapted the game's Prison Planet Arc, as long as the manga original arc ""Big Bang Mission"" and ""Ultra God Misson"", also fully detailed in the Heroes manga published in Saikyou Jump, although under 2 separate canons. They have never been published officially in English. The first episode debuted July 1, 2018 at Aeon Lake Town.","['Adaptation (Manga) Super Dragon Ball Heroes: Ankoku Makai Mission!', 'Adaptation (Manga) Super Dragon Ball Heroes: Universe Mission!!', 'Adaptation (Manga) Super Dragon Ball Heroes: Big Bang Mission!!!', 'Adaptation (Manga) Super Dragon Ball Heroes: Ultra God Mission!!!!']",Super Dragon Ball Heroes,"['Action', 'Comedy', 'Fantasy']",,['Martial Arts'],
128,ホロのぐらふぃてぃ,Holo Graffiti,,,,['ONA'],Unknown,Currently Airing,"May 5, 2019 to ?",,,"None found,","None found,",['Hololive Production'],Other,['Comedy'],,,1 min.,PG-13 - Teens 13 or older,8.16,#449,#3100,"56,859","1,893",17911,"From unraveling the secrets of opening and closing doors to defusing surprise packages more commonly known as bombs, there is never a dull day at the Hololive Production office! Holo no Graffiti follows an eccentric cast of Virtual YouTubers, also known as ""VTubers,"" going about their absurd yet hilarious daily lives, detailing all their cute moments and mishaps. [Written by MAL Rewrite]",[],Holo no Graffiti,,"Horogura, HoloGra",,
129,嫌な顔されながらおパンツ見せてもらいたい 2,I Want You To Show Me Your Panties With a Disgusted Face 2,,,,['ONA'],6,Finished Airing,"Nov 22, 2019 to Dec 27, 2019",,,"None found,","None found,","['A-Real', 'UWAN Pictures']",Other,['Ecchi'],,,4 min. per ep.,PG-13 - Teens 13 or older,5.86,#10613,#3846,"38,226",86,14883,A project where a number of women in different costumes show their panties while they make a disgusted face.,"['Prequel (ONA) Iya na Kao sare nagara Opantsu Misete Moraitai', 'Sequel (OVA) Iya na Kao sare nagara Opantsu Misete Moraitai ver 3.0']",Iya na Kao sare nagara Opantsu Misete Moraitai 2,,,,
