,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genre,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Scorers,Synopsis,Related_Entries,Title,Genres,Theme,Demographics
10,"Occultic9, Occultic Nine",Occultic;Nine －オカルティック・ナイン－,Occultic;Nine,,,,['TV'],12,Finished Airing,"Oct 9, 2016 to Dec 25, 2016",['Fall 2016'],Sundays at 00:00 (JST),"['Aniplex', 'MAGES.', 'Hakuhodo DY Music & Pictures', 'Lawson', 'ABC Animation', 'Contents Seed', 'Christmas Holly', 'C-one']",['Aniplex of America'],['A-1 Pictures'],['Light novel'],,,,24 min. per ep.,PG-13 - Teens 13 or older,6.89,#4898,#1281,"199,472",468,71956,"A blog disproving the supernatural, co-run by NEET teenager Yuuta Gamon and his enthusiastic best friend Ryouka Narusawa, becomes the catalyst that would bring together a group of people who supposedly have nothing to do with each other. These individuals include high school fortune teller Miyuu Aikawa, who joins Yuuta to work on the blog; realist Sarai Hashigami, who is stunned when tragedy strikes his family; doujin artist Ririka Nishizono, who has an uncanny ability to predict the future with her art; black magic practitioner and local curse expert Aria Kurenaino and her ghostly friend; Shun Moritsuka, a seemingly childish otaku detective; and reporter Touko Sumikaze. As this unlikely group, bound only by the strings of fate, find their way to each other, they are confronted with murder and other events that are shrouded by the presence of the supernatural. They must band together to solve the mysteries interlacing the city and their lives. [Written by MAL Rewrite]","['Adaptation (Manga) Occultic;Nine', 'Adaptation (Light Novel) Occultic;Nine']",Occultic;Nine,"['Mystery', 'Sci-Fi']",,
11,,フリップフラッパーズ,Flip Flappers,,,,['TV'],13,Finished Airing,"Oct 6, 2016 to Dec 29, 2016",['Fall 2016'],Thursdays at 21:00 (JST),"['Sotsu', 'Lantis', 'AT-X', 'GAGA', 'Happinet Pictures', 'BS Fuji', 'Tokyo MX', 'Hakuhodo DY Music & Pictures', 'Medicos Entertainment', 'Infinite', 'RAY']",['Sentai Filmworks'],['Studio 3Hz'],Original,,,,23 min. per ep.,PG-13 - Teens 13 or older,7.62,#1497,#1298,"197,279","2,193",74074,"Cocona is an average middle schooler living with her grandmother. And she who has yet to decide a goal to strive for, soon met a strange girl named Papika who invites her to an organization called Flip Flap. Dragged along by the energetic stranger, Cocona finds herself in the world of Pure Illusion—a bizarre alternate dimension—helping Papika look for crystal shards. Upon completing their mission, Papika and Cocona are sent to yet another world in Pure Illusion. As a dangerous creature besets them, the girls use their crystals to transform into magical girls: Cocona into Pure Blade, and Papika into Pure Barrier. But as they try to defeat the creature before them, three others with powers from a rival organization enter the fray and slay the creature, taking with them a fragment left behind from its body. Afterward, the girls realize that to stand a chance against their rivals and the creatures in Pure Illusion, they must learn to work together and synchronize their feelings in order to transform more effectively. [Written by MAL Rewrite]",[],Flip Flappers,"['Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",,
12,"Natsume Yuujinchou Season 5, Natsume's Book of Friends Five",夏目友人帳 伍,Natsume's Book of Friends Season 5,Natsume Yujin-cho 5,Natsume Yujin-cho 5,Natsume Yujin-cho 5,['TV'],11,Finished Airing,"Oct 5, 2016 to Dec 21, 2016",['Fall 2016'],Wednesdays at 01:35 (JST),"['TV Tokyo', 'Aniplex', 'Nihon Ad Systems', 'Hakusensha']","None found,",['Shuka'],['Manga'],,"['Iyashikei', 'Mythology']",['Shoujo'],23 min. per ep.,PG-13 - Teens 13 or older,8.56,#115,#1308,"195,682",873,79495,"Blessed with eyes that are able to perceive the otherwise invisible youkai, Takashi Natsume hides his ability from his newfound family and friends to protect everyone's peaceful daily life. Nonetheless, Natsume never fails to show the same kindness to the benevolent youkai and happily returns their names by using the infamous Book of Friends he inherited from his late grandmother, Reiko. Meanwhile, the exorcist clan Matoba still wishes for Natsume to join their ranks due to his overwhelming gift. However, Natsume firmly rejects the clan's invitation since not all exorcists are as reasonable as his friend Shuuichi Natori, and many improperly and indiscriminately seal away every youkai in their way. Unsatisfied with Natsume's answer, Seiji Matoba blackmails Natsume into attending a grand gathering of powerful exorcist families. Natsume soon finds himself in the company of dangerous people and youkai alike. But even then, he continues to defy the exorcists' hard-handed methods and believes that peace between both worlds is possible. [Written by MAL Rewrite]","['Prequel (TV) Natsume Yuujinchou Shi', 'Sequel (TV) Natsume Yuujinchou Roku', 'Adaptation (Manga) Natsume Yuujinchou', '']",Natsume Yuujinchou Go,"['Slice of Life', 'Supernatural']",,
13,"Izetta, Die Letzte Hexe",終末のイゼッタ,Izetta: The Last Witch,Izetta: The Last Witch,Izetta: The Last Witch,Izetta: The Last Witch,['TV'],12,Finished Airing,"Oct 1, 2016 to Dec 17, 2016",['Fall 2016'],Saturdays at 23:00 (JST),"['Shochiku', 'AT-X', 'Asahi Production', 'flying DOG', 'Tokyo MX', 'i0+', 'Wargaming Japan', 'JTB Entertainment', 'RAY']","['Funimation', 'Crunchyroll']",['Ajia-do'],Original,,"['Historical', 'Military', 'Urban Fantasy']",,25 min. per ep.,R - 17+ (violence & profanity),6.76,#5538,#1388,"183,639",367,71219,"After Germania invaded a neighboring country in 1939, Europe spiraled into a devastating war. During the war, Germania set its sights on the weak alpine country of Elystadt. Boasting a far superior military and having achieved profuse success earlier in the war, it was expected that Germania would conquer Elystadt with ease. Matters are only made worse for the small country when Germanian soldiers capture their princess, Ortfiné ""Finé"" Fredericka von Eylstadt, as she is heading to a crucial meeting with Britannia. Yet, when a concurrent Germanian transport mission goes awry, Izetta, the last witch alive, escapes. When she recognizes Princess Finé from her childhood, Izetta rescues her from the Germanian soldiers by making use of her magical abilities. Now reunited with the princess, Izetta pledges to protect Elystadt from Germania, and with the last surviving witch on their arsenal, Elystadt hopes to turn the tides against the imperialist war giant. [Written by MAL Rewrite]",[],Shuumatsu no Izetta,"['Action', 'Fantasy']",,
14,"My Wife is the Student Council President 2nd Season, Oku-sama ga Seito Kaichou! 2nd Season, Okusama ga Seitokaichou! Plus",おくさまが生徒会長!＋!,My Wife is the Student Council President!+,My Wife is the Student Council President+!,Okusama ga Seitokaichou!+,,['TV'],12,Finished Airing,"Oct 2, 2016 to Dec 18, 2016",['Fall 2016'],Sundays at 22:30 (JST),"['DAX Production', 'Dream Creation', 'Studio CHANT']","None found,",['Seven'],['Manga'],,,['Shounen'],8 min. per ep.,R+ - Mild Nudity,6.56,#6733,#1420,"177,022",135,93496,"The story begins with Izumi Hayato running to be student council president. But when a beautiful girl swings in promising the liberalization of love while flinging condoms into the audience, he ends up losing to her and becoming the vice president. At the student council meeting, the newly-elected president invites herself over to Izumi's house, where she promptly announces she is to become Izumi's wife thanks to an agreement—facilitated by alcohol—made between their parents when they were only 3. (Source: MAL Scanlations)","['Prequel (TV) Okusama ga Seitokaichou!', 'Prequel (OVA) Okusama ga Seitokaichou! Seitokaichou to Ofuro Asobi', 'Adaptation (Manga) Okusama ga Seitokaichou!', '']",Okusama ga Seitokaichou!+!,"['Comedy', 'Romance', 'Ecchi']",['School'],
15,MahouIku,魔法少女育成計画,Magical Girl Raising Project,Magical Girl Raising Project,Magical Girl Raising Project,Magical Girl Raising Project,['TV'],12,Finished Airing,"Oct 2, 2016 to Dec 18, 2016",['Fall 2016'],Sundays at 00:00 (JST),"['Genco', 'AT-X', 'Magic Capsule', 'flying DOG', 'Cospa', 'Toranoana', 'Medicos Entertainment', 'Animatic', 'Highlights Entertainment']",['Funimation'],['Lerche'],['Light novel'],,"['Gore', 'High Stakes Game', 'Mahou Shoujo', 'Survival']",,24 min. per ep.,R - 17+ (violence & profanity),6.94,#4617,#1506,"167,589",762,69814,"For many girls in N-City, playing the popular social role-playing game Magical Girl Raising Project is as close as they could come to being a real magical girl. However, for some rare players, that dream can become a reality. One such girl is Koyuki Himekawa, who receives a notification one night that she has been selected to become a magical girl, her in-game avatar Snow White. As Koyuki and other chosen players in the city begin helping those in need, they all receive yet another notification: the admins have decided that they want to reduce the number of magical girls. Whoever collects the least amount of Magical Candies—which are awarded for their magical girl activities—in their competition each week will lose their powers. But when a real-world tragedy happens to the first player that drops out, they are shown the repercussions of losing their abilities. As more participants inevitably lose the competition and more twisted rules are added, the girls soon realize that their ""contest"" is actually a desperate fight for survival. [Written by MAL Rewrite]","['Sequel (TV) Mahou Shoujo Ikusei Keikaku: Restart', 'Adaptation (Manga) Mahou Shoujo Ikusei Keikaku', 'Adaptation (Manga) Mahou Shoujo Ikusei Keikaku: Restart', 'Adaptation (Light Novel) Mahou Shoujo Ikusei Keikaku']",Mahou Shoujo Ikusei Keikaku,"['Action', 'Suspense']",,
16,,WWW.WORKING!!,WWW.WAGNARIA!!,WWW.Wagnaria!!,WWW.Wagnaria!!,WWW.Wagnaria!!,['TV'],13,Finished Airing,"Oct 1, 2016 to Dec 24, 2016",['Fall 2016'],Saturdays at 23:30 (JST),"['Aniplex', 'Yomiuri Telecasting', 'Lawson']",['Aniplex of America'],['A-1 Pictures'],['Web manga'],['Comedy'],,,23 min. per ep.,PG-13 - Teens 13 or older,7.41,#2340,#1552,"161,922",289,77808,"Daisuke Higashida is a serious first-year student at Higashizaka High School. He lives a peaceful everyday life even though he is not satisfied with the family who doesn't laugh at all and makes him tired. However, his father's company goes bankrupt one day, and he can no longer afford allowances, cellphone bills, and commuter tickets. When his father orders him to take up a part-time job, Daisuke decides to work at a nearby family restaurant in order to avoid traveling 15 kilometers to school by bicycle.","['Adaptation (Manga) Working!! Web-ban', '']",WWW.Working!!,,['Workplace'],
17,G-Tekketsu 2nd Season,機動戦士ガンダム 鉄血のオルフェンズ 第2期,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,Mobile Suit Gundam: Iron-Blooded Orphans Staffel 2,Mobile Suit Gundam: Iron-Blooded Orphans Temporada 2,Mobile Suit Gundam: Iron-Blooded Orphans Saison 2,['TV'],25,Finished Airing,"Oct 2, 2016 to Apr 2, 2017",['Fall 2016'],Sundays at 17:00 (JST),"['Sotsu', 'Asatsu DK', 'Mainichi Broadcasting System']",['Funimation'],['Sunrise'],Original,,"['Mecha', 'Space']",,24 min. per ep.,R - 17+ (violence & profanity),8.23,#353,#1636,"151,577","1,686",85245,"Tekkadan has now become a direct affiliate of Teiwaz after procuring a new trade agreement with Arbrau. With its newfound funds and prestige, Tekkadan finds both its list of allies and enemies growing. Meanwhile, the flames of the Gjallarhorn power struggle continue to rage in full force. As a part of her efforts to make Mars financially independent from Earth, Kudelia Aina Bernstein founds the Admoss Company and enlists Tekkadan as her business partner. The stakes are getting higher as the Tekkadan family continues to grow. Will Orga, Mikazuki, and the rest of the Tekkadan faction be able to keep up, or will Kudelia's dream of Martian independence die out? [Written by MAL Rewrite]","['Prequel (TV) Kidou Senshi Gundam: Tekketsu no Orphans', 'Prequel (ONA) Kidou Senshi Gundam: Tekketsu no Orphans - Urdr Hunt', 'Adaptation (Manga) Kidou Senshi Gundam: Tekketsu no Orphans 2', '']",Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,"['Action', 'Drama', 'Sci-Fi']",,
18,Gaogao-chan to Aoi Sora,うどんの国の金色毛鞠,Poco's Udon World,Poco's Udon World,Pocok's Udon World,Poco's Udon World,['TV'],12,Finished Airing,"Oct 9, 2016 to Dec 25, 2016",['Fall 2016'],Sundays at 01:55 (JST),"['VAP', 'Nippon Television Network', 'Nippon Television Music', 'Nishinippon Broadcasting', 'Dai Nippon Printing', 'Shinchosha']",['Discotek Media'],['LIDENFILMS'],['Manga'],,"['Anthropomorphic', 'Childcare', 'Iyashikei']",['Seinen'],22 min. per ep.,PG-13 - Teens 13 or older,7.74,#1200,#1736,"139,782",672,55251,"Taking a break from the hustle and bustle of Tokyo, Souta Tawara returns to his hometown in Kagawa. Though his parents are no longer around, his former home and family-owned udon restaurant reminds him of the times his family was still together. Reminiscing about his childhood, Souta enters the udon restaurant and discovers a grimy young boy sleeping. At first, Souta thinks nothing of the chance encounter and provides the boy with food and clothing. However, to his surprise, the boy suddenly sprouts a furry pair of ears and a tail! Souta soon learns that the nameless boy is actually the rumored shapeshifting tanuki that has been inhabiting Kagawa for many years. Thinking that the boy has been living a lonely life, he decides to take him in and name him Poko. Udon no Kuni no Kiniro Kemari follows the heartwarming relationship between Souta and Poko, and through the time they spend together, Souta recalls his own past, the place he left behind for the city, and the relationship he had with his father. [Written by MAL Rewrite]","['Adaptation (Manga) Udon no Kuni no Kiniro Kemari', '']",Udon no Kuni no Kiniro Kemari,"['Slice of Life', 'Supernatural']",,
19,,舟を編む,The Great Passage,The Great Passage,The Great Passage,Fune wo amu,['TV'],11,Finished Airing,"Oct 14, 2016 to Dec 23, 2016",['Fall 2016'],Fridays at 00:55 (JST),"['Aniplex', 'Dentsu', 'Fuji TV', 'Kyoraku Industrial Holdings', 'Kansai Telecasting', 'Kobunsha']",['Discotek Media'],['Zexcs'],Novel,,"['Adult Cast', 'Workplace']",,22 min. per ep.,PG-13 - Teens 13 or older,7.61,#1544,#1852,"128,471",519,44123,"Kouhei Araki, a veteran editor of the dictionary editorial division at Genbu Publishing, plans to retire in order to better care for his ailing wife. However, before retiring, he must find a replacement to complete his latest project: a new dictionary called The Great Passage. But no matter where he looks, he cannot find anyone suitable, as making a dictionary requires a wealth of patience, time, and dedication. Mitsuya Majime works in Genbu Publishing's sales division, yet he has poor social skills and an inability to read the mood in most situations. In spite of this, he excels at having an enthusiasm for words thanks to his love of reading and careful personality. It is these skills that draw Araki to him and prompt him to offer Majime a position in the dictionary editorial department. As Majime accepts his new position, he finds himself unsure of his abilities and questioning whether he will fit in with his new co-workers. Yet amid the vast sea of words, The Great Passage will bring them together. [Written by MAL Rewrite]","['Adaptation (Manga) Fune wo Amu', '']",Fune wo Amu,"['Award Winning', 'Drama', 'Romance']",,
